"","date","Tested","Positive","Recovered","Hospitalized","Deaths","Active","New.Pos","New.Test","New.Rec","New.Deaths","Frac.Pos","Day7.Test","Day7.Pos","Day7.Rec","Day7.Death","Day7.Active","Day7.Perc","Day14.Test","Day14.Pos","Day14.Rec","Day14.Death","Day14.Active","Day14.Perc"
"1",2020-07-31,1609,97,81,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-08-01,1618,97,82,NA,1,14,0,9,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-08-02,1625,97,84,NA,1,12,0,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-08-03,1630,97,84,NA,1,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-08-04,1637,97,86,NA,1,10,0,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-08-05,1648,98,88,NA,1,9,1,11,2,0,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-08-06,1667,100,88,NA,1,11,2,19,0,0,0.105263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-08-07,1685,103,89,0,1,13,3,18,1,0,0.166666666666667,76,6,8,0,-2,0.0789473684210526,NA,NA,NA,NA,NA,NA
"9",2020-08-08,1695,105,91,0,1,13,2,10,2,0,0.2,77,8,9,0,-1,0.103896103896104,NA,NA,NA,NA,NA,NA
"10",2020-08-09,1711,108,93,0,1,14,3,16,2,0,0.1875,86,11,9,0,2,0.127906976744186,NA,NA,NA,NA,NA,NA
"11",2020-08-10,1718,108,93,0,1,14,0,7,0,0,0,88,11,9,0,2,0.125,NA,NA,NA,NA,NA,NA
"12",2020-08-11,1726,108,95,0,1,12,0,8,2,0,0,89,11,9,0,2,0.123595505617978,NA,NA,NA,NA,NA,NA
"13",2020-08-12,1744,110,96,0,1,13,2,18,1,0,0.111111111111111,96,12,8,0,4,0.125,NA,NA,NA,NA,NA,NA
"14",2020-08-13,1762,110,96,0,1,13,0,18,0,0,0,95,10,8,0,2,0.105263157894737,NA,NA,NA,NA,NA,NA
"15",2020-08-14,1776,110,99,0,1,10,0,14,3,0,0,91,7,10,0,-3,0.0769230769230769,167,13,18,0,-5,0.0778443113772455
"16",2020-08-15,1802,111,100,0,1,10,1,26,1,0,0.0384615384615385,107,6,9,0,-3,0.0560747663551402,184,14,18,0,-4,0.0760869565217391
"17",2020-08-16,1815,112,101,0,1,10,1,13,1,0,0.0769230769230769,104,4,8,0,-4,0.0384615384615385,190,15,17,0,-2,0.0789473684210526
"18",2020-08-17,1823,114,101,0,1,12,2,8,0,0,0.25,105,6,8,0,-2,0.0571428571428571,193,17,17,0,0,0.0880829015544041
"19",2020-08-18,1830,114,102,0,1,11,0,7,1,0,0,104,6,7,0,-1,0.0576923076923077,193,17,16,0,1,0.0880829015544041
"20",2020-08-19,1848,120,102,0,1,17,6,18,0,0,0.333333333333333,104,10,6,0,4,0.0961538461538462,200,22,14,0,8,0.11
"21",2020-08-20,1853,122,102,1,1,19,2,5,0,0,0.4,91,12,6,0,6,0.131868131868132,186,22,14,0,8,0.118279569892473
"22",2020-08-21,1871,123,103,2,1,19,1,18,1,0,0.0555555555555556,95,13,4,0,9,0.136842105263158,186,20,14,0,6,0.10752688172043
