"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","886","20","16","0","0.0225733634311512",2020-08-01
"Adams","Adams","398","15","10","0","0.0376884422110553",2020-08-01
"Allamakee","Allamakee","1970","149","132","4","0.0756345177664975",2020-08-01
"Appanoose","Appanoose","1356","40","32","3","0.0294985250737463",2020-08-01
"Audubon","Audubon","688","28","15","1","0.0406976744186047",2020-08-01
"Benton","Benton","3164","130","88","1","0.0410872313527181",2020-08-01
"Black Hawk","Black Hawk","23293","2971","2246","62","0.127549049070536",2020-08-01
"Boone","Boone","3763","227","152","2","0.0603242094073877",2020-08-01
"Bremer","Bremer","3302","182","90","7","0.0551181102362205",2020-08-01
"Buchanan","Buchanan","2725","105","58","1","0.0385321100917431",2020-08-01
"Buena Vista","Buena Vista","7749","1782","1709","12","0.229965156794425",2020-08-01
"Butler","Butler","2128","111","89","2","0.0521616541353383",2020-08-01
"Calhoun","Calhoun","1492","81","69","2","0.0542895442359249",2020-08-01
"Carroll","Carroll","3168","175","144","1","0.055239898989899",2020-08-01
"Cass","Cass","1320","42","34","1","0.0318181818181818",2020-08-01
"Cedar","Cedar","2298","117","84","1","0.0509138381201044",2020-08-01
"Cerro Gordo","Cerro Gordo","7656","574","221","17","0.0749738766980146",2020-08-01
"Cherokee","Cherokee","1618","97","82","1","0.0599505562422744",2020-08-01
"Chickasaw","Chickasaw","1512","48","45","0","0.0317460317460317",2020-08-01
"Clarke","Clarke","1430","178","130","3","0.124475524475524",2020-08-01
"Clay","Clay","2439","168","136","1","0.0688806888068881",2020-08-01
"Clayton","Clayton","2095","95","68","3","0.045346062052506",2020-08-01
"Clinton","Clinton","5312","294","113","3","0.0553463855421687",2020-08-01
"Crawford","Crawford","3507","708","672","3","0.201881950384944",2020-08-01
"Dallas","Dallas","16006","1752","1269","35","0.109458952892665",2020-08-01
"Davis","Davis","764","49","39","1","0.0641361256544503",2020-08-01
"Decatur","Decatur","578","21","11","0","0.0363321799307958",2020-08-01
"Delaware","Delaware","2025","86","68","1","0.0424691358024691",2020-08-01
"Des Moines","Des Moines","4096","144","88","2","0.03515625",2020-08-01
"Dickinson","Dickinson","3688","371","261","4","0.100596529284165",2020-08-01
"Dubuque","Dubuque","19447","1489","719","28","0.0765670797552322",2020-08-01
"Emmet","Emmet","1459","178","102","1","0.122001370801919",2020-08-01
"Fayette","Fayette","2527","77","49","0","0.0304709141274238",2020-08-01
"Floyd","Floyd","2442","109","90","2","0.0446355446355446",2020-08-01
"Franklin","Franklin","1679","211","119","4","0.125670041691483",2020-08-01
"Fremont","Fremont","644","34","10","0","0.0527950310559006",2020-08-01
"Greene","Greene","1176","38","31","0","0.032312925170068",2020-08-01
"Grundy","Grundy","1739","72","39","1","0.0414031052328925",2020-08-01
"Guthrie","Guthrie","1667","125","80","5","0.0749850029994001",2020-08-01
"Hamilton","Hamilton","2498","237","217","1","0.0948759007205765",2020-08-01
"Hancock","Hancock","1720","114","89","2","0.0662790697674419",2020-08-01
"Hardin","Hardin","2466","161","81","0","0.0652879156528792",2020-08-01
"Harrison","Harrison","1508","92","68","0","0.0610079575596817",2020-08-01
"Henry","Henry","2523","110","83","3","0.0435988902100674",2020-08-01
"Howard","Howard","1217","47","35","0","0.0386195562859491",2020-08-01
"Humboldt","Humboldt","1211","87","72","1","0.0718414533443435",2020-08-01
"Ida","Ida","858","29","23","0","0.0337995337995338",2020-08-01
"Iowa","Iowa","2527","88","52","1","0.0348239018599129",2020-08-01
"Jackson","Jackson","2514","134","36","1","0.0533015115354018",2020-08-01
"Jasper","Jasper","4527","450","334","24","0.099403578528827",2020-08-01
"Jefferson","Jefferson","1753","75","63","0","0.0427837992013691",2020-08-01
"Johnson","Johnson","23394","1887","1363","15","0.0806617081302898",2020-08-01
"Jones","Jones","2368","122","67","1","0.0515202702702703",2020-08-01
"Keokuk","Keokuk","1026","30","21","1","0.0292397660818713",2020-08-01
"Kossuth","Kossuth","1894","77","35","0","0.0406546990496304",2020-08-01
"Lee","Lee","2772","89","52","3","0.0321067821067821",2020-08-01
"Linn","Linn","31349","2008","1572","87","0.0640530798430572",2020-08-01
"Louisa","Louisa","1781","378","349","14","0.212240314430095",2020-08-01
"Lucas","Lucas","734","42","28","4","0.0572207084468665",2020-08-01
"Lyon","Lyon","1002","99","78","0","0.0988023952095808",2020-08-01
"Madison","Madison","2097","96","51","2","0.0457796852646638",2020-08-01
"Mahaska","Mahaska","1951","134","104","17","0.0686827268067658",2020-08-01
"Marion","Marion","3166","147","106","0","0.0464308275426406",2020-08-01
"Marshall","Marshall","7981","1375","1042","24","0.172284174915424",2020-08-01
"Mills","Mills","2636","77","38","0","0.0292109256449165",2020-08-01
"Mitchell","Mitchell","1810","76","66","0","0.0419889502762431",2020-08-01
"Monona","Monona","1117","90","76","0","0.0805729632945389",2020-08-01
"Monroe","Monroe","772","66","45","7","0.0854922279792746",2020-08-01
"Montgomery","Montgomery","1185","42","29","3","0.0354430379746835",2020-08-01
"Muscatine","Muscatine","6413","809","691","47","0.126150007796663",2020-08-01
"O'Brien","O'Brien","1664","116","90","1","0.0697115384615385",2020-08-01
"Osceola","Osceola","601","77","63","0","0.128119800332779",2020-08-01
"Page","Page","1748","69","37","0","0.0394736842105263",2020-08-01
"Palo Alto","Palo Alto","1388","74","46","0","0.053314121037464",2020-08-01
"Pending Investigation","Pending Investigation","5178","5","0","0","0.000965623792970259",2020-08-01
"Plymouth","Plymouth","3900","439","321","8","0.112564102564103",2020-08-01
"Pocahontas","Pocahontas","1146","113","95","1","0.0986038394415358",2020-08-01
"Polk","Polk","81629","9538","6564","201","0.116845728846366",2020-08-01
"Pottawattamie","Pottawattamie","14287","1171","779","21","0.0819626233638972",2020-08-01
"Poweshiek","Poweshiek","1885","141","105","8","0.0748010610079576",2020-08-01
"Ringgold","Ringgold","697","21","20","1","0.03012912482066",2020-08-01
"Sac","Sac","1624","79","65","0","0.0486453201970443",2020-08-01
"Scott","Scott","23016","1563","863","12","0.0679092805005214",2020-08-01
"Shelby","Shelby","1519","156","129","1","0.102699144173799",2020-08-01
"Sioux","Sioux","3992","588","475","2","0.147294589178357",2020-08-01
"Story","Story","12209","1093","807","13","0.0895241215496765",2020-08-01
"Tama","Tama","3111","534","441","29","0.171648987463838",2020-08-01
"Taylor","Taylor","837","93","83","0","0.111111111111111",2020-08-01
"Union","Union","2014","67","31","1","0.0332671300893744",2020-08-01
"Van Buren","Van Buren","653","29","18","1","0.0444104134762634",2020-08-01
"Wapello","Wapello","5488","827","743","31","0.150692419825073",2020-08-01
"Warren","Warren","7418","510","292","1","0.0687516850903208",2020-08-01
"Washington","Washington","2969","285","261","10","0.095991916470192",2020-08-01
"Wayne","Wayne","442","15","10","1","0.0339366515837104",2020-08-01
"Webster","Webster","6568","699","354","5","0.10642509135201",2020-08-01
"Winnebago","Winnebago","1490","71","32","0","0.0476510067114094",2020-08-01
"Winneshiek","Winneshiek","2135","77","55","1","0.0360655737704918",2020-08-01
