"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1004","30","20","0","0.0298804780876494",2020-08-12
"Adams","Adams","432","16","13","0","0.037037037037037",2020-08-12
"Allamakee","Allamakee","2103","156","136","4","0.0741797432239658",2020-08-12
"Appanoose","Appanoose","1542","51","38","3","0.0330739299610895",2020-08-12
"Audubon","Audubon","735","29","18","1","0.0394557823129252",2020-08-12
"Benton","Benton","3539","160","101","1","0.0452105114439107",2020-08-12
"Black Hawk","Black Hawk","25124","3161","2566","66","0.125815952873746",2020-08-12
"Boone","Boone","4138","262","178","3","0.0633156114064766",2020-08-12
"Bremer","Bremer","3662","230","120","7","0.062807209175314",2020-08-12
"Buchanan","Buchanan","3016","129","67","1","0.0427718832891247",2020-08-12
"Buena Vista","Buena Vista","7956","1794","1736","12","0.225490196078431",2020-08-12
"Butler","Butler","2308","125","108","2","0.054159445407279",2020-08-12
"Calhoun","Calhoun","1599","86","77","2","0.0537836147592245",2020-08-12
"Carroll","Carroll","3440","194","164","2","0.0563953488372093",2020-08-12
"Cass","Cass","1687","79","44","1","0.046828689982217",2020-08-12
"Cedar","Cedar","2527","134","102","1","0.0530273051048674",2020-08-12
"Cerro Gordo","Cerro Gordo","8257","634","394","17","0.0767833353518227",2020-08-12
"Cherokee","Cherokee","1744","110","96","1","0.0630733944954128",2020-08-12
"Chickasaw","Chickasaw","1672","55","50","0","0.0328947368421053",2020-08-12
"Clarke","Clarke","1558","204","147","3","0.130937098844673",2020-08-12
"Clay","Clay","2639","201","155","1","0.0761652140962486",2020-08-12
"Clayton","Clayton","2288","107","86","3","0.0467657342657343",2020-08-12
"Clinton","Clinton","6122","417","160","4","0.0681149950996406",2020-08-12
"Crawford","Crawford","3712","733","684","3","0.197467672413793",2020-08-12
"Dallas","Dallas","17663","1900","1480","35","0.107569495555681",2020-08-12
"Davis","Davis","845","61","43","2","0.072189349112426",2020-08-12
"Decatur","Decatur","624","25","21","0","0.0400641025641026",2020-08-12
"Delaware","Delaware","2483","119","89","1","0.0479258960934354",2020-08-12
"Des Moines","Des Moines","4640","190","107","2","0.040948275862069",2020-08-12
"Dickinson","Dickinson","3982","384","313","4","0.096433952787544",2020-08-12
"Dubuque","Dubuque","21071","1711","1105","31","0.0812016515590148",2020-08-12
"Emmet","Emmet","1588","193","127","4","0.121536523929471",2020-08-12
"Fayette","Fayette","2733","86","65","0","0.0314672521039151",2020-08-12
"Floyd","Floyd","2715","158","121","2","0.058195211786372",2020-08-12
"Franklin","Franklin","1823","245","191","12","0.134393856280856",2020-08-12
"Fremont","Fremont","719","43","19","0","0.0598052851182197",2020-08-12
"Greene","Greene","1272","43","37","0","0.0338050314465409",2020-08-12
"Grundy","Grundy","1880","80","54","1","0.0425531914893617",2020-08-12
"Guthrie","Guthrie","1806","136","106","5","0.0753045404208195",2020-08-12
"Hamilton","Hamilton","2637","252","241","1","0.0955631399317406",2020-08-12
"Hancock","Hancock","1855","122","107","2","0.0657681940700809",2020-08-12
"Hardin","Hardin","2664","184","109","0","0.0690690690690691",2020-08-12
"Harrison","Harrison","1644","110","88","1","0.0669099756690998",2020-08-12
"Henry","Henry","2762","135","93","4","0.0488776249094859",2020-08-12
"Howard","Howard","1297","50","40","0","0.038550501156515",2020-08-12
"Humboldt","Humboldt","1329","118","86","1","0.0887885628291949",2020-08-12
"Ida","Ida","915","31","24","0","0.033879781420765",2020-08-12
"Iowa","Iowa","2739","97","64","1","0.0354143848119752",2020-08-12
"Jackson","Jackson","2737","157","88","1","0.0573620752648886",2020-08-12
"Jasper","Jasper","4998","482","381","27","0.0964385754301721",2020-08-12
"Jefferson","Jefferson","1995","87","64","0","0.043609022556391",2020-08-12
"Johnson","Johnson","25698","2118","1583","19","0.0824188652813449",2020-08-12
"Jones","Jones","2628","133","89","2","0.0506088280060883",2020-08-12
"Keokuk","Keokuk","1112","37","23","1","0.033273381294964",2020-08-12
"Kossuth","Kossuth","2092","91","62","0","0.0434990439770555",2020-08-12
"Lee","Lee","3184","120","54","3","0.0376884422110553",2020-08-12
"Linn","Linn","35293","2433","1846","88","0.0689371830107953",2020-08-12
"Louisa","Louisa","1858","378","355","14","0.203444564047363",2020-08-12
"Lucas","Lucas","884","73","33","4","0.082579185520362",2020-08-12
"Lyon","Lyon","1108","116","99","2","0.104693140794224",2020-08-12
"Madison","Madison","2365","125","70","2","0.0528541226215645",2020-08-12
"Mahaska","Mahaska","2143","142","116","17","0.0662622491833878",2020-08-12
"Marion","Marion","3582","175","152","0","0.048855388051368",2020-08-12
"Marshall","Marshall","8573","1451","1136","26","0.169252303744314",2020-08-12
"Mills","Mills","2784","90","55","0","0.0323275862068966",2020-08-12
"Mitchell","Mitchell","1931","79","67","0","0.0409114448472294",2020-08-12
"Monona","Monona","1185","91","80","0","0.0767932489451477",2020-08-12
"Monroe","Monroe","858","74","50","8","0.0862470862470862",2020-08-12
"Montgomery","Montgomery","1395","60","38","4","0.043010752688172",2020-08-12
"Muscatine","Muscatine","6917","853","738","48","0.123319358103224",2020-08-12
"O'Brien","O'Brien","1976","141","106","4","0.0713562753036437",2020-08-12
"Osceola","Osceola","657","84","71","0","0.127853881278539",2020-08-12
"Page","Page","2033","95","71","0","0.0467289719626168",2020-08-12
"Palo Alto","Palo Alto","1491","89","58","0","0.0596914822266935",2020-08-12
"Pending Investigation","Pending Investigation","6106","4","0","0","0.000655093350802489",2020-08-12
"Plymouth","Plymouth","4148","470","371","11","0.113307618129219",2020-08-12
"Pocahontas","Pocahontas","1216","117","107","2","0.0962171052631579",2020-08-12
"Polk","Polk","89920","10449","7953","208","0.116203291814947",2020-08-12
"Pottawattamie","Pottawattamie","15549","1334","997","28","0.0857932986044119",2020-08-12
"Poweshiek","Poweshiek","2161","160","112","8","0.0740397963905599",2020-08-12
"Ringgold","Ringgold","737","23","20","1","0.0312075983717775",2020-08-12
"Sac","Sac","1740","86","71","0","0.0494252873563218",2020-08-12
"Scott","Scott","25703","1746","1279","14","0.0679298136404311",2020-08-12
"Shelby","Shelby","1658","187","160","1","0.112786489746683",2020-08-12
"Sioux","Sioux","4357","643","528","3","0.147578609134726",2020-08-12
"Story","Story","16590","1173","913","15","0.0707052441229656",2020-08-12
"Tama","Tama","3316","555","475","29","0.167370325693607",2020-08-12
"Taylor","Taylor","909","100","88","0","0.11001100110011",2020-08-12
"Union","Union","2226","78","53","1","0.0350404312668464",2020-08-12
"Van Buren","Van Buren","752","36","22","1","0.0478723404255319",2020-08-12
"Wapello","Wapello","5999","909","774","33","0.151525254209035",2020-08-12
"Warren","Warren","8276","572","388","1","0.069115514741421",2020-08-12
"Washington","Washington","3200","305","272","10","0.0953125",2020-08-12
"Wayne","Wayne","512","20","14","1","0.0390625",2020-08-12
"Webster","Webster","6973","826","499","8","0.118456905205794",2020-08-12
"Winnebago","Winnebago","1669","86","53","0","0.0515278609946076",2020-08-12
"Winneshiek","Winneshiek","2385","97","60","1","0.0406708595387841",2020-08-12
"Woodbury","Woodbury","21879","3736","3394","52","0.170757347227935",2020-08-12
"Worth","Worth","1143","67","36","0","0.0586176727909011",2020-08-12
"Wright","Wright","3317","475","417","1","0.143201688272535",2020-08-12
"Total","Totals","530408","49598","38531","946",NA,2020-08-12
