"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","2388","342","134","5","203","0.14321608040201",2020-11-15
"Adams","Adams","1019","136","66","1","69","0.133464180569185",2020-11-15
"Allamakee","Allamakee","3877","607","326","9","272","0.156564353881867",2020-11-15
"Appanoose","Appanoose","3874","605","205","3","397","0.156169334021683",2020-11-15
"Audubon","Audubon","1664","252","130","1","121","0.151442307692308",2020-11-15
"Benton","Benton","8476","1349","494","10","845","0.159155261915998",2020-11-15
"Black Hawk","Black Hawk","47629","9060","5086","115","3859","0.19022024396901",2020-11-15
"Boone","Boone","8516","1074","662","10","402","0.126115547205261",2020-11-15
"Bremer","Bremer","7753","1485","610","12","863","0.191538759189991",2020-11-15
"Buchanan","Buchanan","6247","887","385","6","496","0.141988154314071",2020-11-15
"Buena Vista","Buena Vista","11117","2721","2181","13","527","0.244760277053162",2020-11-15
"Butler","Butler","4638","767","434","3","330","0.165373005605865",2020-11-15
"Calhoun","Calhoun","3883","871","341","6","524","0.224311099665207",2020-11-15
"Carroll","Carroll","8031","1707","1011","14","682","0.212551363466567",2020-11-15
"Cass","Cass","4139","647","409","14","224","0.156317951195941",2020-11-15
"Cedar","Cedar","5875","843","372","13","458","0.143489361702128",2020-11-15
"Cerro Gordo","Cerro Gordo","15889","2635","1220","32","1383","0.165838001132859",2020-11-15
"Cherokee","Cherokee","3843","631","361","4","266","0.164194639604476",2020-11-15
"Chickasaw","Chickasaw","3547","627","467","1","159","0.176769100648435",2020-11-15
"Clarke","Clarke","3045","425","303","4","118","0.139573070607553",2020-11-15
"Clay","Clay","5407","893","476","4","413","0.165156278897725",2020-11-15
"Clayton","Clayton","4547","834","388","4","442","0.183417638003079",2020-11-15
"Clinton","Clinton","14177","2585","1330","35","1220","0.182337589052691",2020-11-15
"Crawford","Crawford","6498","1602","1292","15","295","0.246537396121884",2020-11-15
"Dallas","Dallas","35004","5231","3234","53","1944","0.149440063992687",2020-11-15
"Davis","Davis","1903","316","154","4","158","0.166053599579611",2020-11-15
"Decatur","Decatur","2212","263","127","0","136","0.118896925858951",2020-11-15
"Delaware","Delaware","5434","1190","668","18","504","0.218991534781008",2020-11-15
"Des Moines","Des Moines","14058","2349","1198","13","1138","0.167093469910371",2020-11-15
"Dickinson","Dickinson","7072","1111","674","9","428","0.157098416289593",2020-11-15
"Dubuque","Dubuque","40776","7805","4645","78","3082","0.191411614675299",2020-11-15
"Emmet","Emmet","3238","617","378","22","217","0.190549722050649",2020-11-15
"Fayette","Fayette","5823","789","337","8","444","0.135497166409068",2020-11-15
"Floyd","Floyd","5151","758","476","12","270","0.147155892059794",2020-11-15
