"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-05,"Adair",3238,718,636,24,19,5,58,0.221741815935763
"Adams",2021-02-05,"Adams",1426,311,284,3,3,0,24,0.218092566619916
"Allamakee",2021-02-05,"Allamakee",5393,1344,1196,38,33,5,110,0.249211941405526
"Appanoose",2021-02-05,"Appanoose",5353,1155,1008,45,43,2,102,0.215766859704838
"Audubon",2021-02-05,"Audubon",2312,440,387,9,8,1,44,0.190311418685121
"Benton",2021-02-05,"Benton",11229,2212,1997,51,41,10,164,0.196989936770861
"Black Hawk",2021-02-05,"Black Hawk",63803,14504,13176,264,249,15,1064,0.22732473394668
"Boone",2021-02-05,"Boone",12197,2311,2053,25,23,2,233,0.189472821185537
"Bremer",2021-02-05,"Bremer",10952,2565,2341,52,46,6,172,0.234203798392988
"Buchanan",2021-02-05,"Buchanan",8439,1683,1514,25,23,2,144,0.199431212228937
"Buena Vista",2021-02-05,"Buena Vista",13705,4021,3816,35,32,3,170,0.293396570594674
"Butler",2021-02-05,"Butler",6316,1550,1384,29,26,3,137,0.245408486383787
"Calhoun",2021-02-05,"Calhoun",4843,1254,1197,9,9,0,48,0.258930415032005
"Carroll",2021-02-05,"Carroll",10364,2603,2436,45,39,6,122,0.251157854110382
"Cass",2021-02-05,"Cass",5686,1202,1053,46,44,2,103,0.211396412240591
"Cedar",2021-02-05,"Cedar",8069,1605,1431,20,19,1,154,0.198909406370058
"Cerro Gordo",2021-02-05,"Cerro Gordo",21681,4862,4441,76,64,12,345,0.224251648909183
"Cherokee",2021-02-05,"Cherokee",5393,1413,1307,34,28,6,72,0.262006304468756
"Chickasaw",2021-02-05,"Chickasaw",4812,1154,1089,12,11,1,53,0.239817123857024
"Clarke",2021-02-05,"Clarke",4320,876,724,15,15,0,137,0.202777777777778
"Clay",2021-02-05,"Clay",7488,1772,1597,24,19,5,151,0.236645299145299
"Clayton",2021-02-05,"Clayton",6261,1566,1442,51,43,8,73,0.250119789171059
"Clinton",2021-02-05,"Clinton",19793,4769,4291,76,69,7,402,0.240943767998787
"Crawford",2021-02-05,"Crawford",8013,2415,2197,32,28,4,186,0.301385248970423
"Dallas",2021-02-05,"Dallas",47929,9518,8388,84,73,11,1046,0.198585407582048
"Davis",2021-02-05,"Davis",2914,726,658,23,22,1,45,0.249142072752231
"Decatur",2021-02-05,"Decatur",3182,526,466,6,6,0,54,0.165304839723444
"Delaware",2021-02-05,"Delaware",7113,1809,1646,37,33,4,126,0.254323070434416
"Des Moines",2021-02-05,"Des Moines",19026,4076,3648,53,46,7,375,0.214233154630506
"Dickinson",2021-02-05,"Dickinson",9340,1927,1767,37,31,6,123,0.206316916488223
"Dubuque",2021-02-05,"Dubuque",51850,11937,10869,181,171,10,887,0.230221793635487
"Emmet",2021-02-05,"Emmet",4543,1119,1027,37,36,1,55,0.246313009024873
"Fayette",2021-02-05,"Fayette",8276,1713,1492,26,23,3,195,0.206984050265829
