"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Antigen","Positive.PCR","Positive.Antigen","Active","positivity"
"Adair",2021-02-20,"Adair",10459,904,671,26,20,6,3345,794,552,618,176,97,"0.237369207772795"
"Adams",2021-02-20,"Adams",4402,325,299,3,3,0,1468,317,177,289,28,15,"0.215940054495913"
"Allamakee",2021-02-20,"Allamakee",17568,1431,1273,41,35,6,5582,1387,488,1233,154,73,"0.248477248298101"
"Appanoose",2021-02-20,"Appanoose",15018,1360,1086,47,43,4,5570,1203,746,974,229,70,"0.215978456014363"
"Audubon",2021-02-20,"Audubon",9819,481,413,9,8,1,2416,465,459,396,69,43,"0.192466887417219"
"Benton",2021-02-20,"Benton",30201,2467,2078,54,44,10,11653,2323,1251,2063,260,191,"0.199347807431563"
"Black Hawk",2021-02-20,"Black Hawk",179180,16106,13833,284,267,17,65507,14766,4582,14010,756,649,"0.225411024775978"
"Boone",2021-02-20,"Boone",37243,2559,2205,30,28,2,12729,2383,3193,1739,644,148,"0.187210307172598"
"Bremer",2021-02-20,"Bremer",30869,2750,2449,53,47,6,11280,2629,2530,2039,590,127,"0.233067375886525"
"Buchanan",2021-02-20,"Buchanan",24871,1822,1597,27,24,3,8686,1733,769,1579,154,109,"0.199516463274234"
"Buena Vista",2021-02-20,"Buena Vista",38728,4678,3935,36,33,3,13960,4058,1513,3717,341,87,"0.290687679083095"
"Butler",2021-02-20,"Butler",24285,1654,1488,31,28,3,6557,1570,1634,1133,437,51,"0.239438767729144"
"Calhoun",2021-02-20,"Calhoun",15520,1320,1227,10,10,0,4954,1274,1970,724,550,37,"0.257165926524021"
"Carroll",2021-02-20,"Carroll",30756,2834,2541,47,39,8,10622,2640,2081,2042,598,52,"0.248540764451139"
"Cass",2021-02-20,"Cass",17600,1309,1104,48,45,3,5870,1244,903,1036,208,92,"0.211925042589438"
