"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-26,"Adair",12224,971,806,32,22,10,3671,851,13,2021-04-26
"Adams",2021-04-26,"Adams",5557,342,316,4,4,0,1605,331,11,2021-04-26
"Allamakee",2021-04-26,"Allamakee",20928,1548,1437,51,41,10,6278,1495,7,2021-04-26
"Appanoose",2021-04-26,"Appanoose",17568,1443,1204,47,43,4,6118,1271,20,2021-04-26
"Audubon",2021-04-26,"Audubon",12127,514,471,9,8,1,2688,496,16,2021-04-26
"Benton",2021-04-26,"Benton",36887,2674,2420,55,44,11,13032,2520,45,2021-04-26
"Black Hawk",2021-04-26,"Black Hawk",211765,17085,14972,306,283,23,71449,15645,367,2021-04-26
"Boone",2021-04-26,"Boone",44098,2785,2481,33,31,2,14121,2603,89,2021-04-26
"Bremer",2021-04-26,"Bremer",39083,2939,2697,60,51,9,12495,2808,51,2021-04-26
"Buchanan",2021-04-26,"Buchanan",30791,1997,1803,31,26,5,9645,1894,60,2021-04-26
"Buena Vista",2021-04-26,"Buena Vista",44783,4880,4137,40,36,4,14951,4230,53,2021-04-26
"Butler",2021-04-26,"Butler",29339,1719,1574,34,30,4,7156,1628,20,2021-04-26
"Calhoun",2021-04-26,"Calhoun",18199,1384,1311,13,12,1,5366,1335,11,2021-04-26
"Carroll",2021-04-26,"Carroll",36148,3028,2703,52,43,9,11540,2817,62,2021-04-26
"Cass",2021-04-26,"Cass",20629,1445,1278,54,48,6,6456,1363,31,2021-04-26
"Cedar",2021-04-26,"Cedar",30804,1951,1760,23,21,2,9334,1861,78,2021-04-26
"Cerro Gordo",2021-04-26,"Cerro Gordo",75777,5693,5011,87,73,14,25396,5278,180,2021-04-26
"Cherokee",2021-04-26,"Cherokee",20754,1679,1499,38,30,8,6107,1577,40,2021-04-26
"Chickasaw",2021-04-26,"Chickasaw",17307,1293,1202,15,13,2,5523,1228,11,2021-04-26
"Clarke",2021-04-26,"Clarke",13334,1045,953,24,22,2,4944,986,9,2021-04-26
"Clay",2021-04-26,"Clay",30234,2240,1973,25,20,5,8578,2133,135,2021-04-26
"Clayton",2021-04-26,"Clayton",24805,1760,1573,56,47,9,7259,1675,46,2021-04-26
"Clinton",2021-04-26,"Clinton",62430,5894,5097,92,79,13,23276,5429,240,2021-04-26
"Crawford",2021-04-26,"Crawford",27364,2864,2553,40,35,5,8934,2628,35,2021-04-26
"Dallas",2021-04-26,"Dallas",126771,12309,10567,97,84,13,55191,10998,334,2021-04-26
"Davis",2021-04-26,"Davis",10924,872,763,24,23,1,3527,803,16,2021-04-26
"Decatur",2021-04-26,"Decatur",10336,606,576,9,9,0,3595,592,7,2021-04-26
"Delaware",2021-04-26,"Delaware",28203,2094,1897,39,35,4,8240,2055,119,2021-04-26
"Des Moines",2021-04-26,"Des Moines",55476,4802,4292,65,54,11,21488,4463,106,2021-04-26
"Dickinson",2021-04-26,"Dickinson",26629,2637,2208,43,37,6,10682,2451,200,2021-04-26
"Dubuque",2021-04-26,"Dubuque",188260,14496,12462,205,189,16,58088,13232,565,2021-04-26
"Emmet",2021-04-26,"Emmet",16945,1385,1181,40,38,2,5260,1312,91,2021-04-26
"Fayette",2021-04-26,"Fayette",35837,1919,1780,41,36,5,9470,1839,18,2021-04-26
"Floyd",2021-04-26,"Floyd",25319,1751,1483,42,32,10,7853,1578,53,2021-04-26
"Franklin",2021-04-26,"Franklin",19312,1240,1087,21,19,2,5383,1140,32,2021-04-26
"Fremont",2021-04-26,"Fremont",7273,650,582,9,7,2,2707,616,25,2021-04-26
"Greene",2021-04-26,"Greene",14817,817,745,10,10,0,4202,769,14,2021-04-26
"Grundy",2021-04-26,"Grundy",19185,1433,1307,32,27,5,5872,1355,16,2021-04-26
"Guthrie",2021-04-26,"Guthrie",18429,1271,1125,29,24,5,5812,1192,38,2021-04-26
"Hamilton",2021-04-26,"Hamilton",23213,1975,1715,49,45,4,7677,1786,22,2021-04-26
"Hancock",2021-04-26,"Hancock",21243,1544,1370,34,27,7,6137,1444,40,2021-04-26
"Hardin",2021-04-26,"Hardin",34478,1951,1714,42,34,8,8613,1824,68,2021-04-26
"Harrison",2021-04-26,"Harrison",21187,1906,1635,73,69,4,6567,1775,67,2021-04-26
"Henry",2021-04-26,"Henry",35897,3031,2798,37,36,1,11150,2883,48,2021-04-26
"Howard",2021-04-26,"Howard",16720,1081,998,22,18,4,4687,1036,16,2021-04-26
"Humboldt",2021-04-26,"Humboldt",15381,1232,1148,26,23,3,4799,1184,10,2021-04-26
"Ida",2021-04-26,"Ida",12427,1009,837,34,32,2,3394,900,29,2021-04-26
"Iowa",2021-04-26,"Iowa",29530,1533,1416,24,22,2,8292,1468,28,2021-04-26
"Jackson",2021-04-26,"Jackson",25487,2327,2104,42,39,3,9321,2197,51,2021-04-26
"Jasper",2021-04-26,"Jasper",51241,4437,3958,70,65,5,18586,4100,72,2021-04-26
"Jefferson",2021-04-26,"Jefferson",20327,1430,1274,35,29,6,7798,1316,7,2021-04-26
"Johnson",2021-04-26,"Johnson",208927,15075,13401,83,77,6,81815,14226,742,2021-04-26
"Jones",2021-04-26,"Jones",25963,3064,2840,56,51,5,10169,2944,48,2021-04-26
"Keokuk",2021-04-26,"Keokuk",15616,1019,906,31,31,0,4321,951,14,2021-04-26
"Kossuth",2021-04-26,"Kossuth",26069,2258,2011,64,56,8,8098,2141,66,2021-04-26
"Lee",2021-04-26,"Lee",53282,3932,3590,55,42,13,16131,3699,54,2021-04-26
"Linn",2021-04-26,"Linn",288542,21838,19507,332,296,36,119671,20483,644,2021-04-26
"Louisa",2021-04-26,"Louisa",17174,1338,1201,49,42,7,5500,1274,24,2021-04-26
"Lucas",2021-04-26,"Lucas",9296,789,726,23,18,5,3903,760,11,2021-04-26
"Lyon",2021-04-26,"Lyon",16039,1566,1461,41,37,4,4737,1561,59,2021-04-26
"Madison",2021-04-26,"Madison",20462,1702,1487,19,15,4,7906,1562,56,2021-04-26
"Mahaska",2021-04-26,"Mahaska",30584,2373,2140,50,45,5,10619,2264,74,2021-04-26
"Marion",2021-04-26,"Marion",42097,3774,3447,75,64,11,16353,3567,45,2021-04-26
"Marshall",2021-04-26,"Marshall",81689,5145,4664,75,67,8,21785,4784,45,2021-04-26
"Mills",2021-04-26,"Mills",21231,1764,1538,21,18,3,7755,1597,38,2021-04-26
"Mitchell",2021-04-26,"Mitchell",17800,1366,1214,41,38,3,5546,1255,0,2021-04-26
"Monona",2021-04-26,"Monona",18054,876,764,30,28,2,3843,820,26,2021-04-26
"Monroe",2021-04-26,"Monroe",9643,989,886,28,21,7,3561,946,32,2021-04-26
"Montgomery",2021-04-26,"Montgomery",14307,1096,947,37,35,2,4364,1018,34,2021-04-26
"Muscatine",2021-04-26,"Muscatine",54850,4983,4346,98,89,9,21917,4656,212,2021-04-26
"O'Brien",2021-04-26,"O'Brien",25869,2132,1860,60,55,5,6779,1981,61,2021-04-26
"Osceola",2021-04-26,"Osceola",8862,801,698,16,13,3,2553,774,60,2021-04-26
"Page",2021-04-26,"Page",21113,1973,1838,21,19,2,6437,1909,50,2021-04-26
"Palo Alto",2021-04-26,"Palo Alto",18634,1172,1035,23,22,1,4573,1116,58,2021-04-26
"Pending Investigation",2021-04-26,"Pending Investigation",10572,1028,955,0,0,0,5504,1000,45,2021-04-26
"Plymouth",2021-04-26,"Plymouth",37977,4289,3756,79,71,8,13504,3990,155,2021-04-26
"Pocahontas",2021-04-26,"Pocahontas",12827,889,811,21,21,0,3493,846,14,2021-04-26
"Polk",2021-04-26,"Polk",686144,63738,53780,612,542,70,281505,56571,2179,2021-04-26
"Pottawattamie",2021-04-26,"Pottawattamie",118642,11973,10133,164,145,19,48370,10888,591,2021-04-26
"Poweshiek",2021-04-26,"Poweshiek",43758,1609,1486,33,30,3,9032,1534,15,2021-04-26
"Ringgold",2021-04-26,"Ringgold",9584,555,509,24,18,6,2415,536,3,2021-04-26
"Sac",2021-04-26,"Sac",19890,1371,1216,19,19,0,5450,1289,54,2021-04-26
"Scott",2021-04-26,"Scott",208363,20765,17737,237,216,21,88491,19369,1395,2021-04-26
"Shelby",2021-04-26,"Shelby",17102,1350,1208,37,33,4,5603,1292,47,2021-04-26
"Sioux",2021-04-26,"Sioux",44892,5261,4872,73,70,3,16339,5091,146,2021-04-26
"Story",2021-04-26,"Story",160642,11154,9942,47,41,6,56865,10404,415,2021-04-26
"Tama",2021-04-26,"Tama",32489,2203,1979,71,67,4,8559,2077,27,2021-04-26
"Taylor",2021-04-26,"Taylor",8538,678,633,12,10,2,2539,654,9,2021-04-26
"Union",2021-04-26,"Union",16939,1317,1183,32,26,6,6584,1235,20,2021-04-26
"Van Buren",2021-04-26,"Van Buren",8365,580,530,18,15,3,2793,556,8,2021-04-26
"Wapello",2021-04-26,"Wapello",46687,4616,4094,122,118,4,18779,4259,43,2021-04-26
"Warren",2021-04-26,"Warren",76236,6133,5291,87,77,10,28526,5638,260,2021-04-26
"Washington",2021-04-26,"Washington",40967,2669,2399,50,46,4,12070,2504,55,2021-04-26
"Wayne",2021-04-26,"Wayne",6939,564,489,23,18,5,2516,522,10,2021-04-26
"Webster",2021-04-26,"Webster",67788,5374,4946,92,77,15,21556,5093,55,2021-04-26
"Winnebago",2021-04-26,"Winnebago",17315,1489,1308,31,26,5,6390,1384,45,2021-04-26
"Winneshiek",2021-04-26,"Winneshiek",39262,2033,1856,33,28,5,10501,1953,64,2021-04-26
"Woodbury",2021-04-26,"Woodbury",144888,16280,14281,224,206,18,61122,15003,498,2021-04-26
"Worth",2021-04-26,"Worth",13001,762,676,8,7,1,3889,720,36,2021-04-26
"Wright",2021-04-26,"Wright",20592,1879,1736,35,28,7,7932,1812,41,2021-04-26
"Total",2021-04-26,"Totals",4750284,392495,344566,5927,5259,668,1698976,362898,12405,2021-04-26
