"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",3946,907,851,32,24,0.229853015712114,2021-07-20
"2","Adams",1743,359,337,4,18,0.205966724039013,2021-07-20
"3","Allamakee",6889,1574,1497,52,25,0.228480185803455,2021-07-20
"4","Appanoose",6675,1298,1228,49,21,0.194456928838951,2021-07-20
"5","Audubon",2964,540,516,14,10,0.182186234817814,2021-07-20
"6","Benton",14156,2661,2565,55,41,0.187976829612885,2021-07-20
"7","Black Hawk",77855,17114,16110,320,684,0.219818894098003,2021-07-20
"8","Boone",15216,2774,2655,35,84,0.182308096740273,2021-07-20
"9","Bremer",13423,2969,2844,63,62,0.221187513968561,2021-07-20
"10","Buchanan",10400,1999,1919,34,46,0.192211538461538,2021-07-20
"11","Buena Vista",15884,4345,4252,40,53,0.273545706371191,2021-07-20
"12","Butler",7731,1719,1632,35,52,0.222351571594878,2021-07-20
"13","Calhoun",5811,1461,1389,13,59,0.251419721218379,2021-07-20
"14","Carroll",12234,2889,2807,52,30,0.236145169200589,2021-07-20
"15","Cass",6864,1428,1341,55,32,0.208041958041958,2021-07-20
"16","Cedar",10033,1954,1902,23,29,0.194757300907007,2021-07-20
"17","Cerro Gordo",27730,5694,5496,98,100,0.205337179949513,2021-07-20
"18","Cherokee",6486,1633,1570,38,25,0.25177304964539,2021-07-20
"19","Chickasaw",6019,1271,1242,17,12,0.211164645289915,2021-07-20
"20","Clarke",5396,1040,996,24,20,0.192735359525574,2021-07-20
"21","Clay",9139,2183,2144,27,12,0.238866396761134,2021-07-20
"22","Clayton",7961,1745,1667,58,20,0.219193568647155,2021-07-20
"23","Clinton",25695,5681,5538,94,49,0.22109359797626,2021-07-20
"24","Crawford",9492,2773,2654,41,78,0.292140750105352,2021-07-20
"25","Dallas",59893,11614,11266,99,249,0.193912477251098,2021-07-20
"26","Davis",3954,898,834,25,39,0.227111785533637,2021-07-20
"27","Decatur",3928,672,641,9,22,0.171079429735234,2021-07-20
"28","Delaware",8885,2157,2067,43,47,0.242768711311199,2021-07-20
"29","Des Moines",23614,4946,4668,78,200,0.209452019988143,2021-07-20
"30","Dickinson",11255,2522,2463,46,13,0.224078187472235,2021-07-20
"31","Dubuque",62147,13670,13343,215,112,0.219962347337764,2021-07-20
"32","Emmet",5624,1377,1324,41,12,0.244843527738265,2021-07-20
"33","Fayette",10215,1916,1837,43,36,0.187567302985805,2021-07-20
"34","Floyd",8575,1663,1605,42,16,0.193935860058309,2021-07-20
"35","Franklin",6110,1314,1233,23,58,0.21505728314239,2021-07-20
"36","Fremont",2932,653,640,10,3,0.222714870395634,2021-07-20
"37","Greene",4534,806,778,11,17,0.17776797529775,2021-07-20
"38","Grundy",6281,1413,1354,33,26,0.224964177678714,2021-07-20
"39","Guthrie",6379,1264,1215,32,17,0.198150180279041,2021-07-20
"40","Hamilton",8407,1914,1785,51,78,0.227667420007137,2021-07-20
"41","Hancock",6728,1554,1476,34,44,0.230975029726516,2021-07-20
"42","Hardin",9377,1947,1848,44,55,0.207635704383065,2021-07-20
"43","Harrison",6957,1837,1740,73,24,0.264050596521489,2021-07-20
"44","Henry",12108,3046,2965,37,44,0.251569210439379,2021-07-20
"45","Howard",5049,1062,1031,22,9,0.210338680926916,2021-07-20
"46","Humboldt",5187,1275,1197,26,52,0.245806824754193,2021-07-20
