"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"County","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Out of State","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"Single.Dose.Series.Completed","18793","326","6","106","461","101","442","5849","526","1168","301","3454","160","169","1059","411","267","1711","244","326","1351","233","644","1442","1572","2280","1650","118","732","676","220","2009","358","883","992","230","95","487","367","235","399","706","1300","234","1809","164","371","480","587","243","1062","922","3962","834","100","466","1774","8175","1517","376","70","148","486","3982","2656","142","134","183","274","564","4773","318","158","1","753","140","2880","144","11310","4761","400","4","45","5811","110","2604","2598","967","17","269","101","677","906","512","370","1187","484","962","4650","1","1667","117361"
"3","18794","327","6","106","463","101","442","5886","526","1175","303","3469","160","169","1062","414","267","1714","245","326","1351","235","644","1447","1573","2285","1652","118","747","679","221","2014","360","884","995","236","95","492","370","235","399","707","1300","234","1831","164","371","484","590","246","1062","924","3984","834","100","469","1781","8189","1517","376","70","148","492","3982","2658","142","135","184","274","564","4778","319","159","1","753","142","2886","144","11354","4768","400","4","45","5827","110","2607","2608","969","17","271","102","714","915","512","370","1188","484","973","4663","1","1667","117756"
"4","18795","327","7","106","463","101","442","5912","526","1179","305","3473","160","169","1066","414","267","1717","245","326","1351","236","644","1454","1573","2294","1654","118","747","681","226","2019","364","893","998","236","96","493","372","238","401","707","1302","234","1838","164","371","485","592","246","1063","928","3997","850","100","469","1787","8192","1519","376","70","151","502","3983","2658","142","135","186","274","564","4783","319","159","1","753","145","2888","144","11365","4772","400","4","45","5835","119","2607","2624","969","17","274","105","730","920","513","370","1199","484","974","4671","1","1686","118054"
"5","18796","327","8","106","464","101","447","5928","526","1180","306","3476","160","169","1070","414","270","1722","245","326","1351","237","644","1455","1573","2310","1654","118","752","683","230","2023","368","894","1001","236","96","493","373","238","401","706","1305","234","1840","164","371","485","594","246","1087","928","4022","861","100","469","1795","8218","1519","376","70","151","503","3983","2662","142","140","187","274","565","4794","320","159","1","761","145","2891","144","11415","4774","407","4","45","5867","119","2613","2637","969","17","276","105","748","921","514","370","1200","488","977","4676","1","1692","118422"
"6","18797","327","8","106","465","101","451","5947","527","1184","306","3501","161","169","1073","414","271","1738","249","330","1352","242","651","1466","1574","2326","1654","118","752","683","232","2038","369","894","1008","239","98","493","373","238","401","706","1307","238","1845","164","371","485","597","246","1088","930","4041","862","100","472","1807","8255","1519","380","70","151","506","3983","2675","143","141","190","275","565","4806","325","160","1","764","145","2891","144","11529","4775","407","4","45","5898","122","2614","2651","969","17","279","105","769","926","516","371","1213","491","979","4692","1","1697","118947"
"7","18798","327","8","107","470","101","456","5960","529","1190","307","3510","161","169","1073","417","272","1750","251","330","1352","242","652","1476","1575","2337","1657","118","752","691","232","2044","369","897","1011","239","98","496","374","238","401","709","1310","240","1848","164","374","489","598","251","1088","932","4053","863","100","472","1811","8285","1519","383","70","152","510","3987","2709","144","142","190","278","568","4811","328","160","1","773","145","2913","145","11593","4780","407","4","49","5919","123","2617","2662","969","17","280","111","805","934","518","375","1248","491","981","4705","1","1705","119448"
"8","18799","327","8","107","470","101","456","5964","532","1191","307","3511","161","169","1077","417","275","1760","252","330","1352","243","652","1477","1576","2353","1657","118","752","691","235","2052","369","900","1012","239","98","496","375","238","401","709","1311","240","1848","164","374","489","598","251","1114","935","4062","863","100","472","1821","8306","1519","383","70","154","510","3987","2711","144","142","190","280","568","4816","328","160","1","773","145","2914","145","11645","4782","407","4","49","5932","124","2619","2668","969","17","280","111","812","934","522","375","1252","493","982","4707","1","1705","119688"
"9","18800","327","8","107","470","101","456","5967","533","1191","307","3514","161","169","1078","417","275","1766","252","330","1352","244","652","1479","1576","2358","1657","118","752","691","235","2055","369","900","1012","239","98","496","375","238","401","709","1311","240","1848","164","374","489","598","251","1114","935","4064","863","100","472","1822","8311","1519","383","70","154","510","3987","2716","144","142","190","280","568","4818","328","160","1","773","145","2916","145","11672","4782","407","4","49","5935","124","2619","2673","969","17","280","111","814","934","523","375","1255","493","982","4711","1","1705","119775"
"10","18801","329","8","108","472","101","457","6000","533","1195","311","3517","161","169","1082","417","277","1779","252","330","1352","245","652","1486","1578","2358","1658","118","751","693","237","2059","369","903","1012","239","98","499","379","238","401","709","1311","240","1850","164","375","490","603","252","1115","935","4065","869","100","473","1822","8340","1522","383","70","154","515","3987","2727","144","142","190","281","569","4831","331","160","1","775","146","2917","146","11701","4787","407","4","49","5958","124","2619","2679","969","17","283","111","820","934","524","376","1256","494","987","4722","1","1705","120054"
"11","18802","329","8","109","473","101","459","6009","536","1199","311","3521","161","169","1084","422","277","1785","253","330","1353","246","652","1491","1581","2368","1658","118","752","693","240","2068","369","904","1015","239","98","499","380","244","401","709","1311","240","1859","164","376","491","604","254","1116","938","4073","874","100","473","1825","8376","1522","389","72","154","517","4003","2739","144","142","191","281","571","4839","333","161","1","780","146","2919","146","11767","4791","407","4","49","5981","125","2623","2682","969","19","285","111","824","942","526","376","1261","496","987","4739","1","1705","120408"
"12","18803","331","8","111","475","101","459","6021","542","1202","313","3529","162","169","1087","422","279","1805","257","330","1353","246","652","1501","1581","2374","1658","118","754","693","242","2075","369","904","1017","240","98","501","381","244","403","709","1314","240","1862","164","377","491","605","254","1121","942","4080","879","100","474","1855","8404","1524","389","72","154","522","4008","2748","144","144","195","282","571","4850","338","161","1","784","146","2921","146","11817","4793","415","4","49","6008","126","2623","2694","969","19","288","111","824","944","529","376","1263","498","989","4746","1","1710","120774"
"13","18804","331","8","111","475","101","459","6031","542","1204","316","3531","164","171","1089","427","279","1818","258","337","1355","254","653","1512","1582","2380","1658","118","755","701","242","2086","369","904","1019","244","98","501","385","245","403","712","1318","240","1868","164","378","491","606","254","1127","944","4105","884","100","477","1861","8438","1524","390","72","154","523","4009","2753","144","144","196","282","571","4857","338","161","1","785","146","2924","146","11903","4798","415","4","50","6028","126","2624","2695","969","19","291","111","825","947","529","376","1271","500","991","4756","1","1712","121144"
"14","18805","331","8","111","475","101","459","6039","544","1205","317","3534","165","177","1091","427","280","1819","258","337","1355","256","653","1517","1583","2385","1658","118","755","702","243","2098","378","906","1019","244","98","501","388","256","403","712","1321","244","1876","164","378","491","610","256","1130","947","4108","885","100","477","1868","8464","1525","390","72","154","525","4011","2753","145","144","196","284","571","4863","338","161","1","790","147","2925","146","11993","4817","415","4","50","6051","126","2626","2701","969","19","291","111","852","950","532","376","1273","500","994","4772","1","1712","121501"
