"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"County","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Out of State","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"Total.Dose.Completed","18793","2405","1613","5477","4455","2028","7580","67554","10898","12479","6141","9822","3929","4222","9989","10160","6204","24774","4681","3015","5252","7929","6493","16249","7239","42560","4754","2868","5047","17052","7365","58153","4788","10458","6984","3520","1657","4629","4698","4376","6980","3591","7143","3449","8669","2163","4131","2004","6003","7828","13989","7698","87739","6664","1646","5964","12788","120324","4618","3591","2974","6758","7447","15175","14976","5187","4331","2194","3288","3580","17365","5265","1598","5212","7101","3310","9462","1961","236700","45198","9016","1995","3232","78460","5581","12010","47853","8717","2159","4773","1492","11803","16575","7191","3186","16966","4157","8343","44052","1661","6155","1430938"
"3","18794","2457","1615","5485","4466","2037","7592","67884","10924","12531","6165","9846","3929","4223","10093","10174","6214","24827","4682","3015","5272","7936","6495","16313","7241","42736","4756","2871","5088","17086","7384","58274","4793","10464","6994","3527","1657","4637","4706","4382","6987","3592","7148","3449","8704","2163","4131","2008","6014","7876","14042","7712","88033","6670","1646","5978","12801","120772","4619","3594","2974","6766","7459","15195","15007","5188","4334","2196","3291","3581","17377","5284","1599","5212","7103","3312","9488","1961","237853","45290","9025","2003","3232","78658","5582","12029","48035","8726","2159","4779","1496","11869","16643","7200","3186","17005","4159","8370","44150","1668","6163","1435317"
"4","18795","2457","1616","5488","4470","2037","7605","68055","10947","12564","6192","9853","3929","4223","10114","10183","6219","24858","4687","3016","5279","8048","6499","16392","7258","42802","4769","2871","5097","17132","7401","58541","4802","10522","6997","3528","1666","4643","4713","4388","6990","3592","7161","3449","8714","2163","4131","2009","6017","7889","14098","7725","88228","6709","1646","5978","12859","121050","4621","3607","2974","6769","7470","15199","15018","5188","4334","2198","3299","3581","17418","5287","1604","5212","7105","3315","9511","1961","238600","45436","9030","2003","3232","78849","5594","12061","48261","8754","2159","4788","1499","11892","16701","7208","3186","17030","4163","8389","44223","1668","6204","1438870"
"5","18796","2471","1618","5499","4480","2037","7629","68230","11040","12619","6201","9890","3929","4223","10158","10200","6228","24944","4694","3041","5297","8060","6501","16488","7276","42978","4778","2874","5126","17198","7430","58693","4814","10548","7012","3528","1669","4655","4715","4412","7010","3618","7182","3449","8728","2169","4135","2009","6040","7922","14165","7744","88519","6738","1664","5998","12898","121510","4631","3616","2981","6775","7507","15232","15139","5200","4372","2236","3306","3591","17473","5297","1604","5211","7147","3322","9559","1961","239853","45647","9082","2005","3232","79323","5608","12086","48510","8768","2160","4800","1499","11987","16785","7251","3198","17071","4186","8426","44438","1668","6231","1444655"
"6","18797","2471","1618","5499","4493","2037","7643","68452","11078","12668","6228","9941","3930","4223","10182","10229","6250","25053","4713","3045","5311","8101","6523","16558","7302","43222","4785","2875","5141","17268","7455","58969","4823","10572","7042","3571","1672","4669","4715","4412","7023","3618","7195","3453","8750","2188","4143","2009","6051","7944","14210","7768","88778","6744","1665","6025","12967","122045","4637","3632","2981","6795","7531","15291","15228","5737","4373","2275","3334","3604","17549","5354","1613","5211","7180","3341","9584","1972","241756","45801","9103","2007","3232","79673","5635","12106","48667","8782","2160","4841","1499","12050","16841","7295","3204","17150","4202","8512","44635","1668","6276","1451632"
"7","18798","2473","1618","5508","4503","2037","7657","68636","11098","12713","6247","9961","3930","4224","10209","10246","6253","25127","4724","3045","5318","8107","6534","16663","7319","43391","4790","2875","5155","17323","7467","59175","4825","10586","7056","3579","1676","4691","4776","4434","7042","3630","7203","3471","8762","2188","4150","2015","6057","7978","14259","7798","88924","6761","1665","6049","12984","122359","4637","3650","2984","6819","7544","15317","15368","5748","4374","2276","3342","3613","17579","5363","1617","5211","7199","3343","9638","1973","242676","45893","9118","2023","3246","79972","5642","12134","48887","8850","2179","4853","1505","12133","16897","7340","3215","17212","4225","8527","44787","1681","6305","1456139"
"8","18799","2473","1630","5508","4505","2037","7663","68727","11114","12743","6256","9988","3930","4224","10225","10264","6261","25191","4727","3045","5331","8112","6536","16697","7344","43526","4795","2882","5163","17364","7482","59252","4827","10598","7068","3579","1676","4703","4777","4437","7046","3630","7229","3471","8769","2188","4155","2015","6057","7980","14315","7866","89106","6765","1665","6053","13024","122594","4641","3652","2984","6835","7557","15345","15414","5760","4374","2276","3350","3613","17622","5370","1617","5211","7211","3346","9644","1974","243393","46002","9127","2027","3246","80242","5648","12149","48970","8861","2179","4865","1505","12161","16916","7350","3216","17260","4230","8555","44876","1681","6305","1459148"
"9","18800","2473","1630","5508","4505","2037","7664","68801","11121","12750","6257","9998","3930","4224","10234","10274","6265","25231","4731","3045","5335","8117","6536","16717","7355","43583","4796","2882","5166","17412","7485","59285","4831","10605","7076","3579","1676","4705","4777","4437","7050","3630","7233","3471","8774","2188","4160","2015","6057","7981","14327","7876","89191","6766","1665","6056","13048","122729","4641","3652","2984","6839","7563","15362","15450","5764","4374","2276","3352","3618","17637","5371","1617","5211","7211","3346","9650","1981","243799","46063","9132","2027","3246","80370","5650","12153","49017","8861","2179","4868","1505","12182","16919","7366","3216","17292","4231","8567","44937","1681","6309","1460719"
"10","18801","2479","1630","5518","4510","2090","7669","68940","11121","12768","6271","10008","3930","4224","10248","10276","6268","25296","4733","3045","5335","8119","6536","16747","7360","43645","4798","2882","5175","17437","7492","59348","4831","10610","7082","3579","1676","4712","4790","4437","7054","3631","7233","3471","8779","2205","4167","2016","6062","7989","14350","7889","89314","6777","1665","6070","13059","122890","4644","3654","2984","6842","7577","15373","15485","5765","4376","2276","3354","3619","17663","5375","1617","5211","7213","3347","9663","1982","244343","46128","9138","2027","3246","80480","5653","12158","49088","8871","2179","4881","1505","12206","16935","7380","3217","17301","4233","8598","45018","1686","6340","1462867"
