"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"County","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Out of State","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"Two.Dose.Series.Completed","18793","2079","1607","5371","3994","1927","7138","61705","10372","11311","5840","6368","3769","4053","8930","9749","5937","23063","4437","2689","3901","7696","5849","14807","5667","40280","3104","2750","4315","16376","7145","56144","4430","9575","5992","3290","1562","4142","4331","4141","6581","2885","5843","3215","6860","1999","3760","1524","5416","7585","12927","6776","83777","5830","1546","5498","11014","112149","3101","3215","2904","6610","6961","11193","12320","5045","4197","2011","3014","3016","12592","4947","1440","5211","6348","3170","6582","1817","225390","40437","8616","1991","3187","72649","5471","9406","45255","7750","2142","4504","1391","11126","15669","6679","2816","15779","3673","7381","39402","1660","4488","1313577"
"3","18794","2130","1609","5379","4003","1936","7150","61998","10398","11356","5862","6377","3769","4054","9031","9760","5947","23113","4437","2689","3921","7701","5851","14866","5668","40451","3104","2753","4341","16407","7163","56260","4433","9580","5999","3291","1562","4145","4336","4147","6588","2885","5848","3215","6873","1999","3760","1524","5424","7630","12980","6788","84049","5836","1546","5509","11020","112583","3102","3218","2904","6618","6967","11213","12349","5046","4199","2012","3017","3017","12599","4965","1440","5211","6350","3170","6602","1817","226499","40522","8625","1999","3187","72831","5472","9422","45427","7757","2142","4508","1394","11155","15728","6688","2816","15817","3675","7397","39487","1667","4496","1317561"
"4","18795","2130","1609","5382","4007","1936","7163","62143","10421","11385","5887","6380","3769","4054","9048","9769","5952","23141","4442","2690","3928","7812","5855","14938","5685","40508","3115","2753","4350","16451","7175","56522","4438","9629","5999","3292","1570","4150","4341","4150","6589","2885","5859","3215","6876","1999","3760","1524","5425","7643","13035","6797","84231","5859","1546","5509","11072","112858","3102","3231","2904","6618","6968","11216","12360","5046","4199","2012","3025","3017","12635","4968","1445","5211","6352","3170","6623","1817","227235","40664","8630","1999","3187","73014","5475","9454","45637","7785","2142","4514","1394","11162","15781","6695","2816","15831","3679","7415","39552","1667","4518","1320816"
"5","18796","2144","1610","5393","4016","1936","7182","62302","10514","11439","5895","6414","3769","4054","9088","9786","5958","23222","4449","2715","3946","7823","5857","15033","5703","40668","3124","2756","4374","16515","7200","56670","4446","9654","6011","3292","1573","4162","4342","4174","6609","2912","5877","3215","6888","2005","3764","1524","5446","7676","13078","6816","84497","5877","1564","5529","11103","113292","3112","3240","2911","6624","7004","11249","12477","5058","4232","2049","3032","3026","12679","4977","1445","5210","6386","3177","6668","1817","228438","40873","8675","2001","3187","73456","5489","9473","45873","7799","2143","4524","1394","11239","15864","6737","2828","15871","3698","7449","39762","1667","4539","1326233"
"6","18797","2144","1610","5393","4028","1936","7192","62505","10551","11484","5922","6440","3769","4054","9109","9815","5979","23315","4464","2715","3959","7859","5872","15092","5728","40896","3131","2757","4389","16585","7223","56931","4454","9678","6034","3332","1574","4176","4342","4174","6622","2912","5888","3215","6905","2024","3772","1524","5454","7698","13122","6838","84737","5882","1565","5553","11160","113790","3118","3252","2911","6644","7025","11308","12553","5594","4232","2085","3059","3039","12743","5029","1453","5210","6416","3196","6693","1828","230227","41026","8696","2003","3187","73775","5513","9492","46016","7813","2143","4562","1394","11281","15915","6779","2833","15937","3711","7533","39943","1667","4579","1332685"
"7","18798","2146","1610","5401","4033","1936","7201","62676","10569","11523","5940","6451","3769","4055","9136","9829","5981","23377","4473","2715","3966","7865","5882","15187","5744","41054","3133","2757","4403","16632","7235","57131","4456","9689","6045","3340","1578","4195","4402","4196","6641","2921","5893","3231","6914","2024","3776","1526","5459","7727","13171","6866","84871","5898","1565","5577","11173","114074","3118","3267","2914","6667","7034","11330","12659","5604","4232","2086","3064","3045","12768","5035","1457","5210","6426","3198","6725","1828","231083","41113","8711","2019","3197","74053","5519","9517","46225","7881","2162","4573","1394","11328","15963","6822","2840","15964","3734","7546","40082","1680","4600","1336691"
"8","18799","2146","1622","5401","4035","1936","7207","62763","10582","11552","5949","6477","3769","4055","9148","9847","5986","23431","4475","2715","3979","7869","5884","15220","5768","41173","3138","2764","4411","16673","7247","57200","4458","9698","6056","3340","1578","4207","4402","4199","6645","2921","5918","3231","6921","2024","3781","1526","5459","7729","13201","6931","85044","5902","1565","5581","11203","114288","3122","3269","2914","6681","7047","11358","12703","5616","4232","2086","3070","3045","12806","5042","1457","5210","6438","3201","6730","1829","231748","41220","8720","2023","3197","74310","5524","9530","46302","7892","2162","4585","1394","11349","15982","6828","2841","16008","3737","7573","40169","1680","4600","1339460"
"9","18800","2146","1622","5401","4035","1936","7208","62834","10588","11559","5950","6484","3769","4055","9156","9857","5990","23465","4479","2715","3983","7873","5884","15238","5779","41225","3139","2764","4414","16721","7250","57230","4462","9705","6064","3340","1578","4209","4402","4199","6649","2921","5922","3231","6926","2024","3786","1526","5459","7730","13213","6941","85127","5903","1565","5584","11226","114418","3122","3269","2914","6685","7053","11375","12734","5620","4232","2086","3072","3050","12819","5043","1457","5210","6438","3201","6734","1836","232127","41281","8725","2023","3197","74435","5526","9534","46344","7892","2162","4588","1394","11368","15985","6843","2841","16037","3738","7585","40226","1680","4604","1340944"
"10","18801","2150","1622","5410","4038","1989","7212","62940","10588","11573","5960","6491","3769","4055","9166","9859","5991","23517","4481","2715","3983","7874","5884","15261","5782","41287","3140","2764","4424","16744","7255","57289","4462","9707","6070","3340","1578","4213","4411","4199","6653","2922","5922","3231","6929","2041","3792","1526","5459","7737","13235","6954","85249","5908","1565","5597","11237","114550","3122","3271","2914","6688","7062","11386","12758","5621","4234","2086","3073","3050","12832","5044","1457","5210","6438","3201","6746","1836","232642","41341","8731","2023","3197","74522","5529","9539","46409","7902","2162","4598","1394","11386","16001","6856","2841","16045","3739","7611","40296","1685","4635","1342813"
