"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"County","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Out of State","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"Two.Dose.Series.Initiated","18793","203","98","338","298","80","403","5646","924","1095","346","660","95","93","737","522","291","2170","226","126","331","601","209","1750","386","4001","177","164","283","2068","518","4044","588","563","317","195","77","311","345","254","299","126","303","270","482","172","249","113","295","425","982","739","7673","323","53","483","1027","9806","156","189","103","318","507","882","1405","596","180","139","192","282","1324","339","53","247","653","171","518","81","30448","4849","566","101","107","8270","268","594","5504","766","92","414","72","1019","1668","634","196","1506","272","798","4313","77","405","126627"
"3","18794","157","96","330","289","76","398","5479","903","1059","330","658","94","92","648","520","281","2142","228","126","319","597","207","1709","389","3879","177","164","260","2050","503","3962","585","559","313","210","77","315","344","250","294","126","302","270","471","172","248","113","293","386","944","732","7504","326","53","480","1025","9547","155","186","103","312","505","877","1400","595","183","139","190","284","1325","324","53","247","650","171","501","81","29827","4832","561","96","107","8187","269","587","5396","759","93","418","75","1002","1620","625","196","1481","270","801","4284","71","397","124296"
"4","18795","157","96","332","286","76","391","5402","885","1047","311","657","94","91","643","516","279","2143","225","125","313","500","205","1672","373","3851","170","164","261","2023","498","3752","581","536","315","209","73","312","347","251","294","126","302","270","469","172","248","113","293","375","908","728","7401","313","53","480","982","9397","154","181","103","312","506","879","1418","595","185","139","183","285","1306","325","50","247","648","171","487","81","29476","4733","560","95","107","8069","267","565","5224","739","95","415","75","1003","1577","620","196","1489","267","786","4303","71","377","122450"
"5","18796","143","96","322","281","76","387","5353","809","1005","309","640","92","91","623","504","280","2124","220","111","298","502","205","1600","368","3748","169","164","269","1989","491","3666","578","514","309","209","72","303","345","229","282","104","288","272","465","169","247","113","273","351","895","721","7243","301","36","462","978","9161","150","176","99","309","485","856","1366","589","155","102","186","278","1281","326","50","246","619","164","455","81","28831","4609","527","95","107","7794","260","558","5050","724","98","414","75","952","1515","589","183","1460","255","770","4205","71","366","119336"
"6","18797","143","96","322","272","76","401","5235","779","965","289","638","93","90","614","489","272","2080","212","111","291","483","194","1582","355","3640","165","163","256","1964","479","3476","575","501","302","169","72","292","346","231","273","104","281","269","458","150","244","113","273","333","873","706","7166","301","42","446","963","8905","155","168","103","306","476","820","1338","553","155","66","163","275","1252","289","45","246","595","152","441","71","27860","4567","530","93","107","7639","247","547","4960","712","98","386","75","918","1495","558","180","1418","246","700","4125","71","331","116145"
"7","18798","146","96","326","275","76","397","5150","764","942","278","640","92","90","590","488","278","2040","209","110","291","485","186","1508","349","3547","166","162","249","1935","475","3344","575","506","300","164","69","277","295","216","264","99","280","253","460","148","242","119","269","306","838","691","7091","286","42","427","958","8755","157","156","103","287","477","809","1266","544","159","66","160","272","1245","289","42","246","589","153","420","72","27387","4526","520","78","99","7485","247","531","4792","647","83","385","76","899","1472","522","175","1407","226","696","4078","59","311","113827"
"8","18799","146","88","326","277","76","394","5125","755","922","273","631","91","90","590","476","275","2006","208","110","280","489","184","1503","336","3498","162","155","245","1922","473","3306","572","500","299","164","69","268","295","215","267","99","262","253","462","148","239","119","269","305","828","634","6991","285","42","433","943","8673","153","157","103","277","472","790","1236","532","159","66","156","272","1235","284","42","246","583","153","421","75","27088","4521","522","74","99","7341","244","525","4796","638","83","379","76","887","1451","519","174","1385","226","673","4060","59","311","112589"
"9","18800","146","88","326","279","76","393","5081","753","916","277","631","91","90","586","469","271","1986","204","110","276","489","184","1495","331","3471","161","155","243","1889","470","3280","568","498","292","164","69","266","295","215","266","99","258","253","462","148","237","119","269","307","820","630","6959","286","42","431","929","8604","153","157","103","275","467","779","1212","531","159","66","155","273","1225","285","42","246","582","153","419","73","26957","4494","522","74","99","7277","242","525","4774","636","83","376","76","872","1455","505","176","1368","225","664","4021","59","307","111845"
"10","18801","144","88","320","277","26","391","5056","753","923","280","631","91","89","579","471","275","1968","205","110","277","488","184","1489","330","3441","163","155","237","1877","466","3244","568","499","291","164","69","262","293","215","264","99","260","253","463","152","233","119","272","309","816","629","6900","290","42","423","921","8579","154","156","103","272","464","775","1203","531","160","66","154","275","1230","287","46","247","581","153","413","73","26727","4476","519","80","99","7260","240","527","4745","628","83","371","76","859","1451","496","176","1367","230","644","3993","56","277","111136"
"11","18802","144","86","318","267","26","395","5040","728","913","286","642","91","89","566","469","275","1935","204","110","276","490","181","1502","334","3440","162","156","232","1875","458","3229","566","498","285","166","69","260","295","210","262","99","244","253","461","152","234","119","260","306","813","637","6828","285","42","415","877","8533","144","158","103","264","467","778","1194","539","160","66","160","274","1105","286","44","246","583","152","408","71","26718","4485","519","81","99","7280","244","528","4756","612","83","361","76","863","1429","491","173","1372","227","626","3953","55","267","110588"
"12","18803","138","85","316","265","26","390","5021","669","892","279","638","91","89","559","456","267","1927","199","112","270","486","181","1537","332","3420","156","154","230","1868","443","3205","560","498","279","147","69","245","297","199","229","93","243","252","457","147","232","119","255","305","810","641","6827","275","45","409","847","8495","146","159","102","261","459","773","1198","531","139","76","159","276","1110","285","44","246","587","154","397","72","26523","4466","516","81","99","7187","239","514","4725","609","85","338","76","859","1417","475","171","1357","227","599","3944","54","248","109659"
"13","18804","128","86","318","264","26","399","4968","662","858","279","627","92","75","557","458","263","1925","200","108","270","477","173","1529","321","3398","162","148","228","1849","442","3180","551","488","274","136","69","237","295","200","231","86","241","252","460","147","231","119","225","305","811","638","6747","273","38","395","856","8376","144","162","98","269","457","760","1194","529","140","76","158","275","1085","263","44","246","584","152","393","65","26160","4418","510","77","91","7166","225","512","4651","600","85","337","76","844","1361","484","170","1350","227","559","3926","53","239","108366"
"14","18805","128","85","304","262","26","402","4885","663","855","277","622","92","76","529","454","256","1929","198","111","265","471","170","1462","325","3326","163","148","222","1747","442","3112","548","474","274","136","69","218","287","193","231","86","240","249","459","147","224","115","226","303","804","634","6555","275","38","394","851","8163","144","162","103","255","457","755","1147","523","152","76","159","273","1063","263","34","246","583","153","391","67","25159","4330","510","75","90","7051","219","503","4606","563","85","332","76","844","1266","480","170","1273","219","541","3871","47","239","105755"
