"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1053","38","20","0","0.0360873694207028",2020-08-14
"Adams","Adams","437","17","16","0","0.0389016018306636",2020-08-14
"Allamakee","Allamakee","2141","160","136","4","0.0747314339093881",2020-08-14
"Appanoose","Appanoose","1596","53","42","3","0.0332080200501253",2020-08-14
"Audubon","Audubon","746","30","19","1","0.0402144772117962",2020-08-14
"Benton","Benton","3591","162","103","1","0.0451127819548872",2020-08-14
"Black Hawk","Black Hawk","25474","3217","2612","66","0.126285624558373",2020-08-14
"Boone","Boone","4257","275","183","3","0.0645994832041344",2020-08-14
"Bremer","Bremer","3726","235","127","7","0.0630703166935051",2020-08-14
"Buchanan","Buchanan","3069","138","71","1","0.0449657869012708",2020-08-14
"Buena Vista","Buena Vista","8004","1801","1743","12","0.225012493753123",2020-08-14
"Butler","Butler","2353","132","111","2","0.0560985975350616",2020-08-14
"Calhoun","Calhoun","1631","89","78","2","0.0545677498467198",2020-08-14
"Carroll","Carroll","3526","205","166","2","0.0581395348837209",2020-08-14
"Cass","Cass","1780","90","55","1","0.050561797752809",2020-08-14
"Cedar","Cedar","2563","135","102","1","0.0526726492391728",2020-08-14
"Cerro Gordo","Cerro Gordo","8406","667","433","18","0.0793480847014038",2020-08-14
"Cherokee","Cherokee","1776","110","99","1","0.0619369369369369",2020-08-14
"Chickasaw","Chickasaw","1702","61","53","0","0.0358401880141011",2020-08-14
"Clarke","Clarke","1580","208","147","3","0.131645569620253",2020-08-14
"Clay","Clay","2685","205","159","1","0.0763500931098696",2020-08-14
"Clayton","Clayton","2323","112","93","3","0.0482135170038743",2020-08-14
"Clinton","Clinton","6251","441","178","4","0.070548712206047",2020-08-14
"Crawford","Crawford","3753","744","685","3","0.1982414068745",2020-08-14
"Dallas","Dallas","18024","1949","1514","35","0.108133599644918",2020-08-14
"Davis","Davis","866","62","44","2","0.0715935334872979",2020-08-14
"Decatur","Decatur","631","27","23","0","0.0427892234548336",2020-08-14
"Delaware","Delaware","2528","125","93","1","0.0494462025316456",2020-08-14
"Des Moines","Des Moines","4797","207","111","2","0.0431519699812383",2020-08-14
"Dickinson","Dickinson","4018","385","332","4","0.0958188153310105",2020-08-14
"Dubuque","Dubuque","21374","1745","1180","31","0.0816412463740994",2020-08-14
"Emmet","Emmet","1607","194","138","4","0.120721841941506",2020-08-14
"Fayette","Fayette","2799","93","65","0","0.0332261521972133",2020-08-14
"Floyd","Floyd","2780","170","127","3","0.0611510791366906",2020-08-14
"Franklin","Franklin","1867","257","209","12","0.137653990358864",2020-08-14
"Fremont","Fremont","738","45","19","0","0.0609756097560976",2020-08-14
"Greene","Greene","1296","42","37","0","0.0324074074074074",2020-08-14
"Grundy","Grundy","1908","85","54","1","0.0445492662473795",2020-08-14
"Guthrie","Guthrie","1851","140","108","5","0.075634792004322",2020-08-14
"Hamilton","Hamilton","2671","255","241","1","0.095469861475103",2020-08-14
"Hancock","Hancock","1885","125","114","2","0.0663129973474801",2020-08-14
"Hardin","Hardin","2715","187","122","0","0.0688766114180479",2020-08-14
"Harrison","Harrison","1678","114","92","1","0.067938021454112",2020-08-14
"Henry","Henry","2807","142","96","4","0.0505878161738511",2020-08-14
"Howard","Howard","1331","54","42","0","0.0405709992486852",2020-08-14
"Humboldt","Humboldt","1359","125","87","1","0.0919793966151582",2020-08-14
