"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1185","44","20","1","23","0.0371308016877637",2020-08-23
"Adams","Adams","457","20","17","0","3","0.0437636761487965",2020-08-23
"Allamakee","Allamakee","2268","167","141","4","22","0.0736331569664903",2020-08-23
"Appanoose","Appanoose","1777","65","54","3","8","0.0365785030951041",2020-08-23
"Audubon","Audubon","795","34","24","1","9","0.0427672955974843",2020-08-23
"Benton","Benton","3834","182","129","1","52","0.0474700052164841",2020-08-23
"Black Hawk","Black Hawk","27453","3502","2814","69","619","0.12756347211598",2020-08-23
"Boone","Boone","4572","312","219","3","90","0.068241469816273",2020-08-23
"Bremer","Bremer","4001","265","161","7","97","0.0662334416395901",2020-08-23
"Buchanan","Buchanan","3311","164","90","1","73","0.0495318634853519",2020-08-23
"Buena Vista","Buena Vista","8215","1814","1762","12","40","0.220815581253804",2020-08-23
"Butler","Butler","2512","159","134","2","23","0.063296178343949",2020-08-23
"Calhoun","Calhoun","1847","101","75","2","24","0.0546832701678397",2020-08-23
"Carroll","Carroll","3941","293","179","2","112","0.0743466125348896",2020-08-23
"Cass","Cass","1932","105","90","2","13","0.0543478260869565",2020-08-23
"Cedar","Cedar","2737","144","109","1","34","0.0526123492875411",2020-08-23
"Cerro Gordo","Cerro Gordo","9073","710","529","20","161","0.0782541606965722",2020-08-23
"Cherokee","Cherokee","1907","126","107","1","18","0.0660723649711589",2020-08-23
"Chickasaw","Chickasaw","1829","86","66","0","20","0.0470202296336796",2020-08-23
"Clarke","Clarke","1746","215","159","3","53","0.123138602520046",2020-08-23
"Clay","Clay","2886","229","166","2","61","0.0793485793485793",2020-08-23
"Clayton","Clayton","2549","152","104","3","45","0.0596312279325226",2020-08-23
"Clinton","Clinton","7048","650","248","6","396","0.0922247446083996",2020-08-23
"Crawford","Crawford","3971","782","696","3","83","0.196927726013599",2020-08-23
"Dallas","Dallas","19913","2104","1665","36","403","0.105659619344147",2020-08-23
"Davis","Davis","945","76","48","2","26","0.0804232804232804",2020-08-23
"Decatur","Decatur","1079","32","24","0","8","0.0296570898980538",2020-08-23
"Delaware","Delaware","2771","162","126","2","34","0.0584626488632263",2020-08-23
"Des Moines","Des Moines","5772","415","128","3","284","0.0718988218988219",2020-08-23
"Dickinson","Dickinson","4236","400","352","5","43","0.0944287063267233",2020-08-23
"Dubuque","Dubuque","22984","1899","1354","35","510","0.0826226940480334",2020-08-23
"Emmet","Emmet","1699","212","161","7","44","0.124779281930547",2020-08-23
"Fayette","Fayette","3040","122","71","0","51","0.0401315789473684",2020-08-23
"Floyd","Floyd","3044","183","151","3","29","0.0601182654402102",2020-08-23
"Franklin","Franklin","2049","274","228","16","30","0.133723767691557",2020-08-23
"Fremont","Fremont","813","54","25","0","29","0.0664206642066421",2020-08-23
"Greene","Greene","1401","46","38","0","8","0.0328336902212705",2020-08-23
"Grundy","Grundy","2088","110","65","1","44","0.0526819923371648",2020-08-23
"Guthrie","Guthrie","2021","157","121","5","31","0.0776843146956952",2020-08-23
"Hamilton","Hamilton","2989","246","228","2","16","0.0823017731682837",2020-08-23
"Hancock","Hancock","2018","132","117","2","13","0.0654112983151635",2020-08-23
"Hardin","Hardin","2875","213","144","1","68","0.0740869565217391",2020-08-23
"Harrison","Harrison","1843","135","101","1","33","0.0732501356483993",2020-08-23
"Henry","Henry","3112","202","104","4","94","0.0649100257069409",2020-08-23
"Howard","Howard","1437","83","47","0","36","0.057759220598469",2020-08-23
"Humboldt","Humboldt","1725","98","80","2","16","0.0568115942028986",2020-08-23
"Ida","Ida","1052","36","29","0","7","0.0342205323193916",2020-08-23
"Iowa","Iowa","2934","106","75","1","30","0.0361281526925699",2020-08-23
"Jackson","Jackson","2964","180","125","1","54","0.0607287449392713",2020-08-23
"Jasper","Jasper","5555","521","416","29","76","0.0937893789378938",2020-08-23
"Jefferson","Jefferson","2200","103","71","0","32","0.0468181818181818",2020-08-23
"Johnson","Johnson","28361","2467","1789","24","654","0.0869856493071471",2020-08-23
"Jones","Jones","2865","150","108","2","40","0.0523560209424084",2020-08-23
"Keokuk","Keokuk","1213","46","26","1","19","0.0379225061830173",2020-08-23
