"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-07,"Adair",3006,639,495,17,13,4,127,0.212574850299401
"Adams",2021-01-07,"Adams",1308,275,208,3,3,0,64,0.210244648318043
"Allamakee",2021-01-07,"Allamakee",5004,1224,982,26,22,4,216,0.244604316546763
"Appanoose",2021-01-07,"Appanoose",4908,1020,865,36,36,0,119,0.207823960880196
"Audubon",2021-01-07,"Audubon",2105,395,323,8,8,0,64,0.187648456057007
"Benton",2021-01-07,"Benton",10472,2030,1831,39,35,4,160,0.193850267379679
"Black Hawk",2021-01-07,"Black Hawk",58187,13084,11654,222,209,13,1208,0.2248612232973
"Boone",2021-01-07,"Boone",11146,2035,1613,15,13,2,407,0.182576709133321
"Bremer",2021-01-07,"Bremer",9630,2314,2119,46,43,3,149,0.240290758047767
"Buchanan",2021-01-07,"Buchanan",7771,1505,1306,17,16,1,182,0.193668768498263
"Buena Vista",2021-01-07,"Buena Vista",13012,3811,3317,27,24,3,467,0.292883492161082
"Butler",2021-01-07,"Butler",5732,1355,1141,23,20,3,191,0.23639218422889
"Calhoun",2021-01-07,"Calhoun",4629,1200,1120,9,9,0,71,0.259235255994815
"Carroll",2021-01-07,"Carroll",9740,2455,2131,31,25,6,293,0.252053388090349
"Cass",2021-01-07,"Cass",5246,1082,877,40,38,2,165,0.206252382767823
"Cedar",2021-01-07,"Cedar",7440,1431,1214,19,18,1,198,0.192338709677419
"Cerro Gordo",2021-01-07,"Cerro Gordo",20152,4452,3937,63,52,11,452,0.220921000396983
"Cherokee",2021-01-07,"Cherokee",5030,1307,1067,25,23,2,215,0.259840954274354
"Chickasaw",2021-01-07,"Chickasaw",4434,1071,953,11,10,1,107,0.241542625169147
"Clarke",2021-01-07,"Clarke",3872,728,537,7,7,0,184,0.18801652892562
"Clay",2021-01-07,"Clay",6986,1596,1367,17,13,4,212,0.228456913827655
"Clayton",2021-01-07,"Clayton",5791,1456,1237,46,39,7,173,0.251424624417199
"Clinton",2021-01-07,"Clinton",18136,4274,3695,60,54,6,519,0.235663872959859
"Crawford",2021-01-07,"Crawford",7528,2207,1897,22,19,3,288,0.29317215727949
"Dallas",2021-01-07,"Dallas",44288,8278,7013,66,56,10,1199,0.186912933526012
"Davis",2021-01-07,"Davis",2642,663,557,20,19,1,86,0.250946252838759
"Decatur",2021-01-07,"Decatur",2814,455,367,4,4,0,84,0.161691542288557
"Delaware",2021-01-07,"Delaware",6678,1670,1513,33,31,2,124,0.250074872716382
"Des Moines",2021-01-07,"Des Moines",17529,3641,3211,37,34,3,393,0.207712932854127
"Dickinson",2021-01-07,"Dickinson",8826,1767,1555,21,19,2,191,0.200203942895989
"Dubuque",2021-01-07,"Dubuque",48486,10878,9814,140,132,8,924,0.224353421606237
"Emmet",2021-01-07,"Emmet",4227,1050,863,28,27,1,159,0.248403122782115
"Fayette",2021-01-07,"Fayette",7490,1483,1166,21,20,1,296,0.197997329773031
"Floyd",2021-01-07,"Floyd",6415,1318,1164,36,28,8,118,0.205455962587685
"Franklin",2021-01-07,"Franklin",4269,960,789,17,16,1,154,0.22487702037948
"Fremont",2021-01-07,"Fremont",2234,480,420,5,3,2,55,0.214861235452104
"Greene",2021-01-07,"Greene",3537,662,578,7,7,0,77,0.187164263500141
"Grundy",2021-01-07,"Grundy",4748,1140,927,21,16,5,192,0.240101095197978
"Guthrie",2021-01-07,"Guthrie",4728,990,830,23,18,5,137,0.209390862944162
"Hamilton",2021-01-07,"Hamilton",6281,1529,1280,25,25,0,224,0.243432574430823
"Hancock",2021-01-07,"Hancock",4918,1230,984,24,19,5,222,0.250101667344449
"Hardin",2021-01-07,"Hardin",6948,1494,1307,29,26,3,158,0.215025906735751
"Harrison",2021-01-07,"Harrison",5477,1482,1195,59,56,3,228,0.270586087274055
"Henry",2021-01-07,"Henry",9298,2537,2260,29,29,0,248,0.272854377285438
"Howard",2021-01-07,"Howard",3612,773,602,18,14,4,153,0.214008859357697
"Humboldt",2021-01-07,"Humboldt",3998,1006,847,18,15,3,141,0.251625812906453
"Ida",2021-01-07,"Ida",2700,716,615,29,28,1,72,0.265185185185185
"Iowa",2021-01-07,"Iowa",6713,1173,1031,21,20,1,121,0.174735587665723
"Jackson",2021-01-07,"Jackson",7428,1827,1639,30,29,1,158,0.245961227786753
"Jasper",2021-01-07,"Jasper",14754,2998,2471,55,53,2,472,0.203199132438661
"Jefferson",2021-01-07,"Jefferson",6238,1111,835,22,20,2,254,0.17810195575505
"Johnson",2021-01-07,"Johnson",66094,11486,10190,47,43,4,1249,0.173782794202197
"Jones",2021-01-07,"Jones",8295,2643,2447,48,47,1,148,0.318625678119349
"Keokuk",2021-01-07,"Keokuk",3405,822,712,25,25,0,85,0.241409691629956
"Kossuth",2021-01-07,"Kossuth",6443,1590,1378,35,34,1,177,0.246779450566506
"Lee",2021-01-07,"Lee",13192,2992,2503,28,23,5,461,0.22680412371134
"Linn",2021-01-07,"Linn",96972,17083,15296,258,239,19,1529,0.176164253598977
"Louisa",2021-01-07,"Louisa",4558,1107,931,26,22,4,150,0.242869679684072
"Lucas",2021-01-07,"Lucas",3121,616,380,8,8,0,228,0.197372636975328
