"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-03,"Adair",12695,993,833,32,22,10,3798,872,7,2021-06-03
"Adams",2021-06-03,"Adams",6061,355,337,4,4,0,1678,344,3,2021-06-03
"Allamakee",2021-06-03,"Allamakee",22523,1581,1456,51,41,10,6519,1523,16,2021-06-03
"Appanoose",2021-06-03,"Appanoose",18943,1465,1231,49,44,5,6380,1287,7,2021-06-03
"Audubon",2021-06-03,"Audubon",13141,537,497,10,9,1,2850,518,11,2021-06-03
"Benton",2021-06-03,"Benton",39491,2743,2499,55,44,11,13546,2579,25,2021-06-03
"Black Hawk",2021-06-03,"Black Hawk",224710,17429,15470,310,287,23,73949,15940,160,2021-06-03
"Boone",2021-06-03,"Boone",46229,2869,2599,34,31,3,14659,2679,46,2021-06-03
"Bremer",2021-06-03,"Bremer",41651,3008,2770,60,51,9,12914,2872,42,2021-06-03
"Buchanan",2021-06-03,"Buchanan",33142,2029,1870,33,27,6,10000,1923,20,2021-06-03
"Buena Vista",2021-06-03,"Buena Vista",46625,4907,4201,40,36,4,15364,4258,17,2021-06-03
"Butler",2021-06-03,"Butler",30744,1750,1605,35,31,4,7424,1658,18,2021-06-03
"Calhoun",2021-06-03,"Calhoun",19442,1440,1356,13,12,1,5569,1387,18,2021-06-03
"Carroll",2021-06-03,"Carroll",38523,3080,2798,52,43,9,11879,2867,17,2021-06-03
"Cass",2021-06-03,"Cass",21625,1474,1330,54,48,6,6686,1391,7,2021-06-03
"Cedar",2021-06-03,"Cedar",33052,2004,1867,23,21,2,9680,1913,23,2021-06-03
"Cerro Gordo",2021-06-03,"Cerro Gordo",81451,5942,5277,90,75,15,26525,5501,134,2021-06-03
"Cherokee",2021-06-03,"Cherokee",21949,1693,1545,38,30,8,6262,1592,9,2021-06-03
"Chickasaw",2021-06-03,"Chickasaw",18511,1318,1227,16,14,2,5761,1244,1,2021-06-03
"Clarke",2021-06-03,"Clarke",14154,1070,977,24,22,2,5158,1005,4,2021-06-03
"Clay",2021-06-03,"Clay",32356,2274,2123,27,22,5,8876,2161,11,2021-06-03
"Clayton",2021-06-03,"Clayton",26691,1791,1644,57,48,9,7572,1704,3,2021-06-03
"Clinton",2021-06-03,"Clinton",67905,6086,5434,93,79,14,24552,5600,73,2021-06-03
"Crawford",2021-06-03,"Crawford",29472,2923,2620,40,35,5,9202,2679,19,2021-06-03
"Dallas",2021-06-03,"Dallas",134507,12603,11040,99,85,14,57355,11253,114,2021-06-03
"Davis",2021-06-03,"Davis",11829,922,802,24,23,1,3710,849,23,2021-06-03
"Decatur",2021-06-03,"Decatur",10854,629,603,9,9,0,3738,611,-1,2021-06-03
"Delaware",2021-06-03,"Delaware",30835,2154,2039,41,37,4,8514,2108,28,2021-06-03
"Des Moines",2021-06-03,"Des Moines",59889,5022,4469,67,55,12,22458,4655,119,2021-06-03
"Dickinson",2021-06-03,"Dickinson",28796,2681,2435,44,38,6,10954,2490,11,2021-06-03
"Dubuque",2021-06-03,"Dubuque",202974,14778,13115,209,193,16,60109,13465,141,2021-06-03
"Emmet",2021-06-03,"Emmet",17918,1427,1295,40,38,2,5455,1354,19,2021-06-03
"Fayette",2021-06-03,"Fayette",38047,1940,1811,42,37,5,9786,1855,2,2021-06-03
"Floyd",2021-06-03,"Floyd",27036,1803,1559,42,32,10,8180,1623,22,2021-06-03
"Franklin",2021-06-03,"Franklin",21037,1333,1148,21,19,2,5726,1225,56,2021-06-03
"Fremont",2021-06-03,"Fremont",7956,666,617,9,7,2,2823,626,0,2021-06-03
"Greene",2021-06-03,"Greene",15601,828,766,10,10,0,4354,780,4,2021-06-03
"Grundy",2021-06-03,"Grundy",20083,1444,1331,33,27,6,6063,1367,3,2021-06-03
"Guthrie",2021-06-03,"Guthrie",19669,1313,1185,32,26,6,6066,1226,9,2021-06-03
"Hamilton",2021-06-03,"Hamilton",24304,1997,1747,51,46,5,7957,1810,12,2021-06-03
"Hancock",2021-06-03,"Hancock",22827,1595,1434,34,27,7,6459,1498,30,2021-06-03
"Hardin",2021-06-03,"Hardin",37216,2005,1807,44,34,10,8988,1871,20,2021-06-03
"Harrison",2021-06-03,"Harrison",22219,1934,1719,73,69,4,6735,1797,5,2021-06-03
"Henry",2021-06-03,"Henry",38198,3082,2873,37,36,1,11585,2940,30,2021-06-03
"Howard",2021-06-03,"Howard",17593,1097,1021,22,18,4,4830,1047,4,2021-06-03
"Humboldt",2021-06-03,"Humboldt",16023,1246,1162,26,23,3,4924,1194,6,2021-06-03
"Ida",2021-06-03,"Ida",13090,1025,864,35,32,3,3510,915,16,2021-06-03
"Iowa",2021-06-03,"Iowa",31096,1559,1462,24,22,2,8597,1496,10,2021-06-03
"Jackson",2021-06-03,"Jackson",27273,2380,2169,42,39,3,9719,2246,35,2021-06-03
"Jasper",2021-06-03,"Jasper",54723,4552,4102,72,67,5,19382,4204,30,2021-06-03
"Jefferson",2021-06-03,"Jefferson",21915,1451,1298,35,29,6,8261,1332,-1,2021-06-03
"Johnson",2021-06-03,"Johnson",222611,15455,14315,85,77,8,85462,14573,173,2021-06-03
"Jones",2021-06-03,"Jones",28096,3132,2917,57,51,6,10638,3008,34,2021-06-03
"Keokuk",2021-06-03,"Keokuk",16403,1029,925,31,31,0,4496,963,7,2021-06-03
"Kossuth",2021-06-03,"Kossuth",27502,2279,2097,65,56,9,8313,2159,-3,2021-06-03
"Lee",2021-06-03,"Lee",57003,4043,3693,56,43,13,16803,3797,48,2021-06-03
"Linn",2021-06-03,"Linn",308786,22480,20409,338,302,36,124812,21079,332,2021-06-03
"Louisa",2021-06-03,"Louisa",18233,1356,1232,49,42,7,5703,1294,13,2021-06-03
"Lucas",2021-06-03,"Lucas",9980,807,751,23,18,5,4077,779,5,2021-06-03
"Lyon",2021-06-03,"Lyon",17304,1596,1537,41,37,4,4988,1586,8,2021-06-03
"Madison",2021-06-03,"Madison",22112,1783,1591,19,15,4,8275,1640,30,2021-06-03
"Mahaska",2021-06-03,"Mahaska",33010,2423,2238,51,46,5,11082,2320,31,2021-06-03
"Marion",2021-06-03,"Marion",44710,3854,3550,76,65,11,17018,3651,25,2021-06-03
"Marshall",2021-06-03,"Marshall",86048,5234,4742,76,68,8,22669,4859,41,2021-06-03
"Mills",2021-06-03,"Mills",22111,1796,1593,23,20,3,7931,1627,11,2021-06-03
"Mitchell",2021-06-03,"Mitchell",18816,1379,1227,42,39,3,5688,1265,-4,2021-06-03
"Monona",2021-06-03,"Monona",18801,886,801,31,29,2,3956,828,-4,2021-06-03
"Monroe",2021-06-03,"Monroe",10227,1004,922,29,22,7,3717,957,6,2021-06-03
"Montgomery",2021-06-03,"Montgomery",14941,1112,992,38,36,2,4474,1035,5,2021-06-03
"Muscatine",2021-06-03,"Muscatine",59263,5205,4674,104,95,9,22854,4862,84,2021-06-03
"O'Brien",2021-06-03,"O'Brien",27346,2151,1934,61,56,5,6950,1998,3,2021-06-03
"Osceola",2021-06-03,"Osceola",9624,817,765,16,13,3,2675,789,8,2021-06-03
"Page",2021-06-03,"Page",22569,2005,1904,22,20,2,6616,1935,9,2021-06-03
"Palo Alto",2021-06-03,"Palo Alto",19754,1193,1099,23,22,1,4709,1135,13,2021-06-03
"Pending Investigation",2021-06-03,"Pending Investigation",8290,992,944,0,0,0,4384,963,19,2021-06-03
"Plymouth",2021-06-03,"Plymouth",40119,4335,3925,80,72,8,13845,4024,19,2021-06-03
"Pocahontas",2021-06-03,"Pocahontas",14167,905,834,22,22,0,3598,858,2,2021-06-03
"Polk",2021-06-03,"Polk",734141,65409,56758,636,558,78,293096,58042,648,2021-06-03
"Pottawattamie",2021-06-03,"Pottawattamie",125602,12309,10902,171,149,22,49842,11183,110,2021-06-03
