"","date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Pending.Investigation","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"1","2020-07-31",4,5,13,6,12,41,660,76,84,47,62,21,11,29,6,32,330,15,4,41,31,25,165,32,441,9,9,15,47,104,723,90,26,15,85,25,6,31,40,19,20,75,23,23,13,16,6,31,96,96,12,512,53,6,41,32,346,16,10,23,41,12,42,306,37,10,13,14,11,60,25,15,32,28,3,107,19,2754,349,26,1,14,683,25,110,278,66,10,35,10,50,213,15,4,325,39,19,336,35,55,11114
"2","2020-08-01",4,5,13,5,12,41,663,73,85,46,61,20,10,30,7,32,336,14,3,45,31,24,178,33,448,9,10,17,54,106,742,75,28,17,88,24,7,32,40,19,23,80,24,24,12,14,6,35,97,92,12,509,54,8,42,34,349,15,10,21,43,13,41,309,39,10,14,14,10,71,25,14,32,28,5,110,17,2773,371,28,0,14,688,26,111,273,64,10,35,10,53,217,14,4,340,39,21,340,38,53,11263
"3","2020-08-02",4,6,13,7,12,50,672,74,89,50,62,17,10,33,12,34,340,12,5,49,33,23,195,36,475,7,10,18,47,109,758,75,26,29,76,25,6,31,41,19,24,82,27,25,13,16,6,37,99,95,13,518,53,8,41,34,408,14,11,17,47,14,45,315,41,10,12,14,11,78,38,14,29,31,7,111,17,2872,404,33,0,16,694,25,111,283,64,10,38,11,62,230,14,4,351,41,25,342,40,54,11689
"4","2020-08-03",5,6,13,8,12,53,676,71,88,51,63,17,10,36,12,35,340,12,5,53,34,23,199,39,481,7,10,16,49,110,765,76,28,33,78,26,6,31,41,17,25,87,27,26,13,16,6,34,103,96,15,519,52,8,41,39,435,15,13,15,49,16,41,316,43,10,12,14,11,77,39,14,32,32,10,111,17,2896,373,33,0,15,690,27,111,282,66,10,38,11,71,233,16,5,351,43,26,351,40,50,11802
"5","2020-08-04",4,6,14,5,12,51,617,66,89,51,55,16,9,35,12,34,317,10,6,48,30,22,192,43,456,6,10,12,46,93,733,72,26,37,68,25,6,31,39,19,23,79,24,26,11,17,6,27,98,88,14,503,49,8,37,40,379,16,11,16,47,12,31,313,39,10,12,15,9,71,38,11,20,32,8,103,11,2709,361,32,0,15,643,26,101,267,60,10,34,10,72,226,12,5,362,42,29,337,39,52,11119
"6","2020-08-05",4,6,12,4,12,51,593,63,83,53,51,16,8,27,12,27,298,9,5,49,31,19,196,46,441,8,8,11,44,91,700,69,26,38,68,25,5,28,38,21,23,74,25,26,12,16,6,29,90,87,14,520,48,9,37,42,380,15,17,18,51,12,28,305,37,10,12,16,10,76,36,11,15,30,0,98,12,2603,359,34,0,15,622,32,107,261,61,7,36,12,65,225,11,7,371,41,28,325,43,52,10860
"7","2020-08-06",6,6,12,5,12,45,578,66,86,58,49,15,8,19,12,31,277,11,5,52,26,20,211,44,422,9,8,14,49,85,688,68,22,39,61,22,5,28,31,21,19,79,25,24,12,22,6,31,92,78,13,527,49,9,38,47,383,14,19,15,51,11,30,313,38,11,12,16,12,66,34,10,17,27,7,99,10,2517,353,35,0,13,585,36,107,257,60,7,36,12,71,224,10,6,336,38,29,329,41,52,10646
"8","2020-08-07",10,6,14,10,12,44,569,74,91,60,49,14,8,21,12,35,258,13,7,54,27,23,224,45,418,10,8,17,53,79,644,69,23,49,52,25,6,28,29,20,18,79,21,26,12,26,6,31,82,84,17,540,46,10,35,52,422,14,22,14,50,13,29,323,37,11,12,16,17,65,34,10,18,26,3,100,9,2497,357,37,0,13,532,37,106,263,60,8,36,13,67,211,15,6,280,32,30,333,38,57,10568
"9","2020-08-08",11,6,13,9,12,50,549,72,97,60,47,13,8,21,20,33,234,13,5,56,29,22,223,42,406,11,7,18,55,71,634,65,21,47,52,24,8,27,29,19,17,76,23,27,12,29,6,32,74,85,18,525,46,11,34,51,415,12,24,16,50,11,30,319,35,11,12,18,20,64,35,11,26,27,4,93,7,2413,330,39,0,14,507,29,105,259,57,10,36,12,71,205,13,6,295,29,34,336,35,57,10337
"10","2020-08-09",11,6,14,10,11,53,563,83,108,62,47,15,8,24,31,32,252,14,5,59,35,22,238,44,420,12,7,24,69,72,618,66,21,55,45,25,8,28,30,10,18,76,25,31,12,32,5,33,78,89,19,534,46,11,40,56,451,12,28,19,53,12,34,326,37,11,12,17,20,65,35,12,24,29,7,96,7,2477,348,40,1,15,526,27,110,265,57,10,35,14,86,213,17,6,301,32,34,335,35,63,10716
