"","date","TestedPos","Positive","Recovered","Deaths","Active","New.Pos","New.Rec","New.Deaths"
"1",2020-07-31,179,179,5712,7,-5540,NA,NA,NA
"2",2020-08-01,182,182,5712,7,-5537,3,0,0
"3",2020-08-02,187,187,5712,7,-5532,5,0,0
"4",2020-08-03,187,187,5712,7,-5532,0,0,0
"5",2020-08-04,189,189,5712,7,-5530,2,0,0
"6",2020-08-05,193,193,5712,7,-5526,4,0,0
"7",2020-08-06,199,199,5712,7,-5520,6,0,0
"8",2020-08-07,206,206,5712,7,-5513,7,0,0
"9",2020-08-08,213,213,5712,7,-5506,7,0,0
"10",2020-08-09,226,226,5712,7,-5493,13,0,0
"11",2020-08-10,226,226,5712,7,-5493,0,0,0
"12",2020-08-11,227,227,5712,7,-5492,1,0,0
"13",2020-08-12,230,230,5712,7,-5489,3,0,0
"14",2020-08-13,231,231,5712,7,-5488,1,0,0
"15",2020-08-14,235,235,5712,7,-5484,4,0,0
"16",2020-08-15,242,242,5712,7,-5477,7,0,0
"17",2020-08-16,243,243,5712,7,-5476,1,0,0
"18",2020-08-17,244,244,5712,7,-5475,1,0,0
"19",2020-08-18,245,245,5712,7,-5474,1,0,0
"20",2020-08-19,248,248,5712,7,-5471,3,0,0
"21",2020-08-20,252,252,5712,7,-5467,4,0,0
"22",2020-08-21,257,257,5712,7,-5462,5,0,0
"23",2020-08-22,260,260,5712,7,-5459,3,0,0
"24",2020-08-23,265,265,5712,7,-5454,5,0,0
"25",2020-08-24,265,265,5712,7,-5454,0,0,0
"26",2020-08-25,265,265,5712,7,-5454,0,0,0
"27",2020-08-26,268,268,5712,7,-5451,3,0,0
"28",2020-08-27,276,276,5712,7,-5443,8,0,0
"29",2020-08-28,286,286,5712,7,-5433,10,0,0
"30",2020-08-29,286,286,5712,7,-5433,0,0,0
"31",2020-08-30,294,294,5712,7,-5425,8,0,0
"32",2020-08-31,299,299,5712,7,-5420,5,0,0
"33",2020-09-01,332,332,5712,7,-5387,33,0,0
"34",2020-09-02,341,341,5712,7,-5378,9,0,0
"35",2020-09-03,355,355,5712,7,-5364,14,0,0
"36",2020-09-04,366,366,5712,7,-5353,11,0,0
"37",2020-09-05,372,372,5712,7,-5347,6,0,0
"38",2020-09-06,376,376,5712,7,-5343,4,0,0
"39",2020-09-07,382,382,5712,7,-5337,6,0,0
"40",2020-09-08,387,387,5712,7,-5332,5,0,0
"41",2020-09-09,388,388,5712,7,-5331,1,0,0
"42",2020-09-10,400,400,5712,7,-5319,12,0,0
"43",2020-09-11,414,414,5712,7,-5305,14,0,0
"44",2020-09-12,418,418,5712,7,-5301,4,0,0
"45",2020-09-13,424,424,5712,7,-5295,6,0,0
"46",2020-09-14,428,428,5712,7,-5291,4,0,0
"47",2020-09-16,441,441,5712,7,-5278,13,0,0
"48",2020-09-17,447,447,5712,7,-5272,6,0,0
"49",2020-09-18,452,452,5712,7,-5267,5,0,0
"50",2020-09-19,459,459,5712,7,-5260,7,0,0
"51",2020-09-20,463,463,5712,7,-5256,4,0,0
"52",2020-09-21,462,462,5712,7,-5257,-1,0,0
"53",2020-09-22,468,468,5712,7,-5251,6,0,0
"54",2020-09-23,472,472,5712,7,-5247,4,0,0
"55",2020-09-24,476,476,5712,7,-5243,4,0,0
"56",2020-09-25,484,484,5712,7,-5235,8,0,0
"57",2020-09-26,491,491,5712,7,-5228,7,0,0
"58",2020-09-27,494,494,5712,7,-5225,3,0,0
"59",2020-09-28,495,495,5712,7,-5224,1,0,0
"60",2020-09-29,502,502,5712,7,-5217,7,0,0
"61",2020-09-30,508,508,5712,7,-5211,6,0,0
"62",2020-10-01,513,513,5712,7,-5206,5,0,0
"63",2020-10-02,516,516,5712,7,-5203,3,0,0
"64",2020-10-03,519,519,5712,7,-5200,3,0,0
"65",2020-10-04,525,525,5712,7,-5194,6,0,0
"66",2020-10-05,527,527,5712,7,-5192,2,0,0
"67",2020-10-06,527,527,5712,7,-5192,0,0,0
"68",2020-10-07,531,531,5712,7,-5188,4,0,0
"69",2020-10-08,534,534,5712,7,-5185,3,0,0
"70",2020-10-09,541,541,5712,7,-5178,7,0,0
"71",2020-10-10,555,555,5712,7,-5164,14,0,0
"72",2020-10-11,563,563,5712,7,-5156,8,0,0
"73",2020-10-12,564,564,5712,7,-5155,1,0,0
"74",2020-10-13,569,569,5712,7,-5150,5,0,0
"75",2020-10-14,576,576,5712,7,-5143,7,0,0
"76",2020-10-15,583,583,5712,7,-5136,7,0,0
"77",2020-10-16,594,594,5712,7,-5125,11,0,0
"78",2020-10-17,605,605,5712,7,-5114,11,0,0
"79",2020-10-18,611,611,5712,7,-5108,6,0,0
"80",2020-10-19,611,611,5712,7,-5108,0,0,0
"81",2020-10-20,614,614,5712,8,-5106,3,0,1
"82",2020-10-21,625,625,5712,9,-5096,11,0,1
"83",2020-10-22,630,630,5712,9,-5091,5,0,0
"84",2020-10-23,644,644,5712,9,-5077,14,0,0
"85",2020-10-24,660,660,5712,9,-5061,16,0,0
"86",2020-10-25,669,669,5712,9,-5052,9,0,0
"87",2020-10-26,672,672,5712,9,-5049,3,0,0
"88",2020-10-27,677,677,5712,9,-5044,5,0,0
"89",2020-10-28,691,691,5712,9,-5030,14,0,0
"90",2020-10-29,707,707,5712,9,-5014,16,0,0
"91",2020-10-30,728,728,5712,9,-4993,21,0,0
"92",2020-10-31,757,757,5712,9,-4964,29,0,0
"93",2020-11-01,781,781,5712,9,-4940,24,0,0
"94",2020-11-02,798,798,5712,9,-4923,17,0,0
"95",2020-11-03,833,833,5712,9,-4888,35,0,0
"96",2020-11-04,876,876,5712,9,-4845,43,0,0
"97",2020-11-05,911,911,5712,10,-4811,35,0,1
"98",2020-11-06,966,966,5712,10,-4756,55,0,0
"99",2020-11-07,1021,1021,5712,10,-4701,55,0,0
"100",2020-11-08,1053,1053,5712,11,-4670,32,0,1
"101",2020-11-09,1129,1129,5712,11,-4594,76,0,0
"102",2020-11-10,1171,1171,5712,12,-4553,42,0,1
"103",2020-11-11,1249,1249,5712,12,-4475,78,0,0
"104",2020-11-12,1285,1285,5712,12,-4439,36,0,0
"105",2020-11-13,1341,1341,5712,12,-4383,56,0,0
"106",2020-11-14,1423,1423,5712,12,-4301,82,0,0
"107",2020-11-15,1485,1485,5712,12,-4239,62,0,0
"108",2020-11-16,1511,1511,5712,12,-4213,26,0,0
"109",2020-11-17,1549,1549,5712,12,-4175,38,0,0
"110",2020-11-18,1594,1594,5712,12,-4130,45,0,0
"111",2020-11-19,1620,1620,5712,12,-4104,26,0,0
"112",2020-11-20,1688,1688,5712,12,-4036,68,0,0
"113",2020-11-21,1714,1714,5712,12,-4010,26,0,0
"114",2020-11-22,1749,1749,5712,12,-3975,35,0,0
"115",2020-11-23,1760,1760,5712,12,-3964,11,0,0
"116",2020-11-24,1830,1830,5712,12,-3894,70,0,0
"117",2020-11-25,1881,1881,5712,12,-3843,51,0,0
"118",2020-11-26,1907,1907,5712,12,-3817,26,0,0
"119",2020-11-27,1915,1915,5712,12,-3809,8,0,0
"120",2020-11-28,1928,1928,5712,12,-3796,13,0,0
"121",2020-11-29,1950,1950,5712,12,-3774,22,0,0
"122",2020-11-30,1953,1953,5712,12,-3771,3,0,0
"123",2020-12-01,1967,1967,5712,12,-3757,14,0,0
