"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","900","21","16","0","0.0233333333333333",2020-08-03
"Adams","Adams","405","16","10","0","0.0395061728395062",2020-08-03
"Allamakee","Allamakee","1988","150","133","4","0.0754527162977867",2020-08-03
"Appanoose","Appanoose","1374","43","32","3","0.0312954876273654",2020-08-03
"Audubon","Audubon","696","28","15","1","0.0402298850574713",2020-08-03
"Benton","Benton","3241","142","88","1","0.0438136377661216",2020-08-03
"Black Hawk","Black Hawk","23552","2998","2260","62","0.127292798913043",2020-08-03
"Boone","Boone","3807","228","155","2","0.0598896769109535",2020-08-03
"Bremer","Bremer","3338","187","92","7","0.0560215698022768",2020-08-03
"Buchanan","Buchanan","2771","110","58","1","0.0396968603392277",2020-08-03
"Buena Vista","Buena Vista","7784","1784","1709","12","0.229188078108941",2020-08-03
"Butler","Butler","2152","113","94","2","0.0525092936802974",2020-08-03
"Calhoun","Calhoun","1514","81","69","2","0.0535006605019815",2020-08-03
"Carroll","Carroll","3217","181","144","1","0.0562635996269817",2020-08-03
"Cass","Cass","1373","47","34","1","0.034231609613984",2020-08-03
"Cedar","Cedar","2332","120","84","1","0.0514579759862779",2020-08-03
"Cerro Gordo","Cerro Gordo","7742","584","227","17","0.0754327047274606",2020-08-03
"Cherokee","Cherokee","1630","97","84","1","0.0595092024539877",2020-08-03
"Chickasaw","Chickasaw","1562","50","45","0","0.0320102432778489",2020-08-03
"Clarke","Clarke","1449","186","130","3","0.128364389233954",2020-08-03
"Clay","Clay","2473","171","136","1","0.0691467852810352",2020-08-03
"Clayton","Clayton","2123","97","71","3","0.0456900612341027",2020-08-03
"Clinton","Clinton","5469","314","112","3","0.057414518193454",2020-08-03
"Crawford","Crawford","3532","715","673","3","0.202434881087203",2020-08-03
"Dallas","Dallas","16311","1788","1272","35","0.109619275335663",2020-08-03
"Davis","Davis","781","49","41","1","0.0627400768245839",2020-08-03
"Decatur","Decatur","587","21","11","0","0.0357751277683135",2020-08-03
"Delaware","Delaware","2075","90","73","1","0.0433734939759036",2020-08-03
"Des Moines","Des Moines","4185","139","88","2","0.0332138590203106",2020-08-03
"Dickinson","Dickinson","3739","375","261","4","0.100294196309174",2020-08-03
