"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"2021-08-21","2965","1589","5482","4724","2750","12099","64147","14027","12547","9376","9913","7078","4756","10361","6249","9262","21848","5003","5382","4096","6980","7054","19908","7209","49543","2714","2572","7527","15788","8384","52050","3859","8870","6884","4400","2603","4240","6271","5230","7678","4381","7711","5530","8711","3844","3948","2761","8411","8597","17655","7262","90030","10229","3890","6638","13388","123229","4592","3231","3541","7178","7754","14174","20345","6040","4313","3729","2990","4467","20897","5817","2303","6488","3759","10779","2919","260308","38804","8970","2107","4222","74946","5633","11954","50883","8316","2374","5145","2369","13858","24711","10260","2227","16806","4564","10478","42870","3160","5978","1515928"
"2021-08-25","2986","1607","5562","4773","2757","12249","64756","14175","12681","9498","10242","7139","4824","10466","6307","9388","22109","5051","5436","4161","7053","7106","20105","7287","50131","2740","2615","7660","16059","8484","52470","3885","8957","7012","4458","2628","4279","6407","5275","7763","4409","7835","5573","8845","3897","3991","2786","8571","8684","17837","7330","90723","10336","3936","6681","13572","124817","4660","3253","3562","7280","7864","14342","20554","6126","4344","3788","3019","4517","21154","5850","2314","6567","3792","10863","2959","263256","39361","9044","2130","4269","75794","5684","12069","51320","8402","2390","5206","2386","14019","25030","10352","2243","17001","4601","10562","43460","3193","6050","1533028"
"2021-09-02","3026","1621","5627","4831","2784","12415","65590","14328","12800","9639","10376","7220","4887","10576","6366","9490","22355","5113","5483","4218","7116","7161","20357","7398","50746","2778","2639","7733","16304","8557","52928","3930","9032","7102","4533","2672","4329","6479","5338","7836","4471","7925","5655","8999","3950","4056","2820","8657","8814","18022","7408","91370","10456","3976","6747","13808","126017","4731","3299","3592","7361","7967","14530","20849","6310","4398","3821","3039","4581","21384","5925","2342","6647","3828","10977","2992","266594","40126","9139","2156","4327","76720","5734","12195","51770","8538","2415","5254","2434","14212","25359","10453","2272","17198","4648","10650","44081","3227","6124","1551098"
"2021-09-08","3058","1638","5678","4875","2810","12511","66181","14453","12898","9731","10538","7279","4917","10667","6417","9560","22592","5156","5538","4269","7163","7204","20524","7478","51214","2804","2655","7811","16479","8627","53300","3967","9144","7174","4585","2690","4369","6527","5402","7904","4502","8024","5726","9083","3970","4096","2851","8705","8881","18179","7473","91854","10523","4022","6804","13942","126951","4774","3326","3619","7453","8055","14678","21045","6379","4443","3854","3059","4633","21544","5979","2355","6702","3862","11065","3012","269438","40674","9203","2170","4374","77435","5780","12302","52237","8641","2431","5306","2465","14401","25620","10569","2291","17353","4683","10711","44635","3255","6167","3058"
"2021-10-07","3173","1703","5922","5061","2903","13061","68969","14980","13373","10180","11426","7564","5097","11018","6606","9860","23578","5377","5792","4480","7503","7443","21442","7832","53392","2886","2768","8166","17236","8872","54837","4102","9544","7461","4794","2774","4577","6746","5603","8176","4722","8346","5963","9477","4193","4241","2975","9010","9263","19049","7746","93851","10886","4175","6998","14510","130888","5012","3446","3737","7743","8463","15419","21985","6591","4719","4026","3155","4825","22329","6200","2415","6918","4009","11621","3146","280477","42529","9551","2262","4570","80612","5976","12900","54144","9012","2513","5525","2613","15065","26609","10948","2404","18074","4811","11061","46774","3418","6421","3173"
"2021-10-13","3189","1716","5964","5107","2924","13153","69614","15044","13450","10243","11555","7602","5128","11081","6627","9914","23710","5419","5831","4494","7545","7487","21596","7926","53679","2914","2778","8212","17414","8923","55081","4133","9608","7501","4831","2789","4602","6783","5634","8218","4752","8389","5989","9539","4217","4271","2999","9085","9317","19216","7844","94172","10926","4214","7027","14617","131674","5048","3471","3771","7791","8544","15525","22172","6621","4738","4051","3175","4852","22448","6253","2437","6967","4033","11708","3166","282324","42832","9600","2277","4619","81212","6005","13020","54362","9067","2531","5566","2642","15211","26778","11017","2418","18201","4850","11154","47138","3435","6449","3189"
"2021-10-21","3210","1732","6002","5156","2925","13222","70202","15124","13509","10326","11741","7632","5182","11125","6675","9942","23809","5436","5887","4522","7588","7494","21707","7986","54041","2930","2801","8302","17568","8948","55312","4165","9669","7533","4880","2794","4648","6807","5649","8254","4781","8429","6013","9592","4232","4300","3015","9135","9367","19338","7860","94649","10966","4241","7074","14692","132368","5100","3500","3802","7842","8595","15673","22404","6658","4757","4074","3194","4875","22613","6290","2445","7024","4051","11782","3201","284165","43041","9669","2294","4651","81658","6049","13110","54674","9145","2543","5591","2662","15342","26965","11068","2433","18276","4872","11190","47505","3464","6490","3210"
"2021-10-28","3220","1738","6034","5198","2931","13289","70611","15171","13562","10362","11847","7670","5212","11175","6714","9985","23936","5460","5908","4552","7638","7517","21860","8032","54253","2946","2813","8353","17678","8984","55488","4200","9734","7555","4910","2797","4669","6849","5670","8321","4803","8469","6047","9649","4245","4333","3047","9190","9411","19440","7906","94899","11013","4263","7097","14766","133061","5130","3530","3824","7894","8682","15758","22585","6672","4778","4094","3213","4930","22730","6330","2450","7067","4072","11865","3223","285687","43310","9718","2317","4688","82149","6080","13178","54878","9194","2559","5616","2674","15467","27089","11132","2444","18397","4898","11259","47883","3486","6529","3220"
"2021-11-03","3238","1754","6082","5239","2955","13345","70968","15230","13637","10421","11963","7713","5242","11211","6743","10055","24024","5500","5949","4582","7671","7549","21996","8095","54488","2958","2842","8381","17797","9026","55694","4243","9799","7593","4928","2819","4699","6970","5698","8368","4835","8518","6062","9705","4277","4339","3081","9209","9442","19599","7938","95246","11073","4293","7117","14876","133758","5184","3552","3851","7954","8731","15856","22795","6705","4797","4107","3229","4954","22902","6388","2467","7114","4101","11944","3227","287446","43562","9787","2333","4707","82666","6111","13244","55077","9265","2574","5661","2688","15598","27247","11178","2451","18460","4936","11312","48245","3513","6566","3238"
"2021-11-03","3238","1754","6082","5239","2955","13345","70968","15230","13637","10421","11963","7713","5242","11211","6743","10055","24024","5500","5949","4582","7671","7549","21996","8095","54488","2958","2842","8381","17797","9026","55694","4243","9799","7593","4928","2819","4699","6970","5698","8368","4835","8518","6062","9705","4277","4339","3081","9209","9442","19599","7938","95246","11073","4293","7117","14876","133758","5184","3552","3851","7954","8731","15856","22795","6705","4797","4107","3229","4954","22902","6388","2467","7114","4101","11944","3227","287446","43562","9787","2333","4707","82666","6111","13244","55077","9265","2574","5661","2688","15598","27247","11178","2451","18460","4936","11312","48245","3513","6566","3238"
"2021-11-05","3238","1754","6082","5239","2955","13345","70968","15230","13637","10421","11963","7713","5242","11211","6743","10055","24024","5500","5949","4582","7671","7549","21996","8095","54488","2958","2842","8381","17797","9026","55694","4243","9799","7593","4928","2819","4699","6970","5698","8368","4835","8518","6062","9705","4277","4339","3081","9209","9442","19599","7938","95246","11073","4293","7117","14876","133758","5184","3552","3851","7954","8731","15856","22795","6705","4797","4107","3229","4954","22902","6388","2467","7114","4101","11944","3227","287446","43562","9787","2333","4707","82666","6111","13244","55077","9265","2574","5661","2688","15598","27247","11178","2451","18460","4936","11312","48245","3513","6566","3238"
