"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1803","118","62","1","55","0.0654464780920688",2020-10-16
"Adams","Adams","771","60","32","0","28","0.0778210116731518",2020-10-16
"Allamakee","Allamakee","3182","308","241","8","59","0.0967944688874921",2020-10-16
"Appanoose","Appanoose","2955","191","133","3","55","0.0646362098138748",2020-10-16
"Audubon","Audubon","1364","125","56","1","68","0.0916422287390029",2020-10-16
"Benton","Benton","6292","471","286","1","184","0.0748569612205976",2020-10-16
"Black Hawk","Black Hawk","38895","5075","4245","96","734","0.130479496079188",2020-10-16
"Boone","Boone","7140","648","459","8","181","0.0907563025210084",2020-10-16
"Bremer","Bremer","5980","594","457","7","130","0.0993311036789298",2020-10-16
"Buchanan","Buchanan","5014","380","238","3","139","0.0757877941763063",2020-10-16
"Buena Vista","Buena Vista","10002","2182","1924","12","246","0.218156368726255",2020-10-16
"Butler","Butler","3744","333","304","2","27","0.0889423076923077",2020-10-16
"Calhoun","Calhoun","2899","252","213","3","36","0.0869265263884098",2020-10-16
"Carroll","Carroll","6587","992","621","7","364","0.150599666008805",2020-10-16
"Cass","Cass","3299","267","209","2","56","0.0809336162473477",2020-10-16
"Cedar","Cedar","4478","328","220","5","103","0.0732469852612774",2020-10-16
"Cerro Gordo","Cerro Gordo","12607","1214","984","23","207","0.0962957087332434",2020-10-16
"Cherokee","Cherokee","3185","348","200","2","146","0.109262166405024",2020-10-16
"Chickasaw","Chickasaw","2852","318","299","1","18","0.111500701262272",2020-10-16
"Clarke","Clarke","2578","299","247","3","49","0.115981380915438",2020-10-16
"Clay","Clay","4316","463","283","4","176","0.107275254865616",2020-10-16
"Clayton","Clayton","3617","336","283","3","50","0.0928946640862593",2020-10-16
"Clinton","Clinton","11051","1322","1038","25","259","0.119627183060357",2020-10-16
"Crawford","Crawford","5778","1278","978","12","288","0.221183800623053",2020-10-16
"Dallas","Dallas","28620","3225","2649","43","533","0.112683438155136",2020-10-16
"Davis","Davis","1486","151","114","4","33","0.101615074024226",2020-10-16
"Decatur","Decatur","1776","119","56","0","63","0.0670045045045045",2020-10-16
"Delaware","Delaware","4423","637","492","8","137","0.144019895998191",2020-10-16
"Des Moines","Des Moines","10472","1117","738","9","370","0.106665393430099",2020-10-16
"Dickinson","Dickinson","5902","667","476","7","184","0.11301253812267",2020-10-16
"Dubuque","Dubuque","33701","4450","2807","52","1591","0.132043559538293",2020-10-16
"Emmet","Emmet","2555","379","244","14","121","0.148336594911937",2020-10-16
"Fayette","Fayette","4665","321","193","2","126","0.0688102893890675",2020-10-16
"Floyd","Floyd","4263","408","356","11","41","0.095707248416608",2020-10-16
"Franklin","Franklin","2762","365","331","18","16","0.132150615496017",2020-10-16
"Fremont","Fremont","1453","176","82","1","93","0.121128699242946",2020-10-16
"Greene","Greene","2367","161","84","0","77","0.0680185889311365",2020-10-16
"Grundy","Grundy","3098","271","201","4","66","0.0874757908327954",2020-10-16
"Guthrie","Guthrie","3034","355","221","14","120","0.117007251153593",2020-10-16
"Hamilton","Hamilton","4124","424","358","3","63","0.102812803103783",2020-10-16
"Hancock","Hancock","2900","263","212","4","47","0.0906896551724138",2020-10-16
"Hardin","Hardin","4300","411","279","5","127","0.0955813953488372",2020-10-16
"Harrison","Harrison","3426","533","190","7","336","0.155575014594279",2020-10-16
"Henry","Henry","5833","949","647","5","297","0.162695011143494",2020-10-16
"Howard","Howard","2325","234","173","8","53","0.100645161290323",2020-10-16
"Humboldt","Humboldt","2602","271","211","3","57","0.104150653343582",2020-10-16
"Ida","Ida","1708","173","98","2","73","0.101288056206089",2020-10-16
"Iowa","Iowa","4484","361","183","2","176","0.0805084745762712",2020-10-16
"Jackson","Jackson","4531","496","298","3","195","0.109468108585301",2020-10-16
"Jasper","Jasper","9088","994","732","34","228","0.109375",2020-10-16
"Jefferson","Jefferson","3207","183","131","1","51","0.0570626753975678",2020-10-16
"Johnson","Johnson","43690","5567","4929","30","608","0.127420462348363",2020-10-16
"Jones","Jones","4530","378","241","3","134","0.0834437086092715",2020-10-16
"Keokuk","Keokuk","1916","135","94","1","40","0.0704592901878914",2020-10-16
"Kossuth","Kossuth","4039","407","225","0","182","0.100767516712057",2020-10-16
"Lee","Lee","7872","834","588","9","237","0.10594512195122",2020-10-16
"Linn","Linn","58243","4884","3690","122","1072","0.0838555706265131",2020-10-16
"Louisa","Louisa","2932","480","408","15","57","0.163710777626194",2020-10-16
"Lucas","Lucas","1870","179","141","6","32","0.0957219251336898",2020-10-16
