"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-08,"Adair","2724","485","298","15","12","3","172","0.178046989720999"
"Adams",2020-12-08,"Adams","1161","196","122","2","2","0","72","0.168819982773471"
"Allamakee",2020-12-08,"Allamakee","4491","940","538","16","14","2","386","0.209307503896682"
"Appanoose",2020-12-08,"Appanoose","4436","849","511","30","30","0","308","0.191388638412985"
"Audubon",2020-12-08,"Audubon","1875","315","235","6","6","0","74","0.168"
"Benton",2020-12-08,"Benton","9666","1806","1163","26","23","3","617","0.186840471756673"
"Black Hawk",2020-12-08,"Black Hawk","53686","11502","8388","161","151","10","2953","0.214245799649816"
"Boone",2020-12-08,"Boone","9859","1532","1004","12","10","2","516","0.155391013287352"
"Bremer",2020-12-08,"Bremer","8883","2068","1319","27","24","3","722","0.232804232804233"
"Buchanan",2020-12-08,"Buchanan","7150","1271","790","13","12","1","468","0.177762237762238"
"Buena Vista",2020-12-08,"Buena Vista","12070","3236","2595","17","15","2","624","0.268102734051367"
"Butler",2020-12-08,"Butler","5228","1105","682","8","7","1","415","0.211361897475134"
"Calhoun",2020-12-08,"Calhoun","4338","1113","730","8","7","1","375","0.256569847856155"
"Carroll",2020-12-08,"Carroll","8956","2089","1552","22","16","6","515","0.233251451540866"
"Cass",2020-12-08,"Cass","4696","876","593","34","32","2","249","0.186541737649063"
"Cedar",2020-12-08,"Cedar","6773","1190","741","14","13","1","435","0.175697622914514"
"Cerro Gordo",2020-12-08,"Cerro Gordo","18349","3859","2295","43","37","6","1521","0.210311188620633"
"Cherokee",2020-12-08,"Cherokee","4436","1015","582","10","10","0","423","0.228809738503156"
"Chickasaw",2020-12-08,"Chickasaw","4067","936","746","8","7","1","182","0.230145070076223"
"Clarke",2020-12-08,"Clarke","3382","528","403","6","6","0","119","0.15612063867534"
"Clay",2020-12-08,"Clay","6278","1318","800","9","6","3","509","0.209939471169162"
"Clayton",2020-12-08,"Clayton","5231","1210","766","20","16","4","424","0.231313324412158"
"Clinton",2020-12-08,"Clinton","16357","3583","2270","45","41","4","1268","0.219049948034481"
"Crawford",2020-12-08,"Crawford","7018","1865","1540","15","13","2","310","0.265745226560274"
"Dallas",2020-12-08,"Dallas","39819","6834","4774","58","48","10","2002","0.171626610412115"
"Davis",2020-12-08,"Davis","2322","509","316","12","11","1","181","0.219207579672696"
"Decatur",2020-12-08,"Decatur","2485","358","249","1","1","0","108","0.144064386317907"
"Delaware",2020-12-08,"Delaware","6167","1504","1112","26","25","1","366","0.243878709258959"
"Des Moines",2020-12-08,"Des Moines","16041","3115","2152","24","21","3","939","0.194189888410947"
"Dickinson",2020-12-08,"Dickinson","8032","1504","1020","11","9","2","473","0.187250996015936"
"Dubuque",2020-12-08,"Dubuque","45242","9699","7280","115","109","6","2304","0.21438044295124"
"Emmet",2020-12-08,"Emmet","3658","804","543","21","20","1","240","0.219792236194642"
"Fayette",2020-12-08,"Fayette","6782","1140","688","12","11","1","440","0.168092008257151"
"Floyd",2020-12-08,"Floyd","5923","1160","652","19","13","6","489","0.195846699307783"
"Franklin",2020-12-08,"Franklin","3840","779","505","16","15","1","258","0.202864583333333"
"Fremont",2020-12-08,"Fremont","2026","404","280","5","3","2","119","0.199407699901283"
"Greene",2020-12-08,"Greene","3226","555","352","2","2","0","201","0.172039677619343"
"Grundy",2020-12-08,"Grundy","4311","906","556","11","10","1","339","0.210160055671538"
"Guthrie",2020-12-08,"Guthrie","4281","811","543","22","17","5","246","0.18944171922448"
"Hamilton",2020-12-08,"Hamilton","5698","1235","655","13","13","0","567","0.216742716742717"
"Hancock",2020-12-08,"Hancock","4429","960","587","19","18","1","354","0.216753217430571"
"Hardin",2020-12-08,"Hardin","6316","1263","767","19","17","2","477","0.199968334388854"
"Harrison",2020-12-08,"Harrison","4863","1171","838","46","43","3","287","0.240797861402426"
"Henry",2020-12-08,"Henry","8194","2018","1437","17","17","0","564","0.24627776421772"
"Howard",2020-12-08,"Howard","3221","598","347","15","11","4","236","0.185656628376281"
"Humboldt",2020-12-08,"Humboldt","3665","837","515","10","8","2","312","0.22837653478854"
"Ida",2020-12-08,"Ida","2408","581","345","14","13","1","222","0.241279069767442"
"Iowa",2020-12-08,"Iowa","6183","1031","665","17","17","0","349","0.166747533559761"
"Jackson",2020-12-08,"Jackson","6709","1555","1141","18","17","1","396","0.231778208376807"
"Jasper",2020-12-08,"Jasper","13055","2395","1644","44","42","2","707","0.183454615090004"
"Jefferson",2020-12-08,"Jefferson","5516","797","428","9","8","1","360","0.144488759970993"
"Johnson",2020-12-08,"Johnson","60423","10071","7462","39","36","3","2570","0.166674941661288"
"Jones",2020-12-08,"Jones","7785","2416","1612","24","24","0","780","0.31034039820167"
"Keokuk",2020-12-08,"Keokuk","3053","685","373","13","13","0","299","0.224369472649853"
"Kossuth",2020-12-08,"Kossuth","5794","1246","670","20","19","1","556","0.215050051777701"
"Lee",2020-12-08,"Lee","11751","2374","1473","16","13","3","885","0.202025359543869"
"Linn",2020-12-08,"Linn","88950","15109","9903","204","192","12","5002","0.169859471613266"
"Louisa",2020-12-08,"Louisa","4202","924","662","18","15","3","244","0.219895287958115"
"Lucas",2020-12-08,"Lucas","2648","370","263","6","6","0","101","0.139728096676737"
"Lyon",2020-12-08,"Lyon","3456","1097","724","21","19","2","352","0.317418981481481"
"Madison",2020-12-08,"Madison","5387","779","499","6","5","1","274","0.144607388156673"
"Mahaska",2020-12-08,"Mahaska","7619","1383","964","30","28","2","389","0.181519884499278"
"Marion",2020-12-08,"Marion","11252","2202","1486","25","20","5","691","0.195698542481337"
"Marshall",2020-12-08,"Marshall","15858","3672","2767","47","44","3","858","0.23155505107832"
"Mills",2020-12-08,"Mills","6132","1134","733","7","7","0","394","0.184931506849315"
"Mitchell",2020-12-08,"Mitchell","4247","866","497","15","15","0","354","0.203908641393925"
"Monona",2020-12-08,"Monona","2858","476","319","9","8","1","148","0.166550034989503"
"Monroe",2020-12-08,"Monroe","2279","475","327","14","14","0","134","0.208424747696358"
"Montgomery",2020-12-08,"Montgomery","3130","556","301","12","11","1","243","0.177635782747604"
"Muscatine",2020-12-08,"Muscatine","16084","3192","2014","59","54","5","1119","0.198458095001243"
"O'Brien",2020-12-08,"O'Brien","5103","1404","1000","42","38","4","362","0.275132275132275"
"Osceola",2020-12-08,"Osceola","1891","565","395","3","3","0","167","0.298783712321523"
"Page",2020-12-08,"Page","4722","1235","915","6","6","0","314","0.261541719610335"
"Palo Alto",2020-12-08,"Palo Alto","3502","703","440","2","2","0","261","0.200742432895488"
"Pending Investigation",2020-12-08,"Pending Investigation","8772","734","156","0","0","0","578","0.0836753305973552"
"Plymouth",2020-12-08,"Plymouth","10465","3002","2195","37","32","5","770","0.286860965121835"
"Pocahontas",2020-12-08,"Pocahontas","2794","616","383","3","3","0","230","0.220472440944882"
"Polk",2020-12-08,"Polk","203360","36061","25189","355","321","34","10517","0.177325924468922"
"Pottawattamie",2020-12-08,"Pottawattamie","36360","7059","4450","69","64","5","2540","0.194141914191419"
"Poweshiek",2020-12-08,"Poweshiek","6389","1063","751","18","17","1","294","0.166379715135389"
"Ringgold",2020-12-08,"Ringgold","1787","286","128","4","4","0","154","0.160044767767208"
"Sac",2020-12-08,"Sac","4174","937","590","8","8","0","339","0.224484906564447"
"Scott",2020-12-08,"Scott","64478","12281","7472","104","98","6","4705","0.190468066627377"
"Shelby",2020-12-08,"Shelby","3923","826","563","16","16","0","247","0.210553148100943"
"Sioux",2020-12-08,"Sioux","12286","3926","3055","37","36","1","834","0.319550708123067"
"Story",2020-12-08,"Story","42815","7176","5096","18","17","1","2062","0.167604811397875"
"Tama",2020-12-08,"Tama","6491","1591","1216","54","52","2","321","0.245108611924203"
"Taylor",2020-12-08,"Taylor","1981","483","340","8","7","1","135","0.243816254416961"
"Union",2020-12-08,"Union","5176","899","436","9","9","0","454","0.173686244204019"
"Van Buren",2020-12-08,"Van Buren","2039","408","267","10","9","1","131","0.200098087297695"
"Wapello",2020-12-08,"Wapello","12445","2754","1931","83","81","2","740","0.221293692245882"
"Warren",2020-12-08,"Warren","20476","3103","1898","20","18","2","1185","0.151543270169955"
"Washington",2020-12-08,"Washington","8731","1551","942","21","20","1","588","0.177642881685947"
"Wayne",2020-12-08,"Wayne","1680","320","241","21","17","4","58","0.19047619047619"
"Webster",2020-12-08,"Webster","17415","3877","2633","43","37","6","1201","0.222624174562159"
