,date,County,Total.Tests,Total.Positive.Tests,Total.Recovered,Total.Deaths,Underlying.Cause.Deaths,Contributing.Factor.Deaths,Individuals.Tested,Individuals.Positive,Antigen,Positive.PCR,Positive.Antigen,Active,positivity,Tests over Individuals
Adair,2/20/2021,Adair,10459,904,671,26,20,6,3345,794,552,618,176,97,0.237369208,110
Adams,2/20/2021,Adams,4402,325,299,3,3,0,1468,317,177,289,28,15,0.215940054,8
Allamakee,2/20/2021,Allamakee,17568,1431,1273,41,35,6,5582,1387,488,1233,154,73,0.248477248,44
Appanoose,2/20/2021,Appanoose,15018,1360,1086,47,43,4,5570,1203,746,974,229,70,0.215978456,157
Audubon,2/20/2021,Audubon,9819,481,413,9,8,1,2416,465,459,396,69,43,0.192466887,16
Benton,2/20/2021,Benton,30201,2467,2078,54,44,10,11653,2323,1251,2063,260,191,0.199347807,144
Black Hawk,2/20/2021,Black Hawk,179180,16106,13833,284,267,17,65507,14766,4582,14010,756,649,0.225411025,1340
Boone,2/20/2021,Boone,37243,2559,2205,30,28,2,12729,2383,3193,1739,644,148,0.187210307,176
Bremer,2/20/2021,Bremer,30869,2750,2449,53,47,6,11280,2629,2530,2039,590,127,0.233067376,121
Buchanan,2/20/2021,Buchanan,24871,1822,1597,27,24,3,8686,1733,769,1579,154,109,0.199516463,89
Buena Vista,2/20/2021,Buena Vista,38728,4678,3935,36,33,3,13960,4058,1513,3717,341,87,0.290687679,620
Butler,2/20/2021,Butler,24285,1654,1488,31,28,3,6557,1570,1634,1133,437,51,0.239438768,84
Calhoun,2/20/2021,Calhoun,15520,1320,1227,10,10,0,4954,1274,1970,724,550,37,0.257165927,46
Carroll,2/20/2021,Carroll,30756,2834,2541,47,39,8,10622,2640,2081,2042,598,52,0.248540764,194
Cass,2/20/2021,Cass,17600,1309,1104,48,45,3,5870,1244,903,1036,208,92,0.211925043,65
Cedar,2/20/2021,Cedar,25019,1727,1537,22,21,1,8375,1655,767,1549,106,96,0.19761194,72
Cerro Gordo,2/20/2021,Cerro Gordo,64851,5289,4674,79,67,12,22910,4943,8492,2598,2345,190,0.215757311,346
Cherokee,2/20/2021,Cherokee,17116,1524,1367,35,29,6,5585,1432,1730,964,468,30,0.256401074,92
Chickasaw,2/20/2021,Chickasaw,14857,1243,1131,13,12,1,5066,1180,1521,705,475,36,0.232925385,63
