"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","positivity"
"Adair",2021-02-21,"Adair",10474,907,671,26,20,6,3346,794,97,"0.086595379033798"
"Adams",2021-02-21,"Adams",4406,325,299,3,3,0,1468,317,15,"0.0737630503858375"
"Allamakee",2021-02-21,"Allamakee",17627,1429,1275,41,35,6,5583,1387,71,"0.081068814886254"
"Appanoose",2021-02-21,"Appanoose",15042,1360,1090,47,43,4,5572,1204,67,"0.0904135088419093"
"Audubon",2021-02-21,"Audubon",9834,482,414,9,8,1,2416,465,42,"0.0490136261948343"
"Benton",2021-02-21,"Benton",30294,2471,2084,54,44,10,11654,2323,185,"0.0815673070575031"
"Black Hawk",2021-02-21,"Black Hawk",179566,16119,13846,284,267,17,65505,14766,636,"0.0897664368533019"
"Boone",2021-02-21,"Boone",37274,2567,2208,30,28,2,12730,2383,145,"0.068868380104094"
"Bremer",2021-02-21,"Bremer",30898,2750,2450,53,47,6,11279,2629,126,"0.0890025244352385"
"Buchanan",2021-02-21,"Buchanan",24903,1825,1597,27,24,3,8687,1733,109,"0.0732843432518171"
"Buena Vista",2021-02-21,"Buena Vista",38767,4680,3935,36,33,3,13960,4058,87,"0.120721231975649"
"Butler",2021-02-21,"Butler",24310,1653,1490,31,28,3,6558,1570,49,"0.0679967091731798"
"Calhoun",2021-02-21,"Calhoun",15542,1323,1227,10,10,0,4955,1274,37,"0.0851241796422597"
"Carroll",2021-02-21,"Carroll",30785,2834,2542,47,39,8,10621,2638,49,"0.0920578203670619"
"Cass",2021-02-21,"Cass",17617,1311,1104,48,45,3,5870,1244,92,"0.0744167565419765"
"Cedar",2021-02-21,"Cedar",25044,1733,1537,22,21,1,8375,1653,94,"0.0691982111483788"
"Cerro Gordo",2021-02-21,"Cerro Gordo",65018,5298,4676,79,67,12,22910,4943,188,"0.0814851271955458"
"Cherokee",2021-02-21,"Cherokee",17136,1529,1368,35,29,6,5585,1432,29,"0.0892273576097106"
"Chickasaw",2021-02-21,"Chickasaw",14884,1245,1132,13,12,1,5066,1180,35,"0.083646869121204"
"Clarke",2021-02-21,"Clarke",11324,983,797,20,20,0,4507,924,107,"0.0868067820558107"
"Clay",2021-02-21,"Clay",24720,1923,1708,25,20,5,7711,1824,91,"0.0777912621359223"
"Clayton",2021-02-21,"Clayton",20542,1675,1495,53,45,8,6467,1590,42,"0.0815402589815987"
"Clinton",2021-02-21,"Clinton",51308,5357,4533,82,73,9,20544,4920,305,"0.104408669213378"
"Crawford",2021-02-21,"Crawford",22823,2699,2318,35,31,4,8234,2473,120,"0.118257897734741"
"Dallas",2021-02-21,"Dallas",106234,11128,9037,88,77,11,49648,9918,793,"0.104749891748404"
"Davis",2021-02-21,"Davis",9026,819,688,23,22,1,3135,749,38,"0.0907378683802349"
"Decatur",2021-02-21,"Decatur",8394,565,500,9,9,0,3280,550,41,"0.0673099833214201"
"Delaware",2021-02-21,"Delaware",22568,1883,1732,38,33,5,7335,1844,74,"0.0834367245657568"
"Des Moines",2021-02-21,"Des Moines",46042,4510,3909,56,49,7,19606,4192,227,"0.0979540419616872"
"Dickinson",2021-02-21,"Dickinson",21670,2147,1857,38,32,6,9572,1992,97,"0.0990770650669128"
"Dubuque",2021-02-21,"Dubuque",156149,13374,11481,191,178,13,53221,12219,547,"0.0856489634899999"
"Emmet",2021-02-21,"Emmet",13837,1207,1068,39,37,2,4663,1137,30,"0.0872298908722989"
"Fayette",2021-02-21,"Fayette",29016,1836,1635,32,29,3,8539,1759,92,"0.0632754342431762"
"Floyd",2021-02-21,"Floyd",21557,1619,1380,38,30,8,7172,1462,44,"0.0751032147330334"
"Franklin",2021-02-21,"Franklin",17030,1179,1017,19,18,1,4860,1082,46,"0.0692307692307692"
"Fremont",2021-02-21,"Fremont",6266,581,526,9,7,2,2469,549,14,"0.0927226300670284"
