"","date","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","positivity","date"
"Adair",2021-02-22,10492,908,672,26,20,6,3346,794,96,0.0865421273351125,2021-02-22
"Adams",2021-02-22,4420,325,300,3,3,0,1468,317,14,0.0735294117647059,2021-02-22
"Allamakee",2021-02-22,17644,1432,1276,41,35,6,5583,1387,70,0.0811607345273181,2021-02-22
"Appanoose",2021-02-22,15056,1361,1096,47,43,4,5572,1204,61,0.0903958554729012,2021-02-22
"Audubon",2021-02-22,9839,482,413,9,8,1,2416,465,43,0.0489887183656876,2021-02-22
"Benton",2021-02-22,30326,2471,2087,54,44,10,11654,2323,182,0.0814812372221856,2021-02-22
"Black Hawk",2021-02-22,179751,16120,13864,284,267,17,65505,14766,618,0.0896796123526434,2021-02-22
"Boone",2021-02-22,37295,2570,2215,30,28,2,12730,2383,138,0.0689100415605309,2021-02-22
"Bremer",2021-02-22,30925,2749,2452,53,47,6,11279,2629,124,0.0888924818108327,2021-02-22
"Buchanan",2021-02-22,24922,1830,1599,27,24,3,8687,1733,107,0.0734290987882192,2021-02-22
"Buena Vista",2021-02-22,38778,4678,3935,36,33,3,13960,4058,87,0.120635411831451,2021-02-22
"Butler",2021-02-22,24335,1655,1491,31,28,3,6558,1570,48,0.0680090404766797,2021-02-22
"Calhoun",2021-02-22,15548,1323,1227,10,10,0,4955,1274,37,0.0850913300746077,2021-02-22
"Carroll",2021-02-22,30811,2835,2545,47,39,8,10621,2638,46,0.0920125929051313,2021-02-22
"Cass",2021-02-22,17628,1311,1106,48,45,3,5870,1244,90,0.0743703199455412,2021-02-22
"Cedar",2021-02-22,25070,1735,1539,22,21,1,8375,1653,92,0.069206222576785,2021-02-22
"Cerro Gordo",2021-02-22,65069,5296,4679,79,67,12,22910,4943,185,0.0813905239053927,2021-02-22
"Cherokee",2021-02-22,17142,1529,1369,35,29,6,5585,1432,28,0.0891961264729903,2021-02-22
"Chickasaw",2021-02-22,14896,1244,1132,13,12,1,5066,1180,35,0.0835123523093448,2021-02-22
"Clarke",2021-02-22,11341,986,798,20,20,0,4507,924,106,0.0869411868441936,2021-02-22
"Clay",2021-02-22,24780,1925,1709,25,20,5,7711,1824,90,0.077683615819209,2021-02-22
"Clayton",2021-02-22,20561,1673,1498,53,45,8,6467,1590,39,0.0813676377608093,2021-02-22
"Clinton",2021-02-22,51496,5359,4537,82,73,9,20544,4920,301,0.10406633524934,2021-02-22
"Crawford",2021-02-22,22829,2699,2317,35,31,4,8234,2473,121,0.118226816768146,2021-02-22
"Dallas",2021-02-22,106341,11127,9055,88,77,11,49648,9918,775,0.104635089006122,2021-02-22
"Davis",2021-02-22,9032,818,689,23,22,1,3135,749,37,0.0905668733392383,2021-02-22
"Decatur",2021-02-22,8398,565,501,9,9,0,3280,550,40,0.067277923315075,2021-02-22
"Delaware",2021-02-22,22574,1881,1732,38,33,5,7335,1844,74,0.0833259502082041,2021-02-22
"Des Moines",2021-02-22,46107,4513,3910,56,49,7,19606,4192,226,0.0978810158978029,2021-02-22
"Dickinson",2021-02-22,21684,2147,1858,38,32,6,9572,1992,96,0.0990130972145361,2021-02-22
"Dubuque",2021-02-22,156284,13382,11495,191,178,13,53221,12219,533,0.0856261677458985,2021-02-22
"Emmet",2021-02-22,13842,1205,1067,39,37,2,4663,1137,31,0.0870538939459616,2021-02-22
"Fayette",2021-02-22,29070,1835,1636,32,29,3,8539,1759,91,0.0631234950120399,2021-02-22
"Floyd",2021-02-22,21570,1618,1381,38,30,8,7172,1462,43,0.0750115901715345,2021-02-22
"Franklin",2021-02-22,17040,1180,1017,19,18,1,4860,1082,46,0.0692488262910798,2021-02-22
"Fremont",2021-02-22,6267,581,526,9,7,2,2469,549,14,0.0927078346896442,2021-02-22
"Greene",2021-02-22,12693,763,692,10,10,0,3825,722,20,0.0601118726857323,2021-02-22
"Grundy",2021-02-22,16092,1374,1203,30,25,5,5377,1297,64,0.0853840417598807,2021-02-22
"Guthrie",2021-02-22,14997,1156,1022,28,23,5,5181,1076,26,0.0770820830832833,2021-02-22
"Hamilton",2021-02-22,20308,1908,1589,40,39,1,7041,1720,91,0.0939531219223951,2021-02-22
"Hancock",2021-02-22,17934,1461,1299,28,23,5,5587,1365,38,0.0814653730344597,2021-02-22
"Hardin",2021-02-22,28586,1785,1550,35,31,4,7737,1661,76,0.0624431539914644,2021-02-22
"Harrison",2021-02-22,17334,1780,1521,68,64,4,6029,1652,63,0.102688358140072,2021-02-22
