"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-11,"Adair",12752,993,836,32,22,10,3820,873,5,2021-06-11
"Adams",2021-06-11,"Adams",6127,355,337,4,4,0,1684,344,3,2021-06-11
"Allamakee",2021-06-11,"Allamakee",22664,1584,1463,52,42,10,6563,1525,10,2021-06-11
"Appanoose",2021-06-11,"Appanoose",19130,1468,1230,49,44,5,6422,1290,11,2021-06-11
"Audubon",2021-06-11,"Audubon",13510,547,499,10,9,1,2871,526,17,2021-06-11
"Benton",2021-06-11,"Benton",39809,2748,2511,55,44,11,13624,2586,20,2021-06-11
"Black Hawk",2021-06-11,"Black Hawk",226395,17521,15526,311,288,23,74421,16020,183,2021-06-11
"Boone",2021-06-11,"Boone",46490,2866,2621,34,31,3,14722,2682,27,2021-06-11
"Bremer",2021-06-11,"Bremer",41989,3012,2789,60,51,9,12996,2877,28,2021-06-11
"Buchanan",2021-06-11,"Buchanan",33433,2042,1878,33,27,6,10061,1928,17,2021-06-11
"Buena Vista",2021-06-11,"Buena Vista",46879,4916,4208,40,36,4,15432,4261,13,2021-06-11
"Butler",2021-06-11,"Butler",30928,1752,1613,35,31,4,7457,1659,11,2021-06-11
"Calhoun",2021-06-11,"Calhoun",19614,1441,1373,13,12,1,5603,1389,3,2021-06-11
"Carroll",2021-06-11,"Carroll",38743,3078,2812,52,43,9,11932,2868,4,2021-06-11
"Cass",2021-06-11,"Cass",21738,1477,1340,54,48,6,6716,1392,-2,2021-06-11
"Cedar",2021-06-11,"Cedar",33346,2009,1878,23,21,2,9722,1917,16,2021-06-11
"Cerro Gordo",2021-06-11,"Cerro Gordo",82474,5959,5314,93,78,15,26741,5518,111,2021-06-11
"Cherokee",2021-06-11,"Cherokee",22092,1694,1550,38,30,8,6286,1593,5,2021-06-11
"Chickasaw",2021-06-11,"Chickasaw",18645,1316,1229,17,14,3,5798,1244,-2,2021-06-11
"Clarke",2021-06-11,"Clarke",14270,1069,978,24,22,2,5199,1008,6,2021-06-11
"Clay",2021-06-11,"Clay",32554,2276,2131,27,22,5,8913,2165,7,2021-06-11
"Clayton",2021-06-11,"Clayton",26953,1797,1649,57,48,9,7626,1710,4,2021-06-11
"Clinton",2021-06-11,"Clinton",68710,6090,5474,93,79,14,24796,5611,44,2021-06-11
"Crawford",2021-06-11,"Crawford",29728,2923,2625,40,35,5,9241,2678,13,2021-06-11
"Dallas",2021-06-11,"Dallas",135522,12615,11087,99,85,14,57672,11274,88,2021-06-11
