"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4764,1305,1119,43,143,0.273929471032746,2021-12-21
"2","Adams",2269,630,569,11,50,0.277655354781842,2021-12-21
"3","Allamakee",8368,2269,1982,57,230,0.271152007648184,2021-12-21
"4","Appanoose",8436,2246,1997,58,191,0.266239924134661,2021-12-21
"5","Audubon",3678,832,740,18,74,0.22620989668298,2021-12-21
"6","Benton",17529,4525,4002,62,461,0.258143647669576,2021-12-21
"7","Black Hawk",95864,23772,21683,397,1692,0.24797629975799,2021-12-21
"8","Boone",18574,4236,3877,44,315,0.228060730052762,2021-12-21
"9","Bremer",16447,4297,3904,74,319,0.261263452301332,2021-12-21
"10","Buchanan",13055,3467,3023,44,400,0.265568747606281,2021-12-21
"11","Buena Vista",19024,5144,4974,49,121,0.270395290159798,2021-12-21
"12","Butler",9485,2534,2289,47,198,0.267158671586716,2021-12-21
"13","Calhoun",6939,2066,1954,20,92,0.297737426142095,2021-12-21
"14","Carroll",14290,3863,3633,57,173,0.270328901329601,2021-12-21
"15","Cass",8569,2450,2272,71,107,0.285914342397012,2021-12-21
"16","Cedar",12440,2910,2639,27,244,0.233922829581994,2021-12-21
"17","Cerro Gordo",33557,8724,7980,133,611,0.25997556396579,2021-12-21
"18","Cherokee",7870,2286,2072,50,164,0.290470139771283,2021-12-21
"19","Chickasaw",7513,2048,1796,23,229,0.272594170105151,2021-12-21
"20","Clarke",6782,1745,1587,31,127,0.257298731937482,2021-12-21
"21","Clay",10925,3086,2925,38,123,0.282471395881007,2021-12-21
"22","Clayton",10127,2731,2436,63,232,0.269675125901057,2021-12-21
"23","Clinton",32041,8848,7816,119,913,0.276146187697013,2021-12-21
"24","Crawford",11178,3696,3500,49,147,0.33064949006978,2021-12-21
"25","Dallas",74017,16485,15316,119,1050,0.222719105070457,2021-12-21
"26","Davis",4831,1342,1220,26,96,0.277789277582281,2021-12-21
"27","Decatur",4856,1136,1022,16,98,0.233937397034596,2021-12-21
"28","Delaware",10941,3255,2907,61,287,0.297504798464491,2021-12-21
"29","Des Moines",28344,7374,7029,110,235,0.260160880609653,2021-12-21
"30","Dickinson",13008,3331,3103,60,168,0.256073185731857,2021-12-21
"31","Dubuque",75356,20300,18449,260,1591,0.269387971760709,2021-12-21
"32","Emmet",6674,1915,1734,47,134,0.28693437219059,2021-12-21
"33","Fayette",12608,3097,2804,57,236,0.24563769035533,2021-12-21
"34","Floyd",10673,2762,2534,53,175,0.25878384709079,2021-12-21
"35","Franklin",7479,1973,1810,35,128,0.263805321567054,2021-12-21
"36","Fremont",3885,1045,967,16,62,0.268983268983269,2021-12-21
"37","Greene",5656,1339,1261,18,60,0.236739745403112,2021-12-21
"38","Grundy",7671,1978,1802,37,139,0.257854256289923,2021-12-21
"39","Guthrie",7964,1812,1661,40,111,0.227523857358112,2021-12-21
"40","Hamilton",10390,2745,2552,60,133,0.264196342637151,2021-12-21
"41","Hancock",8120,2365,2127,41,197,0.291256157635468,2021-12-21
"42","Hardin",11827,3105,2805,55,245,0.262534877821933,2021-12-21
"43","Harrison",8580,2619,2288,83,248,0.305244755244755,2021-12-21
"44","Henry",15256,4407,4200,56,151,0.288869952805454,2021-12-21
"45","Howard",6135,1641,1460,24,157,0.267481662591687,2021-12-21
"46","Humboldt",6355,2015,1816,33,166,0.317073170731707,2021-12-21
"47","Ida",4546,1416,1274,42,100,0.31148262208535,2021-12-21
"48","Iowa",11147,2532,2278,36,218,0.227146317394815,2021-12-21
"49","Jackson",12668,3631,3083,49,499,0.286627723397537,2021-12-21
"50","Jasper",25187,6711,6151,91,469,0.26644697661492,2021-12-21
"51","Jefferson",12193,2492,2218,44,230,0.204379562043796,2021-12-21
"52","Johnson",112787,21539,19728,116,1695,0.190970590582248,2021-12-21
"53","Jones",13602,4382,4013,67,302,0.322158506102044,2021-12-21
"54","Keokuk",6257,1613,1475,41,97,0.257791273773374,2021-12-21
"55","Kossuth",10495,3149,2828,80,241,0.300047641734159,2021-12-21
"56","Lee",22560,6302,5851,109,342,0.279343971631206,2021-12-21
"57","Linn",162796,35872,31887,439,3546,0.220349394334013,2021-12-21
"58","Louisa",7515,1945,1734,54,157,0.258815701929474,2021-12-21
"59","Lucas",5399,1342,1228,28,86,0.248564548990554,2021-12-21
"60","Lyon",6486,2194,2030,44,120,0.338267036694419,2021-12-21
"61","Madison",10631,2511,2335,25,151,0.236196030476907,2021-12-21
"62","Mahaska",14787,3957,3589,69,299,0.267599918847636,2021-12-21
"63","Marion",22463,5980,5524,102,354,0.266215554467346,2021-12-21
"64","Marshall",28463,7018,6618,94,306,0.246565716895619,2021-12-21
"65","Mills",9967,2438,2201,30,207,0.244607203772449,2021-12-21
"66","Mitchell",7089,1949,1791,46,112,0.274932994780646,2021-12-21
"67","Monona",4842,1318,1204,41,73,0.272201569599339,2021-12-21
"68","Monroe",4827,1524,1402,43,79,0.315724052206339,2021-12-21
"69","Montgomery",5981,1689,1590,48,51,0.282394248453436,2021-12-21
"70","Muscatine",29110,7118,6554,119,445,0.244520783236001,2021-12-21
"71","O'Brien",8555,2657,2357,67,233,0.310578609000584,2021-12-21
"72","Osceola",3324,1104,1031,18,55,0.332129963898917,2021-12-21
"73","Page",8761,2858,2709,38,111,0.326218468211391,2021-12-21
"74","Palo Alto",5835,1603,1471,32,100,0.274721508140531,2021-12-21
"75","Pending Investigation",4086,41,26,0,15,0.0100342633382281,2021-12-21
