"","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"1","2020-07-25","0","0","0","0","0","2","8","2","0",NA,"1","0","0","4","0","0","8","0","0","0","0","0","3","1","1","0","0","3","2","1","13","1","0","0","2","0","0","0","0","3","0","2","0","0","0","0","2","1","2","5","0","9","1","1","0","0","13","1","0","2","0","0","2","4","0","1","0","0","1","0","1","0","1","1","1","2","51","2","0","0","0","10","0","4","6","2","0","2","0","4","2","1","0","8","2","0","9","1","3","215"
"2","2020-07-26","0","0","0","0","0","0","8","1","0",NA,"0","0","0","5","1","1","6","0","0","0","0","0","3","1","0","0","0","3","2","2","19","1","0","0","2","0","0","0","0","0","0","4","0","0","0","0","2","1","2","2","0","9","1","1","0","0","11","2","0","2","0","0","1","5","1","1","0","1","1","0","1","0","1","1","1","2","45","4","0","0","0","10","0","2","6","2","0","3","0","4","0","2","0","7","2","0","9","1","2","207"
"3","2020-07-27","0","1","0","0","0","2","9","1","1",NA,"0","0","0","3","1","2","5","0","0","0","0","0","3","1","2","0","0","4","2","1","22","1","0","0","0","0","0","0","0","0","1","3","0","1","0","0","1","1","2","2","0","11","1","0","0","0","9","2","0","1","0","0","0","4","1","1","0","1","1","0","1","0","0","1","0","2","41","6","0","0","0","12","0","2","8","1","0","4","0","4","1","2","0","5","2","0","10","1","2","209"
"4","2020-07-28","0","1","0","0","0","2","10","2","1",NA,"0","0","0","3","1","2","8","0","0","0","0","0","3","1","2","0","0","2","3","0","21","0","0","0","2","0","0","0","1","0","1","2","0","1","0","0","1","1","3","3","0","11","1","0","0","0","12","2","0","2","0","0","1","5","1","0","0","1","1","0","1","0","0","1","2","1","40","6","0","0","0","13","0","2","7","1","0","4","0","4","1","4","0","5","2","0","10","1","2","221"
"5","2020-07-29","0","1","0","0","0","2","10","2","2",NA,"0","0","0","3","1","2","9","0","0","0","0","0","4","1","2","0","0","2","2","1","22","0","0","0","4","0","0","1","1","0","1","3","0","1","0","0","1","1","2","3","0","10","1","0","0","1","8","1","0","2","0","0","2","5","1","1","0","1","1","1","1","0","0","1","2","1","45","8","0","0","0","15","0","1","6","2","0","3","0","4","3","3","0","5","2","0","10","1","2","234"
"6","2020-07-30","0","1","0","0","0","2","10","2","2",NA,"0","0","0","3","0","2","9","0","0","0","0","0","5","1","2","1","0","2","1","2","23","0","1","0","3","0","0","1","1","0","1","3","0","1","0","0","1","1","2","2","0","8","2","0","0","1","8","1","0","1","0","1","1","4","1","1","0","1","2","1","1","0","0","0","2","1","45","7","0","0","0","15","0","1","4","2","0","3","0","2","3","1","0","3","2","0","11","1","2","224"
"7","2020-07-31","0","1","0","0","0","2","10","2","2",NA,"0","0","0","3","0","2","9","0","0","0","0","0","5","1","2","1","0","2","1","2","23","0","1","0","3","0","0","1","1","0","1","3","0","1","0","0","1","1","2","2","0","8","2","0","0","1","8","1","0","1","0","1","1","4","1","1","0","1","2","1","1","0","0","0","2","1","45","7","0","0","0","15","0","1","4","2","0","3","0","2","3","1","0","3","2","0","11","1","2","224"
"8","2020-08-01","0","1","0","0","0","0","8","3","2",NA,"0","0","0","2","1","3","6","0","0","1","0","0","4","0","1","0","0","1","2","2","24","0","1","0","6","0","0","1","1","1","1","2","0","0","0","0","1","1","2","0","0","8","1","0","0","1","10","1","0","1","0","1","1","4","1","1","0","1","2","2","1","0","0","0","1","0","38","8","0","0","0","11","0","0","4","1","0","2","1","4","2","1","0","3","1","0","11","0","1","203"
"9","2020-08-02","0","1","0","0","0","0","8","3","2",NA,"0","0","0","2","1","3","6","0","0","1","0","0","4","0","1","0","0","1","2","2","24","0","1","0","6","0","0","1","1","1","1","2","0","0","0","0","1","1","2","0","0","8","1","0","0","1","10","1","0","1","0","1","1","4","1","1","0","1","2","2","1","0","0","0","1","0","38","8","0","0","0","11","0","0","4","1","0","2","1","4","2","1","0","3","1","0","11","0","1","203"
"10","2020-08-03","0","1","0","0","0","0","8","3","2",NA,"0","0","0","2","1","3","6","0","0","1","0","0","4","0","1","0","0","1","2","2","24","0","1","0","6","0","0","1","1","1","1","2","0","0","0","0","1","1","2","0","0","8","1","0","0","1","10","1","0","1","0","1","1","4","1","1","0","1","2","2","1","0","0","0","1","0","38","8","0","0","0","11","0","0","4","1","0","2","1","4","2","1","0","3","1","0","11","0","1","203"
