"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"2022-03-01",50,13,59,65,19,73,454,52,79,56,54,51,22,64,75,32,157,60,31,35,40,72,140,52,134,29,23,68,128,71,291,51,71,61,40,24,19,40,43,70,46,58,93,65,30,37,47,47,67,103,50,138,71,47,86,136,555,60,31,48,35,84,117,106,41,49,46,48,52,129,70,22,44,37,96,27,1038,301,60,33,32,372,50,85,81,86,21,49,0,26,188,133,74,33,153,44,46,321,12,61
"2022-03-08",0,0,0,1,0,1,6,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,0,1,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,1,0,3,3,0,1,1,0,1,0,1,1,0,1,1,7,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,2,0,13,4,0,0,0,2,0,0,2,1,0,0,0,0,3,1,0,0,2,1,0,5,0,0
"2022-03-15",0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,5,1,1,1,0,0,0,0,1,3,1,0,4,0,1,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,1,1,5,0,1,1,3,6,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,10,1,0,0,1,3,1,0,1,1,0,0,0,1,2,1,1,0,3,1,2,2,0,1
"2022-03-22",1,0,0,1,1,0,2,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,1,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,2,0
"2022-03-29",0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,5,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0
"2022-04-05",-1,0,0,0,-1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,4,1,0,0,-1,0,-1,0,2,0,0,0,0,0,2,-1,0,0,1,0,1,2,0,0
"2022-04-12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-04-20",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0
"2022-04-20",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0
"2022-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
