"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"2022-02-22",1571,812,2831,2863,1096,5967,32381,5373,5442,4540,6412,3174,2578,4899,2934,4085,10938,2945,2652,2238,4056,3429,11417,4503,22456,1584,1497,3970,9014,4111,25671,2339,4038,3488,2492,1371,1703,2530,2322,3464,2812,4084,3403,5509,2022,2599,1792,3646,4572,8549,3439,33520,5412,2030,3751,7779,51314,2463,1729,2716,3101,4853,7469,9294,3322,2439,1699,1867,2183,9453,3396,1388,3321,2052,6292,1571,120214,23993,3525,1125,2381,40199,2694,7959,19444,3813,1310,2695,50,1370,8893,12271,5591,1250,10254,2927,3760,28626,1744,3587
"2022-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-03-08",4,0,3,13,0,9,62,11,13,7,4,10,3,2,3,14,16,3,4,8,8,6,15,0,44,3,2,4,25,2,64,3,8,16,3,0,1,11,8,9,8,6,4,16,6,8,-1,10,3,17,10,94,13,6,5,18,133,5,5,0,7,6,17,23,3,6,1,3,7,14,6,0,3,3,1,2,520,38,7,1,6,92,4,2,57,6,1,5,-13,4,7,39,-2,1,30,7,13,25,2,5
"2022-03-15",2,1,4,1,1,5,46,7,7,3,2,5,1,1,1,9,17,4,4,4,5,2,13,5,19,3,3,4,11,2,13,3,5,9,3,0,3,2,0,1,2,7,4,3,1,0,2,-1,4,15,0,78,7,2,1,11,125,2,5,1,3,6,13,15,6,3,1,-3,3,62,17,1,0,3,10,13,141,41,10,1,4,44,1,4,19,8,1,1,2,1,27,17,3,0,5,3,8,13,2,-1
"2022-03-22",0,1,3,1,0,1,50,1,8,1,1,9,3,5,2,1,14,0,0,2,1,1,3,3,26,2,-2,4,12,2,31,1,6,12,7,0,1,3,1,3,3,2,3,4,2,1,1,0,2,6,1,37,5,1,1,6,82,-1,1,0,2,5,1,3,2,1,1,0,3,7,9,0,1,1,-1,2,139,38,26,1,2,22,2,1,29,1,0,2,-2,2,4,15,1,0,8,2,3,7,2,1
"2022-03-29",0,0,8,-1,-1,5,34,2,5,2,-1,6,2,1,1,3,9,1,2,0,2,2,5,1,28,1,1,5,4,0,16,3,1,4,3,-1,0,3,2,2,0,1,0,4,2,0,1,-1,0,1,1,43,4,0,0,3,56,1,1,3,4,0,4,3,3,4,0,-1,2,1,2,0,2,2,4,6,65,22,5,1,3,11,0,3,19,6,0,1,-8,1,4,9,2,1,1,1,7,6,0,2
"2022-04-05",0,1,5,5,0,9,38,4,3,7,3,5,2,9,5,3,10,2,3,4,2,11,7,6,35,1,0,4,5,2,25,0,6,9,-2,2,20,-3,1,2,3,4,5,6,2,0,3,11,0,1,3,114,3,7,1,8,122,1,3,2,1,5,30,11,3,1,2,5,0,11,7,1,5,3,3,2,151,22,2,4,1,38,4,-2,21,5,0,-1,-9,1,8,9,11,0,2,3,5,14,0,1
"2022-04-12",0,0,2,1,3,8,39,9,8,6,-2,0,2,4,3,5,7,2,3,1,0,4,11,-1,39,1,1,5,15,1,24,2,6,2,0,12,5,-2,1,2,3,4,2,1,0,0,7,5,2,5,5,145,7,15,0,8,103,4,2,6,7,1,4,6,6,5,0,0,0,9,5,0,4,0,1,4,154,15,3,1,-1,42,4,5,20,8,0,1,-20,1,8,8,16,1,5,4,11,8,1,0
"2022-04-20",0,-1,1,1,9,7,33,16,4,3,-9,3,1,4,3,7,11,7,2,1,7,6,12,1,43,2,4,5,8,1,41,0,0,2,-2,1,0,4,1,-4,-1,1,4,5,2,-1,11,7,3,4,25,174,3,-2,2,0,129,2,1,5,1,5,3,3,2,17,1,3,2,12,0,-1,-2,0,1,2,210,22,18,0,3,52,0,-4,33,20,-4,-1,5,-3,0,8,9,1,9,4,10,13,3,-3
"2022-04-20",4,2,4,9,3,14,74,16,18,8,-13,8,1,7,-1,10,21,4,6,0,6,6,25,0,62,2,0,8,14,0,66,2,4,4,3,0,1,5,2,-2,2,5,1,4,9,13,8,5,6,9,10,305,19,12,2,7,215,3,0,4,12,12,9,17,4,6,1,0,-1,22,4,2,0,4,3,2,285,26,41,0,5,71,0,-2,47,18,0,1,1,1,4,16,1,1,8,5,21,12,10,5
"2022-04-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04-20",-4,-2,-4,-9,-3,-14,-74,-16,-18,-8,13,-8,-1,-7,1,-10,-21,-4,-6,0,-6,-6,-25,0,-62,-2,0,-8,-14,0,-66,-2,-4,-4,-3,0,-1,-5,-2,2,-2,-5,-1,-4,-9,-13,-8,-5,-6,-9,-10,-305,-19,-12,-2,-7,-215,-3,0,-4,-12,-12,-9,-17,-4,-6,-1,0,1,-22,-4,-2,0,-4,-3,-2,-285,-26,-41,0,-5,-71,0,2,-47,-18,0,-1,-1,-1,-4,-16,-1,-1,-8,-5,-21,-12,-10,-5
"2022-04-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-04-26",4,2,4,9,3,14,74,16,18,8,-13,8,1,7,-1,10,21,4,6,0,6,6,25,0,62,2,0,8,14,0,66,2,4,4,3,0,1,5,2,-2,2,5,1,4,9,13,8,5,6,9,10,305,19,12,2,7,215,3,0,4,12,12,9,17,4,6,1,0,-1,22,4,2,0,4,3,2,285,26,41,0,5,71,0,-2,47,18,0,1,1,1,4,16,1,1,8,5,21,12,10,5
