"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"2021-12-28",430,292,751,1015,317,1993,7110,1587,1424,1489,836,823,641,1018,1068,1033,3352,701,814,709,961,1120,3479,875,5355,437,482,1123,2513,867,7311,586,1246,1155,709,408,545,594,570,846,867,1200,862,1388,614,820,458,1080,1446,2279,1212,7587,1401,629,980,2128,15415,640,560,618,820,1662,2223,2154,829,737,477,514,660,2276,683,324,912,481,1127,425,30004,6330,1115,273,527,10022,821,1351,3856,942,408,929,45,481,2723,3393,1652,393,2360,988,1017,6370,566,956
"2022-01-04",38,12,64,59,24,156,1343,118,119,102,69,49,51,88,50,129,223,75,67,58,82,86,288,88,699,37,25,56,153,100,647,49,109,56,38,26,38,47,32,66,44,96,64,121,25,99,18,97,126,157,84,1818,119,52,105,137,2248,48,34,74,67,87,173,210,66,52,21,19,30,227,54,30,31,42,99,41,3957,645,85,18,52,1803,49,153,459,79,14,50,0,30,176,349,232,28,402,45,84,452,37,139
"2022-01-11",35,15,126,87,49,373,2456,244,259,201,226,106,103,240,82,213,496,132,134,68,190,107,369,191,1318,43,60,170,273,154,1103,93,183,142,104,48,74,103,109,163,78,180,124,216,71,178,66,229,191,328,159,2981,183,80,146,258,3653,109,59,144,116,147,242,536,152,131,46,76,66,494,162,68,89,83,290,55,7930,1349,111,43,101,2142,102,403,1108,189,41,85,13,61,323,564,268,36,625,107,163,1924,119,208
"2022-01-18",66,30,131,115,51,341,2133,267,272,262,467,141,133,244,98,252,598,182,140,116,245,157,803,179,1511,52,95,228,381,206,1203,117,183,215,155,92,85,149,148,179,106,249,218,251,100,105,84,269,240,332,211,2852,300,70,110,351,3666,125,99,162,145,220,337,565,206,108,79,58,113,616,197,74,120,107,330,93,9077,1678,164,79,140,2301,130,440,1166,229,48,99,15,59,498,791,302,53,513,106,162,2211,117,153
"2022-01-25",53,52,100,145,74,306,1779,222,302,211,496,185,123,273,129,273,444,176,171,117,275,174,744,167,1269,39,88,159,349,182,863,122,195,163,115,96,89,130,100,183,120,275,219,310,104,110,146,285,224,454,206,2540,250,89,120,374,3166,115,81,121,141,220,379,550,293,122,140,103,143,562,210,46,129,132,279,61,7499,2107,213,70,148,1927,138,385,1161,179,55,123,48,81,468,741,315,91,417,150,167,1911,95,128
"2022-02-01",54,58,86,129,41,191,1091,133,154,165,208,105,89,179,80,165,315,123,81,80,176,118,406,154,890,39,48,87,391,130,1353,44,154,147,60,52,37,78,105,99,74,128,153,194,63,50,81,176,167,333,191,1798,173,91,43,334,2036,82,57,40,87,141,284,314,150,60,74,63,90,361,141,38,106,35,180,47,4340,976,232,25,87,1622,100,233,847,111,73,101,13,56,330,501,220,52,277,96,109,867,61,85
"2022-02-08",31,17,57,66,33,131,597,118,135,147,127,69,46,108,62,138,241,69,48,68,83,65,269,77,457,33,54,67,188,77,577,52,105,81,50,30,50,61,32,71,76,77,65,120,37,29,34,100,71,198,133,907,81,49,64,153,1090,50,55,32,52,115,160,198,110,35,79,43,54,206,65,15,67,27,103,29,2640,613,90,36,46,641,61,94,454,64,35,72,-66,32,208,302,103,36,179,56,86,475,30,49
"2022-02-15",31,19,54,67,33,123,607,136,110,112,66,97,75,113,52,129,253,45,44,47,51,107,154,65,845,33,38,132,197,63,432,45,97,58,56,24,45,66,65,67,69,104,57,158,36,76,36,84,69,228,134,749,106,69,72,128,1272,48,50,41,95,98,156,160,71,36,25,32,41,163,52,25,50,38,80,27,3811,435,115,29,56,1105,46,94,474,70,26,72,8,37,185,392,130,27,366,53,92,371,30,51
"2022-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-03-08",5,0,5,18,0,14,87,15,19,10,4,11,4,5,5,17,20,3,6,9,10,9,22,2,65,5,5,5,36,5,92,3,11,20,4,3,3,11,8,13,9,7,7,22,8,10,0,11,9,22,14,124,15,8,5,21,168,7,6,0,8,7,20,28,6,7,2,4,9,16,7,1,4,3,5,3,729,52,10,1,9,111,6,2,78,8,1,8,-12,4,23,47,4,2,36,13,14,35,3,10
