EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,162066,21233,16493,294
Linn,67598,7153,4417,137
Scott,48947,5478,3513,50
Johnson,48383,6418,5315,33
Black Hawk,43300,6726,4668,106
Woodbury,39149,7919,6126,101
Dubuque,37624,6109,3919,63
Story,34700,4391,3617,18
Dallas,31687,3889,2970,49
Pottawattamie,27980,3663,2647,47
Warren,15955,1482,1016,8
Webster,14652,2159,1495,16
Cerro Gordo,14145,1707,1135,27
Marshall,13399,2334,1809,37
Clinton,12505,1711,1217,29
Des Moines,12433,1670,948,12
Muscatine,12286,1655,1135,58
Buena Vista,10550,2378,2097,12
Jasper,10265,1361,907,34
Sioux,10061,2712,1986,19
Wapello,9955,1685,1419,64
Lee,8953,1130,733,13
Marion,8816,1182,980,12
Plymouth,8539,1906,1308,31
Boone,7879,820,579,10
Carroll,7427,1321,818,13
Benton,7343,778,379,5
Washington,6847,780,532,12
Bremer,6704,877,533,9
Henry,6559,1216,869,6
Dickinson,6483,855,605,9
Mahaska,6276,816,491,25
Crawford,6203,1443,1173,15
Pending Investigation,5860,141,1,0
Winneshiek,5645,563,398,9
Buchanan,5644,582,326,5
Tama,5477,1082,782,38
Jones,5411,654,334,4
Jackson,5306,820,430,4
Wright,5286,836,637,1
Cedar,5234,569,288,8
Fayette,5218,496,274,6
Poweshiek,5014,558,382,11
Delaware,4985,927,547,16
Iowa,4972,510,272,11
Hardin,4894,598,332,7
Clay,4855,610,402,4
Mills,4736,495,245,3
Floyd,4639,507,429,11
Kossuth,4511,543,356,0
Hamilton,4500,524,461,5
Madison,4365,407,288,3
Clayton,4185,615,367,3
Butler,4145,478,377,3
O'Brien,4036,842,477,15
Union,4024,311,237,6
Harrison,3929,760,428,18
Cass,3839,528,336,6
Winnebago,3792,564,339,20
Jefferson,3785,304,160,1
Page,3629,486,367,0
Allamakee,3530,450,278,9
Cherokee,3491,470,318,3
Grundy,3419,399,247,6
Sac,3400,463,311,5
Guthrie,3377,455,303,15
Mitchell,3367,341,206,2
Appanoose,3346,297,167,3
Hancock,3304,448,284,6
Louisa,3302,568,440,15
Calhoun,3261,387,281,5
Chickasaw,3138,426,373,1
Shelby,3089,445,374,2
Franklin,3000,429,354,18
Humboldt,2976,423,266,3
Emmet,2935,481,330,21
Clarke,2861,376,277,3
Palo Alto,2710,366,255,2
Lyon,2631,608,450,8
Greene,2601,223,145,0
Howard,2538,302,196,9
Montgomery,2455,222,179,7
Monona,2343,279,199,2
Keokuk,2213,240,128,1
Pocahontas,2207,292,184,2
Adair,2154,252,85,1
Lucas,2129,227,158,6
Worth,2081,173,117,0
Decatur,2028,186,86,0
Ida,1911,265,156,2
Monroe,1837,282,162,12
Davis,1711,223,136,4
Fremont,1611,231,160,2
Taylor,1608,286,194,2
Van Buren,1558,217,132,2
Audubon,1541,210,111,1
Ringgold,1458,112,86,2
Osceola,1449,323,209,0
Wayne,1409,195,109,4
Adams,886,92,54,1
