County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,757247,66058,57764,643,564,79
Linn,318842,22800,20888,342,306,36
Scott,236198,21796,20054,250,226,24
Black Hawk,233760,18002,15774,316,292,24
Johnson,230344,15574,14527,85,77,8
Dubuque,207065,14888,13298,213,195,18
Story,171876,11533,10692,48,42,6
Woodbury,157489,16573,14993,230,211,19
Dallas,138532,12737,11245,99,85,14
Pottawattamie,127574,12386,11045,177,153,24
Marshall,89126,5282,4795,76,68,8
Cerro Gordo,85274,6053,5453,97,80,17
Warren,84672,6412,5775,92,82,10
Webster,74144,5547,5050,94,79,15
Clinton,70396,6108,5532,93,79,14
Des Moines,62570,5091,4616,73,61,12
Muscatine,61323,5243,4781,106,97,9
Lee,60082,4115,3770,58,45,13
Jasper,57305,4861,4419,73,67,6
Wapello,51213,4723,4215,122,118,4
Sioux,48905,5368,5103,74,71,3
Poweshiek,48340,1665,1553,36,33,3
Buena Vista,47741,5002,4244,40,36,4
Boone,47092,2886,2653,34,31,3
Marion,45710,3861,3583,77,65,12
Washington,45235,2762,2543,51,47,4
Bremer,43563,3048,2824,62,52,10
Winneshiek,42955,2081,1934,35,30,5
Plymouth,40986,4359,3954,82,74,8
Benton,40961,2791,2528,55,44,11
Henry,40053,3152,2951,37,36,1
Carroll,39452,3066,2802,52,43,9
Fayette,39063,1967,1819,43,38,5
Hardin,38295,2028,1839,44,34,10
Tama,35185,2262,2051,72,68,4
Buchanan,34381,2068,1904,34,27,7
Cedar,34227,2014,1895,23,21,2
Mahaska,33775,2421,2236,51,46,5
Clay,33230,2286,2143,27,22,5
Iowa,31808,1544,1455,24,22,2
Butler,31607,1760,1621,35,31,4
Delaware,31513,2159,2063,43,38,5
Crawford,30254,2947,2649,41,35,6
Dickinson,29537,2699,2459,45,39,6
Jones,28931,3142,2951,57,51,6
Kossuth,28377,2292,2110,66,57,9
Floyd,28209,1827,1595,42,32,10
Jackson,28202,2390,2217,42,39,3
O'Brien,27772,2165,1950,61,56,5
Clayton,27717,1807,1665,57,48,9
Hamilton,24870,2026,1779,51,46,5
Hancock,23612,1607,1466,34,27,7
Allamakee,23240,1605,1487,52,42,10
Page,23210,2015,1929,22,20,2
Jefferson,23130,1465,1308,35,29,6
Madison,22877,1805,1642,19,15,4
Harrison,22634,1947,1737,73,69,4
Cherokee,22583,1713,1563,38,30,8
Mills,22571,1805,1603,24,21,3
Sac,22266,1410,1306,20,19,1
Cass,21950,1475,1336,55,49,6
Wright,21931,1942,1819,40,33,7
Franklin,21929,1369,1218,23,21,2
Grundy,20602,1465,1348,33,27,6
Palo Alto,20183,1205,1117,24,23,1
Guthrie,20178,1326,1207,32,26,6
Calhoun,20053,1459,1377,13,12,1
Mitchell,19491,1380,1231,43,40,3
Appanoose,19466,1453,1227,49,44,5
Monona,19445,911,817,31,29,2
Winnebago,19400,1569,1415,31,26,5
Louisa,19090,1371,1252,49,42,7
Chickasaw,19083,1331,1235,17,14,3
Union,18648,1374,1260,35,27,8
Emmet,18343,1445,1320,41,39,2
Shelby,18301,1364,1268,37,33,4
Howard,18115,1106,1028,22,18,4
Lyon,17805,1618,1558,41,37,4
Keokuk,16976,1059,948,32,31,1
Humboldt,16645,1278,1180,26,23,3
Greene,15939,839,775,11,10,1
Montgomery,15290,1132,1014,38,36,2
Worth,14770,799,745,8,7,1
Pocahontas,14615,913,844,22,22,0
Clarke,14582,1087,990,24,22,2
Audubon,14206,545,513,11,10,1
Ida,13372,1034,880,35,32,3
Adair,13050,1013,849,32,22,10
Davis,12198,934,833,25,23,2
Decatur,11307,659,628,9,9,0
Ringgold,10826,577,536,24,18,6
Monroe,10579,1028,943,32,24,8
Lucas,10278,799,750,23,18,5
Osceola,9834,815,776,17,14,3
Taylor,9533,690,658,12,10,2
Van Buren,9452,593,550,18,15,3
Fremont,8148,684,637,10,8,2
Wayne,7878,601,528,23,18,5
Unknown,6286,5,0,0,0,0
Adams,6256,353,334,4,4,0
