County,Total Positive Tests,Total Positive Cases,Total Deaths
Polk,169083,142439,1178
Linn,70585,61766,632
Johnson,50070,43086,169
Scott,53494,47122,428
Black Hawk,43700,37375,510
Dubuque,34468,29724,318
Woodbury,36597,31975,350
Story,25539,22410,97
Dallas,30531,26057,154
Pottawattamie,31643,27029,341
Marshall,12325,10851,126
Cerro Gordo,14286,12393,175
Warren,16086,14009,147
Webster,13288,11666,180
Clinton,15494,13379,164
Lee,10138,8878,147
Muscatine,12373,10913,138
Des Moines,12337,10706,156
Jasper,11378,9952,120
Wapello,11466,10002,218
Washington,7431,6492,83
Boone,7042,6282,65
Marion,9577,8520,130
Sioux,9513,8642,92
Bremer,6930,6162,85
Poweshiek,4980,4412,65
Benton,7846,6903,80
Fayette,5346,4758,84
Buena Vista,8272,6784,63
Henry,7123,6269,81
Hardin,5511,4831,67
Winneshiek,4807,4374,55
Buchanan,5975,5307,66
Plymouth,7744,6859,109
Cedar,5437,4826,44
Carroll,6239,5515,77
Iowa,4644,4170,50
Tama,5016,4438,97
Mahaska,6239,5571,92
Clay,5209,4643,51
Delaware,5127,4565,69
Butler,4127,3663,56
Floyd,4672,4059,66
Jones,6958,6200,79
Clayton,4639,3917,79
Jackson,6023,5342,73
Jefferson,4886,4119,56
Kossuth,4709,4219,93
Dickinson,5167,4589,76
O'Brien,4262,3770,73
Crawford,5633,4864,56
Hamilton,4424,3836,79
Cherokee,3973,3437,70
Page,4124,3679,51
Cass,3519,3171,82
Hancock,3678,3177,50
Mills,4527,3841,45
Allamakee,3513,3131,63
Franklin,3258,2823,48
Madison,4046,3547,44
Harrison,4254,3717,99
Appanoose,3841,3288,73
Calhoun,3302,2950,26
Wright,4332,3929,69
Grundy,3237,2881,48
Sac,3201,2778,42
Mitchell,3122,2734,49
Guthrie,2997,2675,47
Chickasaw,3425,3060,34
Louisa,3198,2830,65
Palo Alto,2567,2288,40
Winnebago,3824,3362,47
Union,3497,3091,54
Monona,2290,1998,51
Shelby,3350,3029,53
Keokuk,2711,2348,53
Lyon,3266,3027,52
Howard,2523,2267,37
Humboldt,3324,2948,41
Greene,2197,1960,26
Emmet,2937,2589,55
Montgomery,2795,2481,57
Worth,2228,1974,17
Clarke,2885,2574,41
Pocahontas,2119,1854,28
Audubon,1405,1260,23
Davis,1974,1753,35
Ida,2324,2009,49
Decatur,1960,1764,28
Adair,2055,1758,52
Monroe,2374,2115,52
Van Buren,1796,1597,27
Lucas,2301,2080,33
Ringgold,1393,1281,38
Osceola,1621,1485,22
Wayne,1672,1460,33
Taylor,1637,1478,23
Fremont,1774,1572,28
Adams,1009,911,14
Unknown,1,1,0
