County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,770229,66689,57924,646,566,80
Linn,324191,23020,20996,342,306,36
Black Hawk,240960,18430,16030,320,294,26
Scott,240114,21987,20100,250,226,24
Johnson,234497,15711,14556,86,78,8
Dubuque,209312,14963,13338,215,195,20
Story,174209,11680,10713,48,42,6
Woodbury,160595,16722,15016,230,211,19
Dallas,140904,12873,11260,99,85,14
Pottawattamie,129064,12544,11075,177,153,24
Marshall,90602,5318,4822,79,70,9
Cerro Gordo,86883,6110,5488,98,81,17
Warren,85970,6464,5797,92,82,10
Webster,77417,5764,5106,97,82,15
Clinton,71503,6142,5537,94,79,15
Des Moines,63903,5201,4641,76,64,12
Lee,62838,4231,3805,58,45,13
Muscatine,62128,5308,4793,106,97,9
Jasper,58171,4902,4428,73,67,6
Wapello,52263,4784,4225,124,119,5
Sioux,49399,5388,5115,74,71,3
Poweshiek,48887,1679,1557,36,33,3
Buena Vista,48634,5038,4252,40,36,4
Boone,47952,2937,2653,35,32,3
Marion,46850,3927,3584,78,66,12
Washington,45958,2785,2550,51,47,4
Bremer,44323,3084,2842,63,53,10
Winneshiek,43450,2095,1959,37,31,6
Benton,42030,2811,2562,55,44,11
Plymouth,41393,4376,3960,82,74,8
Henry,40658,3179,2961,37,36,1
Carroll,40049,3083,2807,52,43,9
Fayette,39728,1977,1831,43,38,5
Hardin,39098,2062,1850,44,34,10
Tama,35667,2270,2059,72,68,4
Buchanan,34866,2097,1916,34,27,7
Cedar,34749,2033,1901,23,21,2
Mahaska,34397,2465,2240,51,46,5
Clay,33749,2295,2145,27,22,5
Iowa,32310,1558,1458,24,22,2
Delaware,32081,2181,2067,43,38,5
Butler,32019,1786,1628,35,31,4
Crawford,30599,2988,2650,41,35,6
Dickinson,29882,2709,2460,45,39,6
Jones,29348,3150,2955,57,51,6
Kossuth,28937,2346,2114,66,57,9
Jackson,28767,2396,2217,43,39,4
Floyd,28700,1834,1604,42,32,10
Clayton,28468,1823,1667,58,49,9
O'Brien,27969,2178,1950,61,56,5
Hamilton,25451,2089,1782,51,46,5
Jefferson,24057,1480,1312,35,29,6
Hancock,23998,1640,1471,34,27,7
Allamakee,23719,1623,1492,52,42,10
Page,23685,2024,1929,22,20,2
Madison,23178,1822,1644,19,15,4
Mills,22991,1816,1613,24,21,3
Cherokee,22909,1727,1568,38,30,8
Harrison,22827,1966,1740,73,69,4
Sac,22553,1420,1308,20,19,1
Franklin,22391,1406,1221,23,21,2
Wright,22344,1987,1828,40,33,7
Cass,22255,1513,1338,55,49,6
Grundy,21056,1477,1354,33,27,6
Calhoun,20758,1504,1381,13,12,1
Guthrie,20528,1336,1212,32,26,6
Palo Alto,20423,1213,1119,24,23,1
Mitchell,19832,1386,1232,43,40,3
Appanoose,19796,1467,1228,49,44,5
Winnebago,19742,1586,1421,31,26,5
Monona,19689,931,818,31,29,2
Louisa,19587,1379,1256,49,42,7
Chickasaw,19399,1337,1240,17,14,3
Union,18861,1376,1263,35,27,8
Shelby,18554,1383,1272,38,34,4
Emmet,18514,1453,1323,41,39,2
Howard,18369,1109,1031,22,18,4
Lyon,18090,1621,1569,41,37,4
Keokuk,17296,1071,957,32,31,1
Humboldt,17130,1313,1190,26,23,3
Greene,16150,851,776,11,10,1
Montgomery,15458,1151,1014,38,36,2
Worth,15075,810,748,8,7,1
Pocahontas,14886,919,845,22,22,0
Clarke,14820,1092,992,24,22,2
Audubon,14455,554,513,13,12,1
Ida,13617,1049,882,35,32,3
Adair,13180,1033,851,32,22,10
Davis,12485,960,834,25,23,2
Decatur,11551,678,635,9,9,0
Ringgold,11058,587,539,24,18,6
Monroe,10816,1066,945,33,25,8
Lucas,10620,812,751,23,18,5
Osceola,9918,822,776,17,14,3
Taylor,9734,692,659,12,10,2
Van Buren,9684,602,551,18,15,3
Fremont,8238,685,638,10,8,2
Wayne,8092,607,533,23,18,5
Adams,6363,361,337,4,4,0
Unknown,5465,7,0,0,0,0
