County,Total Positive Tests,Total Positive Cases,Total Deaths
Polk,149855,128002,1107
Linn,60390,53891,587
Johnson,41757,36658,153
Scott,46814,41969,396
Black Hawk,38216,33446,483
Dubuque,30280,26579,298
Woodbury,32497,28941,339
Story,22702,20183,90
Dallas,27331,23561,145
Pottawattamie,28107,24454,319
Marshall,10671,9591,112
Cerro Gordo,12719,11226,170
Warren,14374,12718,134
Webster,11598,10473,164
Clinton,13283,11740,146
Lee,8873,7950,142
Muscatine,10928,9813,131
Des Moines,10456,9282,139
Jasper,9890,8822,111
Wapello,10162,9035,205
Washington,6399,5722,79
Boone,6156,5581,55
Marion,8403,7631,127
Sioux,8682,8009,87
Bremer,6217,5616,82
Poweshiek,4227,3813,62
Benton,6843,6168,77
Buena Vista,7728,6406,58
Fayette,4567,4173,75
Henry,6246,5605,74
Hardin,4638,4179,62
Winneshiek,4275,3957,50
Plymouth,7061,6359,100
Buchanan,5133,4674,58
Cedar,4703,4263,35
Carroll,5532,4990,66
Iowa,4103,3755,50
Tama,4408,3964,93
Mahaska,5417,4972,87
Clay,4516,4142,44
Delaware,4445,4079,68
Butler,3617,3278,53
Floyd,4102,3629,62
Jones,6110,5583,73
Clayton,3994,3523,73
Jackson,5178,4689,69
Kossuth,4162,3802,88
Jefferson,4108,3539,52
Dickinson,4617,4161,72
O'Brien,3864,3465,71
Crawford,5037,4545,54
Hamilton,3968,3498,73
Cherokee,3368,3003,62
Cass,3250,2970,78
Page,3672,3344,46
Hancock,3246,2885,48
Mills,3906,3391,41
Allamakee,3175,2910,60
Franklin,2864,2536,42
Madison,3602,3200,40
Harrison,3867,3446,95
Appanoose,3345,2940,68
Calhoun,2865,2622,25
Grundy,2875,2603,44
Wright,3948,3640,63
Sac,2711,2427,34
Mitchell,2836,2525,49
Guthrie,2632,2382,46
Chickasaw,2994,2724,32
Palo Alto,2259,2060,38
Louisa,2777,2520,62
Winnebago,3367,3009,47
Union,3023,2736,51
Monona,1947,1732,48
Shelby,2959,2728,51
Lyon,2923,2753,50
Keokuk,2355,2097,48
Howard,2278,2085,35
Humboldt,2921,2648,38
Greene,1922,1754,21
Emmet,2654,2382,52
Montgomery,2436,2222,55
Worth,1985,1788,17
Clarke,2499,2287,37
Audubon,1240,1125,20
Pocahontas,1792,1620,27
Davis,1780,1611,33
Ida,2096,1835,49
Decatur,1645,1524,26
Adair,1813,1591,50
Monroe,2051,1892,49
Van Buren,1518,1388,27
Lucas,1913,1771,32
Ringgold,1208,1136,34
Osceola,1488,1394,22
Taylor,1441,1322,22
Wayne,1413,1277,33
Fremont,1543,1391,26
Adams,893,824,14
Unknown,12,11,0
,0,,1
