"Date","Total.Confirmed.Cases","Deceased","Hospitalized","Recovering","Child.Cases..0.17.","Adult.Cases..18.40.","Middle.Aged.Cases..41.60.","Older.Adult.Cases..61.80.","Elderly.Cases..81.or.Older.","Male.Cases","Female.Cases","Individuals.Tested","COVID.19.Patients.Admitted.in.last.24.hrs","COVID.19.Patients.in.ICU","Total.Ventilators.Available","COVID.19.Patients.on.Ventilators"
"2020-03-08","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-09","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA
"2020-03-11","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA
"2020-03-13","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-14","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-18","38",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-19","44",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,"686",NA,NA,NA,NA
"2020-03-23","105",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"2148",NA,NA,NA,NA
"2020-03-24",NA,"1",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-27","235","3",NA,"17",NA,NA,NA,NA,NA,NA,NA,"3975",NA,NA,NA,NA
"2020-03-28","298","3",NA,"21",NA,NA,NA,NA,NA,NA,NA,"4673",NA,NA,NA,NA
"2020-03-29","336","4","51","30",NA,NA,NA,NA,NA,NA,NA,"5349",NA,NA,NA,NA
"2020-03-30","424","6","51","60",NA,NA,NA,NA,NA,NA,NA,"6586",NA,NA,NA,NA
"2020-03-31","497","7","61","69",NA,NA,NA,NA,NA,NA,NA,"7385",NA,"27",NA,NA
"2020-04-01","549","9","63","83",NA,NA,NA,NA,NA,NA,NA,"7853",NA,"34",NA,NA
"2020-04-02","614","11","87","117",NA,NA,NA,NA,NA,NA,NA,"8668",NA,"42",NA,NA
"2020-04-03","699","11","80","150",NA,NA,NA,NA,NA,NA,NA,"699",NA,"44",NA,NA
"2020-04-04","786","14","85","195",NA,NA,NA,NA,NA,NA,NA,"10240",NA,"44",NA,NA
"2020-04-05","868","22","91","243",NA,NA,NA,NA,NA,NA,NA,"10841",NA,"60",NA,NA
"2020-04-06","946","25","99","286",NA,NA,NA,NA,NA,NA,NA,"11599",NA,"49",NA,NA
"2020-04-07","1048","26","104","311",NA,NA,NA,NA,NA,NA,NA,"12718",NA,"53",NA,NA
"2020-04-08","1145","27","122","347",NA,NA,NA,NA,NA,NA,NA,"13966",NA,"60",NA,NA
"2020-04-09","1270","29",NA,"437",NA,NA,NA,NA,NA,NA,NA,"14973",NA,"58",NA,NA
"2020-04-10","1388","31","119","506",NA,NA,NA,NA,NA,NA,NA,"15953",NA,"54",NA,NA
"2020-04-11","1510","34","118","574",NA,NA,NA,NA,NA,NA,NA,"17132",NA,"58",NA,NA
"2020-04-12","1587","41","129","657",NA,NA,NA,NA,NA,NA,NA,"17592",NA,"66",NA,NA
"2020-04-13","1710","43","142","755",NA,NA,NA,NA,NA,NA,NA,"18696",NA,"70",NA,NA
"2020-04-14","1899","49","163","796",NA,NA,NA,NA,NA,NA,NA,"19366",NA,"73",NA,NA
"2020-04-15","1995","43","171","822",NA,NA,NA,NA,NA,NA,NA,"19869",NA,"76",NA,NA
