"County","Total.Positive.Tests","Total.Positive.Cases","Total.Deaths","Date"
"Adair",1843,1601,51,2022-06-22
"Adams",903,829,14,2022-06-22
"Allamakee",3229,2942,60,2022-06-22
"Appanoose",3421,2980,70,2022-06-22
"Audubon",1262,1139,21,2022-06-22
"Benton",7039,6312,79,2022-06-22
"Black Hawk",39097,34141,488,2022-06-22
"Boone",6315,5712,56,2022-06-22
"Bremer",6357,5733,83,2022-06-22
"Buchanan",5256,4772,59,2022-06-22
"Buena Vista",7795,6442,58,2022-06-22
"Butler",3710,3351,53,2022-06-22
"Calhoun",2944,2690,25,2022-06-22
"Carroll",5619,5063,66,2022-06-22
"Cass",3287,3002,78,2022-06-22
"Cedar",4819,4354,36,2022-06-22
"Cerro Gordo",12962,11420,171,2022-06-22
"Cherokee",3426,3039,64,2022-06-22
"Chickasaw",3064,2783,32,2022-06-22
"Clarke",2552,2326,37,2022-06-22
"Clay",4591,4201,45,2022-06-22
"Clayton",4076,3587,74,2022-06-22
"Clinton",13502,11916,146,2022-06-22
"Crawford",5074,4519,54,2022-06-22
"Dallas",28026,24114,146,2022-06-22
"Davis",1835,1654,33,2022-06-22
"Decatur",1694,1559,26,2022-06-22
"Delaware",4564,4176,68,2022-06-22
"Des Moines",10725,9487,141,2022-06-22
"Dickinson",4676,4211,73,2022-06-22
"Dubuque",31106,27229,299,2022-06-22
"Emmet",2684,2401,53,2022-06-22
"Fayette",4661,4242,76,2022-06-22
"Floyd",4204,3713,62,2022-06-22
"Franklin",2920,2584,43,2022-06-22
"Fremont",1573,1417,26,2022-06-22
"Greene",1953,1782,21,2022-06-22
"Grundy",2922,2638,44,2022-06-22
"Guthrie",2693,2429,47,2022-06-22
"Hamilton",4018,3539,73,2022-06-22
"Hancock",3313,2936,48,2022-06-22
"Hardin",4750,4279,62,2022-06-22
"Harrison",3914,3481,95,2022-06-22
"Henry",6366,5697,75,2022-06-22
"Howard",2305,2106,35,2022-06-22
"Humboldt",2985,2702,38,2022-06-22
"Ida",2114,1849,49,2022-06-22
"Iowa",4190,3826,50,2022-06-22
"Jackson",5312,4796,69,2022-06-22
"Jasper",10140,9016,112,2022-06-22
"Jefferson",4197,3615,52,2022-06-22
"Johnson",43567,38071,155,2022-06-22
"Jones",6269,5689,74,2022-06-22
"Keokuk",2384,2118,48,2022-06-22
"Kossuth",4227,3854,88,2022-06-22
"Lee",8986,8028,142,2022-06-22
"Linn",62169,55313,594,2022-06-22
"Louisa",2852,2579,62,2022-06-22
"Lucas",1979,1822,32,2022-06-22
"Lyon",2980,2796,51,2022-06-22
"Madison",3653,3239,40,2022-06-22
"Mahaska",5531,5058,89,2022-06-22
"Marion",8628,7809,127,2022-06-22
"Marshall",10929,9792,112,2022-06-22
"Mills",4003,3471,44,2022-06-22
"Mitchell",2881,2558,49,2022-06-22
"Monona",1990,1763,49,2022-06-22
"Monroe",2106,1928,49,2022-06-22
"Montgomery",2472,2247,56,2022-06-22
"Muscatine",11169,10004,132,2022-06-22
"O'Brien",3902,3496,71,2022-06-22
"Osceola",1506,1407,22,2022-06-22
"Page",3729,3390,49,2022-06-22
"Palo Alto",2304,2095,38,2022-06-22
"Plymouth",7128,6415,102,2022-06-22
"Pocahontas",1852,1666,27,2022-06-22
"Polk",153773,131066,1116,2022-06-22
"Pottawattamie",28650,24864,321,2022-06-22
"Poweshiek",4337,3898,63,2022-06-22
"Ringgold",1225,1151,34,2022-06-22
"Sac",2757,2462,36,2022-06-22
"Scott",48054,42964,401,2022-06-22
"Shelby",3022,2779,52,2022-06-22
"Sioux",8794,8099,88,2022-06-22
"Story",23286,20644,91,2022-06-22
"Tama",4494,4037,94,2022-06-22
"Taylor",1457,1336,22,2022-06-22
"Union",3076,2780,52,2022-06-22
"Unknown",1,NA,0,2022-06-22
"Van Buren",1537,1406,27,2022-06-22
"Wapello",10414,9232,208,2022-06-22
"Warren",14694,12969,136,2022-06-22
"Washington",6540,5829,79,2022-06-22
"Wayne",1458,1307,33,2022-06-22
"Webster",11834,10650,166,2022-06-22
"Winnebago",3422,3056,47,2022-06-22
"Winneshiek",4372,4041,52,2022-06-22
"Woodbury",32828,29198,340,2022-06-22
"Worth",2014,1814,17,2022-06-22
"Wright",4004,3686,66,2022-06-22
