County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,26957,232127,11672,502556
Linn,8604,114418,8311,244499
Scott,7277,74435,5935,163299
Johnson,6959,85127,4064,180922
Black Hawk,5081,62834,5967,136951
Story,4774,46344,2673,99321
Pottawattamie,4494,41281,4782,92764
Woodbury,4021,40226,4711,88774
Dallas,3471,41225,2358,86869
Dubuque,3280,57230,2055,119590
Cerro Gordo,1986,23465,1766,50753
Des Moines,1889,16721,691,36060
Clinton,1495,15238,1479,33535
Warren,1455,15985,934,34202
Webster,1368,16037,1255,34978
Muscatine,1225,12819,4818,31810
Marshall,1212,12734,2716,29300
Lee,929,11226,1822,25441
Bremer,916,11559,1191,25218
Wapello,872,11368,814,24546
Jasper,820,13213,1114,28166
Marion,779,11375,3987,27663
Boone,753,10588,533,22415
Winneshiek,664,7585,982,16787
Tama,636,7892,969,17443
Buena Vista,631,6484,3514,17207
Jefferson,630,6941,935,15443
Carroll,586,9156,1078,20149
Page,582,6438,773,14262
Emmet,568,4462,369,9979
Mills,531,5620,144,11930
Sioux,525,9534,2619,22222
Poweshiek,522,8725,407,18280
Washington,505,6843,523,14722
Fayette,498,9705,900,20823
Clay,489,7873,244,16422
Dickinson,470,7250,235,15209
Cass,469,9857,417,20819
Mahaska,467,7053,510,15128
Henry,462,6926,1848,16213
Kossuth,431,5584,472,12112
Plymouth,419,6734,2916,16841
Benton,393,7208,456,15275
Union,376,4588,280,9743
Crawford,331,5779,1576,13490
Allamakee,326,5401,107,11243
Wright,307,4604,1705,11201
Jackson,307,7730,251,16002
Grundy,295,4402,375,9487
Floyd,292,6064,1012,13450
Jones,286,5903,863,13013
O'Brien,285,5043,328,10708
Appanoose,279,4035,470,8912
Buchanan,277,5950,307,12480
Clarke,276,3983,1352,9607
Madison,275,6685,154,13863
Montgomery,273,3050,568,6967
Cedar,271,5990,275,12494
Iowa,269,5459,598,11807
Greene,266,4209,496,9252
Hamilton,266,6649,401,14118
Hardin,258,5922,1311,13467
Harrison,253,3231,240,6968
Out of State,246,5210,1,10368
Delaware,243,4414,752,9784
Shelby,242,5526,124,11462
Humboldt,237,3786,374,8327
Winnebago,225,3738,493,8214
Guthrie,215,4199,238,8872
Cherokee,204,4479,252,9422
Clayton,184,5884,652,12649
Wayne,176,2841,375,6336
Franklin,164,3340,239,7095
Davis,161,3139,1657,8119
Mitchell,159,4232,142,8785
Lucas,157,3269,383,7169
Decatur,155,2764,118,5895
Monroe,155,3072,280,6611
Palo Alto,153,3201,145,6728
Louisa,153,3122,1519,7896
Howard,148,2024,164,4347
Adair,146,2146,327,4702
Ida,119,1526,489,3656
Chickasaw,110,2715,330,5863
Lyon,103,2914,70,6012
Hancock,99,2921,709,6650
Sac,99,3197,49,6560
Butler,91,3769,161,7810
Calhoun,90,4055,169,8401
Adams,88,1622,8,3524
Taylor,83,2162,17,4450
Audubon,76,1936,101,4046
Van Buren,76,1394,111,2977
Ringgold,74,2023,4,4178
Pocahontas,73,1836,145,3894
Fremont,69,1578,98,3323
Monona,66,2086,190,4412
Worth,59,1680,1,3417
Osceola,42,1457,160,3114
Keokuk,42,1565,100,3270
