County,Vaccinations Completed
Polk,309997
Linn,142369
Johnson,102187
Scott,88459
Black Hawk,74759
Dallas,59653
Dubuque,58919
Story,58719
Woodbury,51087
Pottawattamie,46228
Warren,29248
Cerro Gordo,25342
Muscatine,24521
Marshall,24248
Clinton,23176
Jasper,20802
Webster,19405
Des Moines,18879
Marion,16783
Wapello,16476
Boone,16019
Lee,15632
Bremer,14337
Benton,14118
Sioux,13834
Plymouth,12630
Buena Vista,12565
Winneshiek,12033
Washington,11796
Carroll,11769
Jones,11584
Buchanan,10885
Cedar,10639
Poweshiek,10406
Henry,10285
Fayette,10266
Jackson,9891
Iowa,9763
Tama,9735
Dickinson,9445
Mahaska,9260
Hardin,9012
Delaware,8880
Hamilton,8872
Crawford,8517
Madison,8399
Jefferson,8331
Clay,8103
Butler,8043
Floyd,8032
Clayton,7861
Page,7570
Kossuth,7437
Grundy,7200
Cass,7100
Mills,6966
Wright,6914
O'Brien,6653
Allamakee,6405
Shelby,6350
Harrison,6350
Chickasaw,6249
Union,5986
Guthrie,5954
Cherokee,5706
Appanoose,5532
Calhoun,5528
Louisa,5465
Montgomery,5177
Franklin,5169
Winnebago,5169
Hancock,5048
Mitchell,5021
Greene,4977
Sac,4940
Clarke,4884
Humboldt,4578
Emmet,4549
Howard,4488
Keokuk,4487
Monona,4306
Palo Alto,4301
Lyon,4034
Lucas,3758
Worth,3692
Adair,3426
Monroe,3391
Pocahontas,3361
Ida,3256
Davis,3115
Audubon,3067
Decatur,3002
Fremont,2927
Van Buren,2841
Taylor,2717
Wayne,2594
Osceola,2588
Ringgold,2471
Adams,1918
.,73
