County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,22743,239304,12211,513175
Linn,7679,116349,8542,247663
Scott,6407,76119,6096,165997
Johnson,6004,86854,4140,183438
Black Hawk,4666,63888,6082,138755
Story,4320,47144,2731,100550
Pottawattamie,3940,42327,4828,94343
Woodbury,3822,40912,4788,90015
Dallas,3170,41917,2412,88045
Dubuque,2943,57923,2119,120704
Cerro Gordo,1913,23758,1857,51354
Des Moines,1605,17170,712,36703
Clinton,1293,15710,1525,34315
Webster,1212,16331,1284,35421
Warren,1183,16336,962,34657
Marshall,1071,13034,2807,29842
Muscatine,982,13198,4884,32390
Wapello,835,11512,864,24846
Lee,807,11482,1877,25885
Bremer,786,11780,1219,25559
Jasper,758,13414,1132,28516
Marion,745,11505,4011,27911
Buena Vista,613,6596,3543,17446
Boone,584,10868,549,22815
Page,573,6491,794,14380
Jefferson,568,7062,955,15641
Tama,555,7994,974,17588
Emmet,542,4499,378,10034
Winneshiek,522,7781,1000,17050
Sioux,509,9621,2634,22395
Carroll,493,9322,1094,20405
Mills,489,5689,145,12040
Fayette,473,9762,907,20922
Poweshiek,469,8845,415,18477
Washington,463,6936,541,14881
Clay,460,7939,262,16545
Henry,443,7003,1885,16385
Mahaska,440,7134,532,15287
Cass,439,9911,428,20917
Dickinson,430,7331,243,15339
Benton,389,7294,459,15443
Plymouth,378,6812,2933,16976
Kossuth,359,5690,478,12259
Union,316,4676,294,9870
Crawford,314,5843,1584,13608
Allamakee,300,5444,112,11309
Jackson,297,7789,258,16118
Grundy,286,4435,390,9560
Montgomery,271,3106,571,7076
Buchanan,266,6005,318,12594
Floyd,266,6124,1021,13553
Jones,265,5965,887,13140
O'Brien,263,5086,338,10782
Madison,257,6720,154,13919
Clarke,256,4040,1358,9708
Cedar,256,6030,280,12564
Appanoose,251,4079,475,8976
Harrison,248,3243,245,6992
Out of State,246,5212,1,10375
Hardin,234,5968,1322,13547
Wright,234,4695,1712,11317
Hamilton,230,6714,403,14217
Delaware,226,4452,757,9849
Iowa,220,5535,613,11926
Shelby,218,5571,129,11532
Humboldt,217,3820,379,8386
Winnebago,215,3780,500,8294
Greene,211,4280,501,9346
Cherokee,199,4513,263,9495
Guthrie,185,4243,256,8945
Clayton,171,5901,658,12677
Wayne,171,2850,376,6353
Lucas,161,3282,396,7213
Davis,157,3160,1658,8159
Monroe,155,3091,287,6656
Mitchell,152,4270,149,8861
Palo Alto,152,3222,147,6769
Louisa,147,3144,1525,7942
Decatur,146,2786,118,5931
Howard,140,2061,182,4431
Franklin,136,3385,244,7159
Adair,124,2160,331,4725
Chickasaw,112,2726,337,5894
Ida,111,1537,491,3672
Lyon,103,2923,72,6032
Butler,92,3772,165,7821
Sac,90,3206,50,6571
Taylor,82,2169,20,4467
Hancock,77,2947,718,6690
Calhoun,76,4072,177,8430
Van Buren,76,1394,111,2977
Monona,73,2097,196,4447
Adams,71,1636,8,3540
Fremont,69,1579,98,3325
Ringgold,66,2038,5,4203
Pocahontas,65,1851,146,3917
Worth,47,1697,1,3439
Keokuk,38,1572,100,3280
Osceola,34,1472,161,3137
Audubon,26,1989,101,4102
