date	Total Tested	positive	Recovered	deaths	hospitalized	new hospital	ICU	Admit	RMCC6-Hospitalized	RMCC6-ICU	RMCC6-Admit	RMCC6-Leave	negative	Percent Pos	discharged	never_hospitalized	New Positive	New Negative	New Percent Positive	Week Positivity Rate	Total Daily Tests	Still Sick	Percent Hospitalized	New Deaths	Bremer Positive	Butler P	BlackHawk P	Bremer Recovered	Butler R	BlackHawk R	Bremer Death	Butler D	BlackHawk D	Bremer SS	Butler SS	BlackHawk SS	Knights Positive	Knights Isolation	Kights Quarantine	TotalTested2	TotalPositive2	TotalRecovered2	TotalDeaths2	New Positive Tests	Individuals Reported	Individuals Positive		Bremer Rep	Bremer Pos	Black Hawk Rep	Black Hawk Pos	Butler Rep	Butler Pos	Bremer Pct	Black Hawk Pct	Butler Pct	State 7Day	State 14Day	Bremer 7Day	Black Hawk 7Day	Butler 7Day	Bremer School	Black Hawk School	Butler School	Total Tests	Positive Tests	PCR Individuals	Antigen Individuals	Positive PCR Individuals	Positive Antigen Individuals	Individuals Tested	Individuals Postive	Bremer Total Tests	Bremer Positive Tests	Bremer PCR Individuals	Bremer Antigen Individuals	Bremer Positive PCR Individuals	Bremer Positive Antigen Individuals	Bremer Individuals Tested	Bremer Individuals Postive	Butler Total Tests	Butler Positive Tests	Butler PCR Individuals	ButlerAntigen Individuals	Positive Butler PCR Individuals	Positive ButlerAntigen Individuals	Butler Individuals Tested	Butler Individuals Postive	Black Hawk Total Tests	Black Hawk Positive Tests	BH PCR Individuals	BH Antigen Individuals	Positive BH PCR Individuals	Positive BH Antigen Individuals		
2020-03-08		3		0																																				10	0	0																																																						
2020-03-09		5		0													2							0																40	7	0																																																						
2020-03-10	27	13		0									14	48%			8							0																49	12	0																																																						
2020-03-11	35	14		0									21	40%			1	7						0																64	13	0																																																						
2020-03-13		17		0													3							0																128	17	0																																																						
2020-03-14		18		0													1							0																129	18	0																																																						
2020-03-18		38	4	0													20							0																539	42	4																																																						
2020-03-19	686	44	8	0									642	6%			6							0																886	52	8																																																						
2020-03-23	2148	105	11	0									2043	5%			61	1401	4%					0																1245	82	11																																																						
2020-03-24			13	1																				1																1611	108	13																																																						
2020-03-27	3975	235	17	3									3740	6%										2																2166	133	17																																																						
2020-03-28	4673	298	21	3									4375	6%			63	635	9%		698			0																2476	158	21																																																						
2020-03-29	5349	336	30	4	51								5013	6%	17	185	38	638	6%		676		15%	1																2917	185	30																																																						
2020-03-30	6586	424	60	6	51								6162	6%	23	203	88	1149	7%		1237		12%	2																5077	365	60																																																						
2020-03-31	7385	497	69	7	61	47	27						6888	7%	33	268	73	726	9%		799		12%	1																5878	432	69																																																						
2020-04-01	7853	549	83	9	63	69	34						7304	7%	183	303	52	416	11%		468		11%	2																6642	521	83																																																						
2020-04-02	8668	614	117	11	87	76	42						8054	7%			65	750	8%		815			2																7275	575	117																																																						
2020-04-03	699	699	150	11	80	87	44								204	415	85			9.9%			11%	0																7881	636	150																																																						
2020-04-04	10240	786	195	14	85	88	44						9454	8%	213	488	172	1400	11%	10.3%	1572		11%	3																8693	719	195																																																						
2020-04-05	10841	868	243	22	91	103	60						9973	8%	235	542	82	519	14%	11.2%	601		10%	8																9845	848	243																																																						
2020-04-06	11599	946	286	25	99	123	49						10653	8%	251	596	78	680	10%	12.1%	758		10%	3																10461	928	286																																																						
2020-04-07	12718	1048	311	26	104	130	53						11670	8%	298	646	102	1017	9%	11.9%	1119		10%	1																11445	1060	311																																																						
2020-04-08	13966	1145	347	27	122	125	60						12821	8%			97	1151	8%	11.1%	1248		11%	1																11686	1078	347																																																						
2020-04-09	14973	1270	437	29		118	58						13703	8%			125	882	12%	11.8%	1007			2																12860	1210	437																																																						
2020-04-10	15953	1388	506	31	119	125	54						14565	9%			118	862	12%	10.6%	980		9%	2																14213	1339	506																																																						
2020-04-11	17132	1510	574	34	118	124	58						15622	9%			122	1057	10%	10.5%	1179	802	15%	3																15320	1461	574																																																						
2020-04-12	17592	1587	657	41	129	136	66						16005	9%			77	383	17%	10.7%	460	805	16%	7																16336	1598	657																																																						
2020-04-13	18696	1710	755	43	142	142	70						16986	9%			123	981	11%	10.8%	1104	877	16%	2																17427	1741	755																																																						
2020-04-14	19366	1899	796	49	163	163	73						17467	10%			189	481	28%	12.8%	670	1060	15%	6																18432	1918	796																																																						
2020-04-15	19869	1995	822	43	171	167	76						17874	10%			96	407	19%	14.4%	503	1044	16%	-6																19384	2121	822																																																						
2020-04-16	20675	2141	928	60	176	176	85						18534	10%			146	660	18%	15.3%	806	1094		17																19864	2203	928																																																						
2020-04-17	21792	2332	1018	64	182	182	88						19460	11%			191	926	17%	16.2%	1117	1261		4																20359	2286	1018																																																						
2020-04-18	22947	2513	1099	74	193	193	84						20434	11%			181	974	16%	17.2%	1155	1344	14%	10																21612	2555	1099																																																						
2020-04-19	24550	2902	1182	75	198	198	86						21648	12%			389	1214	24%	18.9%	1603	1656	12%	1																22694	2707	1182																																																						
2020-04-20	25820	3159	1291	79	214	214	91						22661	12%			257	1013	20%	20.3%	1270	1845	12%	4																24463	3168	1291																																																						
2020-04-21	27615	3641	1356	83	214	214	89						23974	13%			482	1313	27%	21.1%	1795	2265	9%	4																25824	3483	1356																																																						
2020-04-22	28244	3748	1395	90	272	272	92						24496	13%			107	522	17%	20.9%	629	2230	12%	7																27612	3971	1395																																																						
2020-04-23	29262	3924	1551	96	282	282	102						25338	13%			176	842	17%	20.8%	1018	2336	12%	6																28164	4074	1551																																																						
2020-04-24	31973	4445	1649	107	407	278	104						27528	14%			521	2190	19%	20.8%	2711	2734		11																29050	4244	1649																																																						
2020-04-25	34350	5092	1772	111	293	293	108						29258	15%			647	1730	27%	22.6%	2377	3258	9%	4																31714	4815	1772																																																						
2020-04-26	36090	5476	1921	118	286	286	99						30614	15%			384	1356	22%	22.3%	1740	3458	8%	7																34150	5532	1921																																																						
2020-04-27	38150	5868	2172	127	300	300	100						32282	15%			392	1668	19%	22.0%	2060	3720	8%	9																36120	5997	2172																																																						
2020-04-28	39823	6376	2301	136	304	304	98						33447	16%			508	1165	30%	22.4%	1673	4076	7%	9																38196	6438	2301																																																						
2020-04-29	41337	6843	2422	148	323	323	100						34494	17%			467	1047	31%	23.6%	1514	4267	8%	12																40301	7031	2422																																																						
2020-04-30	42667	7145	2788	162	335	335	121						35522	17%			302	1028	23%	24.0%	1330	4286	8%	14																42493	7698	2788																																																						
2020-05-01	45593	7884	3051	170	345	348	113						37709	17%			739	2187	25%	25.2%	2926	4815	7%	8																44241	8016	3051																																																						
2020-05-02	49727	8641	3339	175	353	353	131						41086	17%			757	3377	18%	23.1%	4134	5567	6%	5																47194	8817	3339																																																						
2020-05-03	53186	9169	3613	184	378	378	133						44017	17%			528	2931	15%	21.6%	3459	5660	7%	9																49914	9334	3613																																																						
2020-05-04	57161	9703	3894	188	389	389	143						47458	17%			534	3441	13%	20.2%	3975	6029	6%	4																53320	9931	3894																																																						
2020-05-05	60569	10111	4081	207	407	407	152						50458	17%			408	3000	12%	18.0%	3408	6332	6%	19																56419	10421	4081																																																						
2020-05-06	63171	10404	4174	219	414	413	150						52767	16%			293	2309	11%	16.3%	2602	6382	6%	12																59157	10803	4174																																																						
