County,Individuals.Tested,Individuals.Positive,Total.Recovered,Total.Deaths
Polk,385338,92490,82976,872
Linn,166254,39153,33403,456
Scott,121664,32357,27922,322
Black Hawk,97704,25478,22503,406
Johnson,115842,23895,20324,118
Woodbury,79061,22350,20831,287
Dubuque,76541,21191,19318,268
Pottawattamie,65227,18291,16495,255
Dallas,75386,17540,15827,123
Story,72449,15223,14177,66
Warren,38589,9681,8765,116
Clinton,32578,9269,8345,122
Cerro Gordo,34074,9021,8349,142
Webster,28240,8437,7520,132
Des Moines,28687,7600,7128,115
Muscatine,29628,7495,6743,120
Marshall,28933,7349,6752,95
Wapello,26025,7257,6599,161
Jasper,25695,6989,6379,93
Sioux,21229,6673,6213,78
Lee,22890,6504,6038,112
Marion,22869,6251,5719,106
Plymouth,16581,5295,4926,92
Buena Vista,19185,5227,5017,50
Benton,17840,4786,4239,64
Henry,15539,4582,4268,57
Jones,13790,4550,4182,67
Washington,17988,4488,3967,69
Bremer,16717,4483,4031,75
Boone,18873,4440,4029,45
Mahaska,15026,4095,3733,72
Carroll,14516,3991,3702,57
Jackson,12891,3806,3393,59
Crawford,11340,3805,3580,49
Buchanan,13301,3612,3230,46
Dickinson,13235,3461,3173,61
Delaware,11104,3361,3073,64
Kossuth,10678,3309,2965,81
Fayette,12849,3256,2901,59
Hardin,12073,3237,2927,55
Clay,11111,3201,2967,40
Tama,11217,3140,2811,80
Cedar,12696,3116,2728,27
Winneshiek,13949,3090,2756,45
Wright,10230,3035,2695,54
Page,8879,2921,2781,39
Clayton,10298,2858,2589,65
Floyd,10840,2842,2642,55
Hamilton,10545,2826,2599,61
Poweshiek,12559,2770,2444,50
O'Brien,8712,2746,2485,67
Harrison,8776,2733,2454,84
Iowa,11338,2681,2390,36
Jefferson,12460,2622,2349,44
Butler,9641,2617,2400,48
Madison,10754,2605,2392,26
Mills,10136,2555,2307,31
Cass,8709,2516,2325,73
Winnebago,8701,2469,2289,41
Hancock,8221,2415,2263,43
Cherokee,8014,2391,2163,54
Allamakee,8527,2372,2098,57
Appanoose,8556,2341,2083,59
Lyon,6681,2302,2095,44
Union,8929,2249,2011,44
Shelby,7472,2222,2027,46
Humboldt,6546,2208,1884,33
Calhoun,7067,2150,2001,20
Chickasaw,7672,2134,1907,26
Grundy,7804,2046,1872,38
Louisa,7632,2037,1802,55
Franklin,7594,2033,1891,35
Mitchell,7184,2024,1860,47
Emmet,6786,1984,1794,49
Sac,6971,1918,1771,28
Guthrie,8116,1868,1724,41
Clarke,6900,1828,1639,31
Montgomery,6114,1738,1621,48
Howard,6214,1686,1543,24
Keokuk,6381,1675,1523,44
Palo Alto,5933,1668,1514,33
Monroe,4919,1567,1440,43
Ida,4628,1455,1347,43
Lucas,5504,1399,1277,29
Greene,5748,1391,1287,18
Davis,4891,1388,1257,27
Adair,4835,1363,1187,44
Worth,5363,1361,1271,10
Monona,4908,1358,1253,41
Pocahontas,4549,1322,1209,25
Decatur,4948,1185,1092,18
Osceola,3403,1154,1056,19
Van Buren,4036,1109,965,24
Taylor,3525,1086,1024,20
Fremont,3955,1085,1002,19
Wayne,3722,991,878,26
Ringgold,3219,886,812,31
Audubon,3780,872,782,18
Adams,2321,650,589,12
Pending Investigation,4286,56,28,0
